measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
2003-01-01,,,,49.0,1110.0,1110.0
2003-02-01,,,,209.0,3636.0,3636.0
2003-03-01,,,,400.0,6930.0,6930.0
2003-04-01,,,,303.0,4860.0,4860.0
2003-05-01,,,,28.0,576.0,576.0
2003-06-01,,,,182.0,3276.0,3276.0
2003-07-01,,,,391.0,6822.0,6822.0
2003-08-01,,,,324.0,6366.0,6366.0
2003-09-01,,,,179.0,3066.0,3066.0
2003-10-01,,,,169.0,3894.0,3894.0
2003-11-01,,,,19.0,498.0,498.0
2004-01-01,,,,720.803,14264.0,14264.0
2004-02-01,,,,2.119,42.0,42.0
2004-03-01,,,,0.0,0.0,0.0
2004-04-01,,,,0.785,16.0,16.0
2004-05-01,,,,0.0,0.0,0.0
2004-06-01,,,,19.15,379.0,379.0
2004-07-01,,,,109.95700000000001,2176.0,2176.0
2004-08-01,,,,0.0,0.0,0.0
2004-09-01,,,,7.613,151.0,151.0
2004-10-01,,,,5.572,110.0,110.0
2004-11-01,,,,0.0,0.0,0.0
2004-12-01,,,,174.0,3443.0,3443.0
2005-01-01,,,,453.63300000000004,9946.23,9946.23
2005-02-01,,,,155.854,3417.2,3417.2
2005-03-01,,,,172.744,3787.55,3787.55
2005-04-01,,,,209.24300000000002,4587.8,4587.8
2005-05-01,,,,194.333,4260.89,4260.89
2005-06-01,,,,252.226,5530.23,5530.23
2005-07-01,,,,256.735,5629.09,5629.09
2005-08-01,,,,301.601,6612.82,6612.82
2005-09-01,,,,197.431,4328.81,4328.81
2005-10-01,,,,219.25,4807.22,4807.22
2005-11-01,,,,176.258,3864.58,3864.58
2005-12-01,,,,372.69300000000004,8171.56,8171.56
2006-01-01,,,,58.997,1543.0,1543.0
2006-02-01,,,,30.871000000000002,807.0,807.0
2006-03-01,,,,25.932000000000002,678.0,678.0
