measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,,,,7572.0,151895.0,151895.0
2003-02-01,,,,,,,6843.0,127976.0,127976.0
2003-03-01,,,,,,,7434.0,139009.0,139009.0
2003-04-01,,,,,,,5283.0,98787.0,98787.0
2003-05-01,,,,,,,3896.0,72862.0,72862.0
2003-06-01,,,,,,,7396.0,138312.0,138312.0
2003-07-01,,,,,,,7157.0,133841.0,133841.0
2003-08-01,,,,,,,7660.0,143242.0,143242.0
2003-09-01,,,,,,,7516.0,140539.0,140539.0
2003-10-01,,,,,,,6595.0,123318.0,123318.0
2003-11-01,,,,,,,7430.0,138941.0,138941.0
2003-12-01,,,,,,,7863.0,156400.0,156400.0
2004-01-01,,,,,,,7082.892000000001,134911.0,134911.0
2004-02-01,,,,,,,6278.611,119591.0,119591.0
2004-03-01,,,,,,,6647.765,126623.0,126623.0
2004-04-01,,,,,,,6173.052000000001,117581.0,117581.0
2004-05-01,,,,,,,5865.26,111718.0,111718.0
2004-06-01,,,,,,,6992.321,133186.0,133186.0
2004-07-01,,,,,,,7392.405000000001,140806.0,140806.0
2004-08-01,,,,,,,7303.106000000001,139105.0,139105.0
2004-09-01,,,,,,,6951.325000000001,132405.0,132405.0
2004-10-01,,,,,,,7004.406,133416.0,133416.0
2004-11-01,,,,,,,6044.03,115123.0,115123.0
2004-12-01,,,,,,,6937.827,132148.0,132148.0
2005-01-01,,,,0.0,0.0,0.0,7043.274,134103.65,134103.65
2005-02-01,,,,0.0,0.0,0.0,6338.726000000001,120689.07,120689.07
2005-03-01,,,,0.0,0.0,0.0,6766.678,128837.27,128837.27
2005-04-01,,,,0.0,0.0,0.0,6664.233,126886.71,126886.71
2005-05-01,,,,0.0,0.0,0.0,6674.438,127081.04,127081.04
2005-06-01,,,,0.0,0.0,0.0,6911.063,131586.36,131586.36
2005-07-01,,,,0.0,0.0,0.0,7202.781,137140.65,137140.65
2005-08-01,,,,0.0,0.0,0.0,7113.251,135436.01,135436.01
2005-09-01,,,,0.0,0.0,0.0,6864.07,130691.61,130691.61
2005-10-01,,,,0.0,0.0,0.0,7005.784000000001,133389.84,133389.84
2005-11-01,,,,0.0,0.0,0.0,6788.2210000000005,129247.45,129247.45
2005-12-01,,,,0.0,0.0,0.0,6912.481000000001,131613.35,131613.35
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,5878.312,114510.0,114510.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,5484.3240000000005,106835.0,106835.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,5633.264,109736.0,109736.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4657.224,90723.0,90723.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,4466.25,87003.0,87003.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,5540.01,107919.0,107919.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5960.019,116101.0,116101.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,5901.887000000001,114969.0,114969.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,5327.069,103771.0,103771.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,5022.357,97836.0,97836.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,5523.777,107603.0,107603.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,5527.506,107676.0,107676.0
2007-01-01,,,,0.0,0.0,0.0,7610.0,144891.0,144891.0
2007-02-01,,,,0.0,0.0,0.0,6583.0,128690.0,128690.0
2007-03-01,,,,0.0,0.0,0.0,7298.0,142681.0,142681.0
2007-04-01,,,,0.0,0.0,0.0,6168.0,120581.0,120581.0
2007-05-01,,,,0.0,0.0,0.0,4627.0,88094.0,88094.0
2007-06-01,,,,0.0,0.0,0.0,5717.0,112744.0,112744.0
2007-07-01,,,,0.0,0.0,0.0,5392.0,106335.0,106335.0
2007-08-01,,,,0.0,0.0,0.0,5447.0,107423.0,107423.0
2007-09-01,,,,0.0,0.0,0.0,5185.0,102238.0,102238.0
2007-10-01,,,,0.0,0.0,0.0,4737.0,90202.0,90202.0
2007-11-01,,,,0.0,0.0,0.0,6912.0,131597.0,131597.0
2007-12-01,,,,0.0,0.0,0.0,7174.0,136595.0,136595.0
2008-01-01,,,,0.0,0.0,0.0,7055.0,74501.0,74501.0
2008-02-01,,,,0.0,0.0,0.0,6419.0,64962.0,64962.0
2008-03-01,,,,0.0,0.0,0.0,6513.0,69925.0,69925.0
2008-04-01,,,,0.0,0.0,0.0,7012.0,75284.0,75284.0
2008-05-01,,,,0.0,0.0,0.0,3538.0,34866.0,34866.0
2008-06-01,,,,0.0,0.0,0.0,7374.0,72670.0,72670.0
2008-07-01,,,,0.0,0.0,0.0,7697.0,75865.0,75865.0
2008-08-01,,,,0.0,0.0,0.0,7389.0,72829.0,72829.0
2008-09-01,,,,0.0,0.0,0.0,6922.0,68218.0,68218.0
2008-10-01,,,,0.0,0.0,0.0,5683.0,55915.0,55915.0
2008-11-01,,,,0.0,0.0,0.0,6948.0,73374.0,73374.0
2008-12-01,,,,0.0,0.0,0.0,7426.0,78426.0,78426.0
2009-01-01,,,,0.0,0.0,0.0,7328.0,72222.0,72222.0
2009-02-01,,,,0.0,0.0,0.0,6020.0,60922.0,60922.0
2009-03-01,,,,0.0,0.0,0.0,6902.0,69846.0,69846.0
2009-04-01,,,,0.0,0.0,0.0,3916.0,39626.0,39626.0
2009-05-01,,,,0.0,0.0,0.0,2366.0,24006.0,24006.0
2009-06-01,,,,0.0,0.0,0.0,3758.0,38368.0,38368.0
2009-07-01,,,,0.0,0.0,0.0,5677.0,67443.0,67443.0
2009-08-01,,,,0.0,0.0,0.0,5688.0,75082.0,75082.0
2009-09-01,,,,0.0,0.0,0.0,3522.0,80080.0,80080.0
2009-10-01,,,,0.0,0.0,0.0,1357.0,9680.0,9680.0
2009-11-01,,,,0.0,0.0,0.0,5213.0,57341.0,57341.0
2009-12-01,,,,0.0,0.0,0.0,7335.0,82606.0,82606.0
2010-01-01,,,,0.0,0.0,0.0,6852.0,138670.0,138670.0
2010-02-01,,,,0.0,0.0,0.0,6251.0,154246.0,154246.0
2010-03-01,,,,0.0,0.0,0.0,6588.0,130363.0,130363.0
2010-04-01,,,,0.0,0.0,0.0,6211.0,136646.0,136646.0
2010-05-01,,,,0.0,0.0,0.0,5464.0,120208.0,120208.0
2010-06-01,,,,0.0,0.0,0.0,6298.0,134394.0,134394.0
