measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed,Other Biomass Gas-Fuel Cell Generation,Other Biomass Gas-Fuel Cell Quantity Consumed For Electricity,Other Biomass Gas-Fuel Cell Total Fuel Consumed
2012-01-01,194.908,1487.0,1487.0,452.431,3454.0,3454.0
2012-02-01,194.894,1487.0,1487.0,445.452,3400.0,3400.0
2012-03-01,185.367,1415.0,1415.0,427.17,3260.0,3260.0
2012-04-01,171.748,1311.0,1311.0,401.335,3063.0,3063.0
2012-05-01,170.549,1302.0,1302.0,416.251,3177.0,3177.0
2012-06-01,180.555,1378.0,1378.0,361.184,2757.0,2757.0
2012-07-01,213.539,1630.0,1630.0,389.1,2970.0,2970.0
2012-08-01,281.184,2147.0,2147.0,449.941,3434.0,3434.0
2012-09-01,255.439,1950.0,1950.0,442.701,3379.0,3379.0
2012-10-01,236.368,1804.0,1804.0,444.357,3392.0,3392.0
2012-11-01,204.084,1558.0,1558.0,485.944,3710.0,3710.0
2012-12-01,192.526,1470.0,1470.0,486.973,3716.0,3716.0
2013-01-01,711.563,6066.0,6066.0,0.0,0.0,0.0
2013-02-01,655.464,5587.0,5587.0,0.0,0.0,0.0
2013-03-01,632.154,5388.0,5388.0,0.0,0.0,0.0
2013-04-01,543.972,4637.0,4637.0,0.0,0.0,0.0
2013-05-01,574.476,4896.0,4896.0,0.0,0.0,0.0
2013-06-01,679.646,5793.0,5793.0,0.0,0.0,0.0
2013-07-01,862.394,7351.0,7351.0,0.0,0.0,0.0
2013-08-01,879.523,7496.0,7496.0,0.0,0.0,0.0
2013-09-01,877.325,7478.0,7478.0,0.0,0.0,0.0
2013-10-01,761.237,6488.0,6488.0,0.0,0.0,0.0
2013-11-01,750.861,6400.0,6400.0,0.0,0.0,0.0
2013-12-01,874.385,7453.0,7453.0,0.0,0.0,0.0
2014-01-01,695.585,5976.0,5976.0,212.348,1823.0,1823.0
2014-02-01,649.557,5579.0,5579.0,185.333,1592.0,1592.0
2014-03-01,563.672,4842.0,4842.0,193.686,1664.0,1664.0
2014-04-01,535.976,4604.0,4604.0,170.094,1461.0,1461.0
2014-05-01,540.445,4642.0,4642.0,175.259,1505.0,1505.0
2014-06-01,532.784,4576.0,4576.0,185.888,1597.0,1597.0
2014-07-01,753.826,6475.0,6475.0,185.939,1597.0,1597.0
2014-08-01,778.137,6684.0,6684.0,182.243,1565.0,1565.0
2014-09-01,813.946,6991.0,6991.0,183.691,1578.0,1578.0
2014-10-01,802.949,6897.0,6897.0,184.613,1586.0,1586.0
2014-11-01,580.292,4984.0,4984.0,158.516,1362.0,1362.0
2014-12-01,631.225,5422.0,5422.0,168.996,1452.0,1452.0
2015-01-01,118.485,1140.0,1140.0,571.276,5498.0,5498.0
2015-02-01,87.736,845.0,845.0,531.415,5116.0,5116.0
2015-03-01,102.785,989.0,989.0,553.851,5332.0,5332.0
2015-04-01,98.635,949.0,949.0,489.065,4708.0,4708.0
2015-05-01,96.293,927.0,927.0,534.164,5142.0,5142.0
2015-06-01,135.405,1303.0,1303.0,600.348,5779.0,5779.0
2015-07-01,152.72,1471.0,1471.0,611.859,5890.0,5890.0
2015-08-01,161.091,1551.0,1551.0,589.389,5673.0,5673.0
2015-09-01,159.978,1540.0,1540.0,576.86,5553.0,5553.0
2015-10-01,154.107,1484.0,1484.0,555.395,5347.0,5347.0
2015-11-01,113.626,1094.0,1094.0,514.668,4955.0,4955.0
2015-12-01,121.539,1170.0,1170.0,586.31,5645.0,5645.0
2016-01-01,107.457,1081.0,1081.0,384.3,3857.0,3857.0
2016-02-01,85.281,856.0,856.0,363.504,3648.0,3648.0
2016-03-01,66.325,666.0,666.0,334.61,3357.0,3357.0
2016-04-01,63.429,637.0,637.0,330.697,3318.0,3318.0
2016-05-01,68.468,687.0,687.0,387.722,3890.0,3890.0
2016-06-01,104.162,1045.0,1045.0,382.461,3838.0,3838.0
