measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,,,,20983.0,262931.0,262931.0,0.0,0.0,0.0
2003-02-01,,,,0.0,0.0,0.0,,,,20632.0,266553.0,266553.0,0.0,0.0,0.0
2003-03-01,,,,0.0,0.0,0.0,,,,22159.0,288102.0,288102.0,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0,,,,12770.0,171565.0,171565.0,0.0,0.0,0.0
2003-05-01,-48.0,0.0,0.0,0.0,0.0,0.0,,,,7321.0,121116.0,121116.0,0.0,0.0,0.0
2003-06-01,,,,0.0,0.0,0.0,,,,21951.0,289612.0,289612.0,0.0,0.0,0.0
2003-07-01,,,,0.0,0.0,0.0,,,,25373.0,334552.0,334552.0,0.0,0.0,0.0
2003-08-01,,,,0.0,0.0,0.0,,,,19224.0,227855.0,227855.0,0.0,0.0,0.0
2003-09-01,,,,0.0,0.0,0.0,,,,18267.0,218994.0,218994.0,0.0,0.0,0.0
2003-10-01,,,,0.0,0.0,0.0,,,,17592.0,203694.0,203694.0,0.0,0.0,0.0
2003-11-01,,,,0.0,0.0,0.0,,,,27519.0,340529.0,340529.0,0.0,0.0,0.0
2003-12-01,-85.0,0.0,0.0,0.0,0.0,0.0,,,,28875.0,351312.0,351312.0,0.0,0.0,0.0
2004-01-01,6.026000000000001,383.0,383.0,0.0,0.0,0.0,,,,34627.121,449497.0,449497.0,0.0,0.0,0.0
