measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,593.685,7141.0,7141.0,,,
2001-02-01,626.736,7539.0,7539.0,,,
2001-03-01,764.671,9198.0,9198.0,,,
2001-04-01,472.03900000000004,5678.0,5678.0,,,
2001-05-01,430.833,5182.0,5182.0,,,
2001-06-01,554.485,6670.0,6670.0,,,
2001-07-01,814.6790000000001,9800.0,9800.0,,,
2001-08-01,838.4540000000001,10086.0,10086.0,,,
2001-09-01,648.2090000000001,7797.0,7797.0,,,
2001-10-01,886.182,10660.0,10660.0,,,
2001-11-01,624.542,7513.0,7513.0,,,
2001-12-01,845.485,10170.0,10170.0,,,
2002-01-01,0.922,11.0,11.0,0.092,1.0,1.0
2002-02-01,0.744,9.0,9.0,0.07400000000000001,1.0,1.0
2002-03-01,0.917,11.0,11.0,0.092,1.0,1.0
2002-04-01,0.908,11.0,11.0,0.091,1.0,1.0
2002-05-01,0.735,9.0,9.0,0.07400000000000001,1.0,1.0
2002-06-01,0.742,9.0,9.0,0.07400000000000001,1.0,1.0
2002-07-01,0.9790000000000001,12.0,12.0,0.098,1.0,1.0
2002-08-01,0.873,10.0,10.0,0.08700000000000001,1.0,1.0
2002-09-01,0.786,9.0,9.0,0.079,1.0,1.0
2002-10-01,0.8290000000000001,10.0,10.0,0.083,1.0,1.0
2002-11-01,0.7230000000000001,9.0,9.0,0.07200000000000001,1.0,1.0
2002-12-01,0.8410000000000001,10.0,10.0,0.084,1.0,1.0
2003-01-01,1.091,14.0,14.0,,,
2003-02-01,1.046,13.0,13.0,,,
2003-03-01,1.0570000000000002,14.0,14.0,,,
2003-04-01,0.9660000000000001,12.0,12.0,,,
2003-05-01,0.9830000000000001,13.0,13.0,,,
2003-06-01,1.028,13.0,13.0,,,
2003-07-01,1.19,15.0,15.0,,,
2003-08-01,1.2730000000000001,16.0,16.0,,,
2003-09-01,1.086,14.0,14.0,,,
2003-10-01,1.0570000000000002,14.0,14.0,,,
2003-11-01,1.063,14.0,14.0,,,
2003-12-01,1.16,15.0,15.0,,,
2004-01-01,1094.987,14065.63,14452.5,0.0,0.0,0.0
2004-02-01,1094.987,14065.63,14452.5,0.0,0.0,0.0
2004-03-01,1094.987,14065.63,14452.5,0.0,0.0,0.0
2004-04-01,1094.987,14065.63,14452.5,0.0,0.0,0.0
2004-05-01,1094.987,14065.63,14452.5,0.0,0.0,0.0
2004-06-01,1094.987,14065.63,14452.5,0.0,0.0,0.0
2004-07-01,1094.987,14065.63,14452.5,0.0,0.0,0.0
2004-08-01,1094.987,14065.63,14452.5,0.0,0.0,0.0
2004-09-01,1094.987,14065.63,14452.5,0.0,0.0,0.0
2004-10-01,1094.987,14065.63,14452.5,0.0,0.0,0.0
2004-11-01,1094.987,14065.63,14452.5,0.0,0.0,0.0
2004-12-01,1094.987,14065.63,14452.5,0.0,0.0,0.0
2005-01-01,1302.525,13721.08,13721.08,,,
2005-02-01,1161.955,12240.28,12240.28,,,
2005-03-01,1327.113,13980.09,13980.09,,,
2005-04-01,1324.37,13951.19,13951.19,,,
2005-05-01,1455.952,15337.31,15337.31,,,
2005-06-01,1442.4270000000001,15194.84,15194.84,,,
2005-07-01,1493.556,15733.45,15733.45,,,
2005-08-01,1486.806,15662.34,15662.34,,,
2005-09-01,1400.5610000000001,14753.82,14753.82,,,
2005-10-01,1413.7630000000001,14892.88,14892.88,,,
2005-11-01,1423.8980000000001,14999.65,14999.65,,,
2005-12-01,1427.074,15033.1,15033.1,,,
2006-01-01,1.0130000000000001,13.02,16122.75,,,
2006-02-01,0.907,11.66,14439.66,,,
2006-03-01,0.8140000000000001,10.46,12963.6,,,
2006-04-01,0.74,9.52,11786.04,,,
2006-05-01,0.862,11.07,13716.62,,,
2006-06-01,0.5860000000000001,7.53,9328.97,,,
2006-07-01,0.777,9.98,12373.73,,,
2006-08-01,0.764,9.82,12162.51,,,
2006-09-01,0.7110000000000001,9.13,11310.1,,,
2006-10-01,0.8140000000000001,10.46,12960.58,,,
2006-11-01,0.894,11.49,14235.72,,,
2006-12-01,0.917,11.78,14599.74,,,
2007-01-01,2.215,29.0,20690.0,,,
