measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,"Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,569.0,5535.0,5535.0,,,,153148.0,1489056.0,1489056.0
2003-02-01,182.0,4018.0,4018.0,,,,0.0,0.0,0.0,,,,,,,,,,825.0,8312.0,8312.0,,,,133538.0,1346158.0,1346158.0
2003-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,523.0,5364.0,5364.0,,,,140305.0,1439004.0,1439004.0
2003-04-01,83.0,1569.0,1569.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,401.0,4091.0,4091.0,,,,127463.0,1299374.0,1299374.0
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,873.0,8952.0,8952.0,,,,93123.0,955254.0,955254.0
2003-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,235.0,2340.0,2340.0,,,,116539.0,1160415.0,1160415.0
2003-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,135883.0,1379234.0,1379234.0
2003-08-01,576.0,10296.0,10296.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,144963.0,1550769.0,1550769.0
2003-09-01,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,37.0,366.0,366.0,,,,126551.0,1277943.0,1277943.0
2003-10-01,21.0,248.0,248.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,118173.0,1203518.0,1203518.0
2003-11-01,88.0,1038.0,1038.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,134794.0,1396021.0,1396021.0
2003-12-01,556.0,8955.0,8955.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0,21.0,21.0,,,,110260.0,1106510.0,1106510.0
2004-01-01,1243.0,20031.0,20031.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,71.0,686.0,686.0,,,,132103.0,1280523.0,1280523.0
2004-02-01,327.0,7936.0,7936.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0,17.0,17.0,,,,152380.0,1512121.0,1512121.0
2004-03-01,53.0,615.0,615.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,40.0,377.0,377.0,,,,160498.0,1540948.0,1540948.0
2004-04-01,306.0,5203.0,5203.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,13.0,129.0,129.0,,,,139889.0,1414752.0,1414752.0
2004-05-01,410.0,7175.0,7175.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,623.0,6459.0,6459.0,,,,74846.0,776288.0,776288.0
