measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2018-07-01,235.171,2141.0,2141.0
2018-08-01,239.79,2183.0,2183.0
2018-09-01,196.135,1786.0,1786.0
2018-10-01,206.859,1883.0,1883.0
2018-11-01,150.51,1370.0,1370.0
2018-12-01,135.535,1234.0,1234.0
2019-01-01,122.752,1093.0,1093.0
2019-02-01,120.858,1076.0,1076.0
2019-03-01,187.682,1671.0,1671.0
2019-04-01,197.183,1756.0,1756.0
2019-05-01,212.666,1894.0,1894.0
2019-06-01,188.841,1682.0,1682.0
2019-07-01,201.088,1791.0,1791.0
2019-08-01,183.077,1630.0,1630.0
2019-09-01,187.476,1669.0,1669.0
2019-10-01,153.299,1365.0,1365.0
2019-11-01,137.169,1221.0,1221.0
2019-12-01,115.909,1032.0,1032.0
2020-01-01,119.655,1049.0,1049.0
2020-02-01,126.97,1113.0,1113.0
2020-03-01,168.099,1474.0,1474.0
2020-04-01,185.131,1623.0,1623.0
2020-05-01,205.896,1805.0,1805.0
2020-06-01,187.245,1642.0,1642.0
2020-07-01,200.641,1759.0,1759.0
2020-08-01,175.327,1537.0,1537.0
2020-09-01,148.248,1300.0,1300.0
2020-10-01,146.632,1286.0,1286.0
2020-11-01,124.338,1090.0,1090.0
2020-12-01,120.818,1059.0,1059.0
2021-01-01,114.465,1012.0,1012.0
2021-02-01,113.634,1005.0,1005.0
2021-03-01,169.051,1495.0,1495.0
2021-04-01,199.105,1761.0,1761.0
2021-05-01,218.087,1929.0,1929.0
2021-06-01,177.691,1571.0,1571.0
2021-07-01,189.027,1672.0,1672.0
2021-08-01,175.217,1550.0,1550.0
2021-09-01,169.599,1500.0,1500.0
2021-10-01,151.317,1338.0,1338.0
2021-11-01,136.118,1204.0,1204.0
2021-12-01,107.689,952.0,952.0
2022-01-01,121.936,416.0,416.0
2022-02-01,137.315,469.0,469.0
2022-03-01,176.607,603.0,603.0
2022-04-01,204.159,697.0,697.0
2022-05-01,208.778,712.0,712.0
2022-06-01,209.53,715.0,715.0
2022-07-01,194.217,663.0,663.0
2022-08-01,181.562,619.0,619.0
2022-09-01,164.236,560.0,560.0
2022-10-01,160.808,549.0,549.0
2022-11-01,109.699,374.0,374.0
2022-12-01,103.153,352.0,352.0
2023-01-01,86.0,293.0,293.0
2023-02-01,124.0,423.0,423.0
2023-03-01,179.0,611.0,611.0
2023-04-01,203.0,693.0,693.0
2023-05-01,223.0,761.0,761.0
2023-06-01,194.0,662.0,662.0
2023-07-01,198.0,676.0,676.0
2023-08-01,189.0,645.0,645.0
2023-09-01,152.0,519.0,519.0
2023-10-01,154.0,525.0,525.0
2023-11-01,120.0,409.0,409.0
2023-12-01,76.0,259.0,259.0
2024-01-01,59.0,201.0,201.0
2024-02-01,135.0,461.0,461.0
2024-03-01,169.0,577.0,577.0
2024-04-01,167.0,570.0,570.0
2024-05-01,168.0,573.0,573.0
2024-06-01,220.0,751.0,751.0
2024-07-01,203.0,693.0,693.0
2024-08-01,183.0,624.0,624.0
2024-09-01,143.0,488.0,488.0
2024-10-01,172.0,587.0,587.0
2024-11-01,110.0,375.0,375.0
2024-12-01,87.0,297.0,297.0
