measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2014-04-01,,,,5093.357,55023.0,55023.0
2014-05-01,,,,5157.668,55717.0,55717.0
2014-06-01,,,,5106.107,55160.0,55160.0
2014-07-01,,,,5254.766,56766.0,56766.0
2014-08-01,,,,5224.385,56438.0,56438.0
2014-09-01,,,,3816.496,41229.0,41229.0
2014-10-01,,,,4914.969,53095.0,53095.0
2014-11-01,,,,5803.595,62695.0,62695.0
2014-12-01,,,,6109.657,66001.0,66001.0
2015-01-01,,,,5096.633,67976.0,67976.0
2015-02-01,,,,4164.972,55550.0,55550.0
2015-03-01,,,,4094.773,54615.0,54615.0
2015-04-01,,,,3108.197,41456.0,41456.0
2015-05-01,,,,3212.081,42842.0,42842.0
2015-06-01,,,,3149.264,42004.0,42004.0
2015-07-01,,,,3134.182,41803.0,41803.0
2015-08-01,,,,3060.567,40821.0,40821.0
2015-09-01,,,,2566.677,34233.0,34233.0
2015-10-01,,,,2667.722,35582.0,35582.0
2015-11-01,,,,3238.417,43193.0,43193.0
2015-12-01,,,,3593.515,47929.0,47929.0
2016-01-01,,,,3883.591,45636.0,45636.0
2016-02-01,,,,3373.081,39636.0,39636.0
2016-03-01,,,,3551.396,41731.0,41731.0
2016-04-01,,,,3526.767,41442.0,41442.0
2016-05-01,,,,3525.7,41429.0,41429.0
2016-06-01,,,,3230.261,37958.0,37958.0
2016-07-01,,,,3444.049,40470.0,40470.0
2016-08-01,,,,2941.629,34566.0,34566.0
2016-09-01,,,,2732.246,32106.0,32106.0
2016-10-01,,,,2600.12,30553.0,30553.0
2016-11-01,,,,3305.18,38838.0,38838.0
2016-12-01,,,,3497.98,41104.0,41104.0
2017-01-01,,,,1585.69,22733.0,22733.0
2017-02-01,,,,1524.113,21850.0,21850.0
2017-03-01,,,,1631.276,23387.0,23387.0
2017-04-01,,,,1382.504,19820.0,19820.0
2017-05-01,,,,1369.777,19638.0,19638.0
2017-06-01,,,,1427.13,20461.0,20461.0
2017-07-01,,,,1538.355,22055.0,22055.0
2017-08-01,,,,1554.441,22285.0,22285.0
2017-09-01,,,,1307.978,18752.0,18752.0
2017-10-01,,,,1398.821,20054.0,20054.0
2017-11-01,,,,1702.354,24406.0,24406.0
2017-12-01,,,,1743.561,24997.0,24997.0
2018-01-01,,,,2399.408,28360.0,28360.0
2018-02-01,,,,2125.135,25117.0,25117.0
2018-03-01,,,,2251.877,26615.0,26615.0
2018-04-01,,,,1698.42,20074.0,20074.0
2018-05-01,,,,1966.762,23246.0,23246.0
2018-06-01,,,,1881.726,22241.0,22241.0
2018-07-01,,,,2053.547,24272.0,24272.0
2018-08-01,,,,1990.327,23524.0,23524.0
2018-09-01,,,,1867.016,22067.0,22067.0
2018-10-01,,,,1462.816,17289.0,17289.0
2018-11-01,,,,1944.246,22980.0,22980.0
2018-12-01,,,,2114.72,24995.0,24995.0
2019-01-01,,,,5078.888,90907.0,90907.0
2019-02-01,,,,4384.619,78480.0,78480.0
2019-03-01,,,,4078.841,73007.0,73007.0
2019-04-01,,,,4169.907,74636.0,74636.0
2019-05-01,,,,3696.978,66172.0,66172.0
2019-06-01,,,,3264.537,58432.0,58432.0
2019-07-01,,,,4011.024,71793.0,71793.0
2019-08-01,,,,3737.926,66905.0,66905.0
2019-09-01,,,,2893.0,51781.0,51781.0
2019-10-01,,,,3525.722,63106.0,63106.0
2019-11-01,,,,3719.893,66582.0,66582.0
2019-12-01,,,,3937.665,70480.0,70480.0
2020-01-01,,,,3762.585,38144.0,38144.0
2020-02-01,,,,3096.181,31388.0,31388.0
2020-03-01,,,,2963.679,30045.0,30045.0
2020-04-01,,,,2539.023,25740.0,25740.0
2020-05-01,,,,2621.506,26576.0,26576.0
2020-06-01,,,,2599.489,26353.0,26353.0
2020-07-01,,,,2714.097,27515.0,27515.0
2020-08-01,,,,2614.077,26501.0,26501.0
2020-09-01,,,,2391.787,24248.0,24248.0
2020-10-01,,,,2033.725,20617.0,20617.0
2020-11-01,,,,3717.069,37682.0,37682.0
2020-12-01,,,,4205.782,42637.0,42637.0
2021-01-01,,,,2709.588,27064.0,27064.0
2021-02-01,,,,2328.305,23255.0,23255.0
2021-03-01,,,,2284.828,22821.0,22821.0
2021-04-01,,,,2252.335,22497.0,22497.0
2021-05-01,,,,2456.084,24532.0,24532.0
2021-06-01,,,,3092.391,30887.0,30887.0
2021-07-01,,,,3513.385,35092.0,35092.0
2021-08-01,,,,3562.499,35582.0,35582.0
2021-09-01,,,,2920.637,29171.0,29171.0
2021-10-01,,,,2754.502,27512.0,27512.0
2021-11-01,,,,2566.822,25637.0,25637.0
2021-12-01,,,,2679.624,26764.0,26764.0
2022-01-01,0.0,0.0,0.0,1335.414,13975.0,13975.0
2022-02-01,0.0,0.0,0.0,1141.578,11946.0,11946.0
2022-03-01,0.0,0.0,0.0,1123.225,11754.0,11754.0
2022-04-01,0.0,0.0,0.0,1055.571,11046.0,11046.0
2022-05-01,0.0,0.0,0.0,1247.077,13050.0,13050.0
2022-06-01,0.0,0.0,0.0,1506.951,15769.0,15769.0
