measured_on,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed
2003-01-01,-9.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-02-01,-49.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-03-01,70.0,1626.0,1626.0,,,,0.0,0.0,0.0,,,
2003-04-01,978.0,15417.0,15417.0,,,,258.0,4064.0,4064.0,,,
2003-05-01,7.0,134.0,134.0,,,,355.0,6554.0,6554.0,,,
2003-06-01,51.0,876.0,876.0,,,,207.0,3584.0,3584.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,-18.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,235.0,4164.0,4164.0,,,,202.0,3572.0,3572.0,0.0,0.0,0.0
2003-09-01,-20.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,-27.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,93.0,2340.0,2340.0,0.0,0.0,0.0
2003-12-01,311.0,4586.0,4586.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,17.001,433.0,433.0,,,,20.393,519.0,519.0,0.0,0.0,0.0
2004-02-01,17.001,433.0,433.0,,,,16.028000000000002,408.0,408.0,0.0,0.0,0.0
