measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Other - Combined Cycle Combustion Turbine Part - Other - Generation,Other - Combined Cycle Combustion Turbine Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Combustion Turbine Part - Other - Total Fuel Consumed,Other - Combined Cycle Steam Part - Other - Generation,Other - Combined Cycle Steam Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Steam Part - Other - Total Fuel Consumed
2003-01-01,,,,,,,51.0,655.0,655.0,59573.0,758297.0,758297.0,20041.0,0.0,0.0,1331.0,18820.0,18820.0,,,,,,
2003-02-01,,,,,,,28.0,371.0,371.0,46947.0,622754.0,622754.0,16364.0,0.0,0.0,1367.0,19180.0,19180.0,,,,,,
2003-03-01,,,,,,,20.0,267.0,267.0,54317.0,708926.0,708926.0,17619.0,0.0,0.0,3808.0,52293.0,52293.0,,,,,,
2003-04-01,,,,,,,6.0,87.0,87.0,42062.0,555142.0,555142.0,13584.0,0.0,0.0,12117.0,163080.0,163080.0,,,,,,
2003-05-01,,,,,,,12.0,168.0,168.0,43379.0,584428.0,584428.0,15566.0,0.0,0.0,3501.0,47900.0,47900.0,,,,,,
2003-06-01,,,,,,,10.0,139.0,139.0,42141.0,566360.0,566360.0,15301.0,0.0,0.0,1949.0,26868.0,26868.0,,,,,,
2003-07-01,,,,,,,15.0,255.0,255.0,50882.0,693979.0,693979.0,19104.0,0.0,0.0,495.0,8476.0,8476.0,,,,,,
2003-08-01,,,,,,,20.0,273.0,273.0,48057.0,653938.0,653938.0,17443.0,0.0,0.0,4898.0,67194.0,67194.0,,,,,,
2003-09-01,,,,,,,10.0,133.0,133.0,20296.0,304204.0,304204.0,6167.0,0.0,0.0,31665.0,432744.0,432744.0,,,,,,
2003-10-01,,,,,,,10.0,133.0,133.0,14627.0,222783.0,222783.0,3846.0,0.0,0.0,37809.0,511586.0,511586.0,,,,,,
2003-11-01,,,,,,,11.0,139.0,139.0,17031.0,252983.0,252983.0,0.0,0.0,0.0,42919.0,545619.0,545619.0,,,,,,
2003-12-01,,,,,,,16.0,191.0,191.0,35684.0,488622.0,488622.0,0.0,0.0,0.0,50654.0,626266.0,626266.0,,,,,,
2004-01-01,,,,,,,12.0,145.0,145.0,37402.0,495349.0,495349.0,1158.0,0.0,0.0,45488.0,558152.0,558152.0,,,,,,
2004-02-01,,,,,,,8.0,99.0,99.0,38204.0,511296.0,511296.0,1806.0,0.0,0.0,44174.0,547748.0,547748.0,,,,,,
2004-03-01,,,,,,,21.0,267.0,267.0,58856.0,788706.0,788706.0,16992.0,0.0,0.0,10091.0,126090.0,126090.0,,,,,,
2004-04-01,,,,,,,31.0,394.0,394.0,49573.0,669150.0,669150.0,14849.0,0.0,0.0,18674.0,239184.0,239184.0,,,,,,
2004-05-01,,,,,,,23.0,296.0,296.0,57771.0,777179.0,777179.0,21694.0,0.0,0.0,19728.0,258926.0,258926.0,,,,,,
2004-06-01,,,,,,,2.0,29.0,29.0,45833.0,629378.0,629378.0,13418.0,0.0,0.0,30072.0,395883.0,395883.0,,,,,,
2004-07-01,,,,,,,23.0,296.0,296.0,42881.0,585447.0,585447.0,14940.0,0.0,0.0,31104.0,405529.0,405529.0,,,,,,
2004-08-01,,,,,,,16.0,209.0,209.0,33586.0,485746.0,485746.0,10651.0,0.0,0.0,19310.0,253632.0,253632.0,,,,,,
2004-09-01,,,,,,,15.0,180.0,180.0,47013.0,635762.0,635762.0,16872.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-10-01,,,,,,,80.0,1003.0,1003.0,66135.0,881181.0,881181.0,23037.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-11-01,,,,,,,18.0,226.0,226.0,58498.0,783465.0,783465.0,19037.0,0.0,0.0,6728.0,87249.0,87249.0,,,,,,
2004-12-01,,,,,,,11.0,144.0,144.0,55652.0,734248.0,734248.0,16684.0,0.0,0.0,14128.0,170506.0,170506.0,,,,,,
2005-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,55721.0,719398.86,719398.86,18351.0,0.0,0.0,6881.0,92359.98,92359.98,,,,,,
2005-02-01,0.0,0.0,0.0,,,,10.0,138.0,138.0,50458.0,658018.32,658018.32,16546.0,0.0,0.0,2000.0,29029.2,29029.2,,,,,,
2005-03-01,0.0,0.0,0.0,,,,6.0,88.32,88.32,47465.0,718292.16,718292.16,18878.0,0.0,0.0,861.0,13587.42,13587.42,,,,,,
2005-04-01,0.0,0.0,0.0,,,,-1.0,193.2,193.2,52048.0,730700.46,730700.46,19372.0,0.0,0.0,-7.0,1335.18,1335.18,,,,,,
2005-05-01,0.0,0.0,0.0,,,,6.0,77.28,77.28,51497.0,699626.16,699626.16,19593.0,0.0,0.0,7654.0,109930.5,109930.5,,,,,,
2005-06-01,0.0,0.0,0.0,,,,49.0,496.8,496.8,30034.0,436376.4,436376.4,10570.0,0.0,0.0,29092.0,387219.54,387219.54,,,,,,
2005-07-01,0.0,0.0,0.0,,,,25.0,303.6,303.6,32131.0,452139.48,452139.48,5969.0,0.0,0.0,32197.0,417594.12,417594.12,,,,,,
2005-08-01,0.0,0.0,0.0,,,,16.0,198.72,198.72,23105.0,325127.04,325127.04,0.0,0.0,0.0,44756.0,580691.1,580691.1,,,,,,
2005-09-01,0.0,0.0,0.0,,,,13.0,154.56,154.56,33045.0,464617.14,464617.14,0.0,0.0,0.0,45157.0,580453.44,580453.44,,,,,,
2005-10-01,0.0,0.0,0.0,,,,15.0,182.16,182.16,52003.0,693313.38,693313.38,1759.0,0.0,0.0,50922.0,639039.18,639039.18,,,,,,
2005-11-01,0.0,0.0,0.0,,,,19.0,237.36,237.36,71605.0,948510.24,948510.24,23056.0,0.0,0.0,3845.0,49500.6,49500.6,,,,,,
2005-12-01,0.0,0.0,0.0,,,,7.0,82.8,82.8,70741.0,844441.68,844441.68,24132.0,0.0,0.0,12925.0,154048.56,154048.56,,,,,,
2006-01-01,0.0,0.0,0.0,,,,3.0,39.0,39.0,65032.0,842744.0,842744.0,21059.0,0.0,0.0,25995.0,336567.0,336567.0,,,,,,
2006-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,49446.0,628485.0,628485.0,17144.0,0.0,0.0,30430.0,417418.0,417418.0,,,,,,
2006-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,51882.0,676778.0,676778.0,18588.0,0.0,0.0,37225.0,500000.0,500000.0,,,,,,
2006-04-01,0.0,0.0,0.0,,,,22.0,287.0,287.0,60915.0,820317.0,820317.0,21941.0,0.0,0.0,21182.0,291035.0,291035.0,,,,,,
2006-05-01,0.0,0.0,0.0,,,,0.0,6.0,6.0,57816.0,783898.0,783898.0,21734.0,0.0,0.0,30280.0,412479.0,412479.0,,,,,,
2006-06-01,0.0,0.0,0.0,,,,19.0,243.0,243.0,52732.0,719075.0,719075.0,15834.0,0.0,0.0,28108.0,382634.0,382634.0,,,,,,
2006-07-01,0.0,0.0,0.0,,,,24.0,304.0,304.0,58827.0,807970.0,807970.0,22481.0,0.0,0.0,33058.0,449177.0,449177.0,,,,,,
2006-08-01,0.0,0.0,0.0,,,,19.0,232.0,232.0,59107.0,806986.0,806986.0,14639.0,0.0,0.0,43353.0,564769.0,564769.0,,,,,,
2006-09-01,0.0,0.0,0.0,,,,9.0,110.0,110.0,40256.0,572382.0,572382.0,14102.0,0.0,0.0,31169.0,407141.0,407141.0,,,,,,
2006-10-01,0.0,0.0,0.0,,,,8.0,99.0,99.0,48132.0,651126.0,651126.0,16299.0,0.0,0.0,36620.0,480776.0,480776.0,,,,,,
2006-11-01,0.0,0.0,0.0,,,,19.0,248.0,248.0,72104.0,947970.0,947970.0,23570.0,0.0,0.0,18401.0,250877.0,250877.0,,,,,,
2006-12-01,0.0,0.0,0.0,,,,10.0,121.0,121.0,71423.0,939192.0,939192.0,23271.0,0.0,0.0,26564.0,350780.0,350780.0,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,9.416,121.0,121.0,58931.0,764339.0,764339.0,19114.0,0.0,0.0,34490.584,444853.0,444853.0,,,,,,
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,6.977,94.0,94.0,68307.0,892562.0,892562.0,22220.0,0.0,0.0,21290.023,286357.0,286357.0,,,,,,
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,10.263,138.0,138.0,76376.0,1002966.0,1002966.0,25092.0,0.0,0.0,16284.737000000001,218980.0,218980.0,,,,,,
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,132.0,132.0,67112.0,904950.0,904950.0,23526.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6.244000000000001,88.0,88.0,62505.0,864658.0,864658.0,22085.0,0.0,0.0,5404.756,76453.0,76453.0,,,,,,
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,7.908,110.0,110.0,60430.0,837249.0,837249.0,22248.0,0.0,0.0,14559.092,203254.0,203254.0,,,,,,
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,8.366,116.0,116.0,59902.0,831640.0,831640.0,21874.0,0.0,0.0,13698.634,189806.0,189806.0,,,,,,
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,9.496,121.0,121.0,42573.0,609700.0,609700.0,12138.0,0.0,0.0,27502.504,351712.0,351712.0,,,,,,
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,38.374,486.0,486.0,38377.0,532629.0,532629.0,-195.0,0.0,0.0,40980.626,518760.0,518760.0,,,,,,
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,3.5090000000000003,44.0,44.0,53839.0,701840.0,701840.0,1220.0,0.0,0.0,46851.491,589684.0,589684.0,,,,,,
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,31.515,425.0,425.0,74867.0,993105.0,993105.0,25144.0,0.0,0.0,10227.485,137936.0,137936.0,,,,,,
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,32.138,431.0,431.0,76135.0,1004294.0,1004294.0,24732.0,0.0,0.0,3353.862,44933.0,44933.0,,,,,,
2008-01-01,21.525000000000002,287.0,287.0,7.18,0.0,0.0,,,,70335.475,937930.0,937930.0,23461.82,0.0,0.0,-93.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,9.555,127.0,127.0,3.206,0.0,0.0,,,,69150.445,918856.0,918856.0,23199.794,0.0,0.0,-86.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,9.096,121.0,121.0,3.1550000000000002,0.0,0.0,,,,69794.904,931823.0,931823.0,24204.845,0.0,0.0,6127.0,85280.0,85280.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,2.005,28.0,28.0,0.683,0.0,0.0,,,,49116.995,676034.0,676034.0,16735.317,0.0,0.0,22649.0,284242.0,284242.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,19.469,265.0,265.0,7.008,0.0,0.0,,,,63723.531,867256.0,867256.0,22937.992,0.0,0.0,9909.0,129781.0,129781.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,11.279,155.0,155.0,4.174,0.0,0.0,,,,64970.721,890341.0,890341.0,24045.826,0.0,0.0,8345.0,118000.0,118000.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,11.266,155.0,155.0,4.202,0.0,0.0,,,,67142.734,921166.0,921166.0,25044.798000000003,0.0,0.0,13997.0,203583.0,203583.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,5.184,72.0,72.0,1.387,0.0,0.0,,,,50507.816,699094.0,699094.0,13515.613000000001,0.0,0.0,26868.0,346302.0,346302.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,8.154,110.0,110.0,2.948,0.0,0.0,,,,62413.846,845013.0,845013.0,22565.052,0.0,0.0,12009.0,166986.0,166986.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,12.852,171.0,171.0,4.3500000000000005,0.0,0.0,,,,73608.148,980046.0,980046.0,24914.65,0.0,0.0,-6.0,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,11.616000000000001,155.0,155.0,3.882,0.0,0.0,,,,71009.384,944817.0,944817.0,23733.118000000002,0.0,0.0,635.0,10321.0,10321.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,11.424000000000001,155.0,155.0,3.8240000000000003,0.0,0.0,,,,69569.576,941269.0,941269.0,23286.176,0.0,0.0,-55.0,769.0,769.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,10.224,138.0,138.0,3.445,0.0,0.0,,,,69634.776,939889.0,939889.0,23464.555,0.0,0.0,-74.0,869.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,5.806,77.0,77.0,1.969,0.0,0.0,,,,51124.194,680517.0,680517.0,17342.031,0.0,0.0,2872.0,37837.0,37837.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,25788.0,348623.0,348623.0,-113.0,0.0,0.0,44427.0,570634.0,570634.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.40700000000000003,6.0,6.0,-0.005,0.0,0.0,,,,23864.593,323696.0,323696.0,-263.995,0.0,0.0,48589.0,610122.0,610122.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,33.251000000000005,447.0,447.0,11.976,0.0,0.0,,,,58039.749,780453.0,780453.0,20905.024,0.0,0.0,15387.0,211027.0,211027.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,24.708000000000002,337.0,337.0,9.168000000000001,0.0,0.0,,,,64038.292,872729.0,872729.0,23760.832000000002,0.0,0.0,1550.0,22395.0,22395.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,10.108,138.0,138.0,3.605,0.0,0.0,,,,60121.892,820855.0,820855.0,21442.395,0.0,0.0,10900.0,139818.0,139818.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,3.0180000000000002,44.0,44.0,0.20900000000000002,0.0,0.0,,,,22313.982,326500.0,326500.0,1545.7910000000002,0.0,0.0,50837.0,638373.0,638373.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,21.403000000000002,282.0,282.0,7.418,0.0,0.0,,,,62094.597,816751.0,816751.0,21520.582,0.0,0.0,13074.0,174595.0,174595.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,67.135,900.0,900.0,22.698,0.0,0.0,,,,66372.865,889549.0,889549.0,22440.302,0.0,0.0,4340.0,59489.0,59489.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,9.247,127.0,127.0,2.978,0.0,0.0,,,,59804.753,821111.0,821111.0,19258.022,0.0,0.0,-9.0,1447.0,1447.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,9.493,132.0,132.0,3.036,0.0,0.0,,,,58710.507,819360.0,819360.0,18776.964,0.0,0.0,600.0,9844.0,9844.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,11.364,155.0,155.0,3.665,0.0,0.0,,,,64432.636,876306.0,876306.0,20781.335,0.0,0.0,84.0,819.0,819.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,10.695,144.0,144.0,3.6350000000000002,0.0,0.0,,,,60719.305,814826.0,814826.0,20639.365,0.0,0.0,-34.0,912.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,11.545,155.0,155.0,3.9480000000000004,0.0,0.0,,,,67601.455,904987.0,904987.0,23116.052,0.0,0.0,61.0,698.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0
