measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,215.36100000000002,3589.0,3589.0,809.3810000000001,9440.0,9440.0
2003-02-01,0.0,0.0,0.0,,,,201.613,3360.0,3360.0,757.712,8837.0,8837.0
2003-03-01,0.0,0.0,0.0,,,,194.776,3246.0,3246.0,732.015,8538.0,8538.0
2003-04-01,0.0,0.0,0.0,,,,186.497,3108.0,3108.0,700.9010000000001,8175.0,8175.0
2003-05-01,0.0,0.0,0.0,,,,189.21200000000002,3153.0,3153.0,711.105,8294.0,8294.0
2003-06-01,0.0,0.0,0.0,,,,197.446,3290.0,3290.0,742.05,8655.0,8655.0
2003-07-01,0.0,0.0,0.0,,,,227.692,3794.0,3794.0,855.7230000000001,9980.0,9980.0
2003-08-01,0.0,0.0,0.0,,,,230.851,3847.0,3847.0,867.595,10119.0,10119.0
2003-09-01,0.0,0.0,0.0,,,,200.038,3334.0,3334.0,751.79,8768.0,8768.0
2003-10-01,0.0,0.0,0.0,,,,207.418,3457.0,3457.0,779.528,9092.0,9092.0
2003-11-01,0.0,0.0,0.0,,,,212.89,3548.0,3548.0,800.0930000000001,9332.0,9332.0
2003-12-01,0.0,0.0,0.0,,,,222.20600000000002,3703.0,3703.0,835.106,9740.0,9740.0
2004-01-01,0.0,0.0,0.0,,,,484.295,7788.0,7788.0,207.431,2483.0,2483.0
2004-02-01,0.0,0.0,0.0,,,,83.217,1338.0,1338.0,188.324,2254.0,2254.0
2004-03-01,0.0,0.0,0.0,,,,22.578,363.0,363.0,194.619,2329.0,2329.0
2004-04-01,0.0,0.0,0.0,,,,16.995,273.0,273.0,185.389,2219.0,2219.0
2004-05-01,0.0,0.0,0.0,,,,44.23,711.0,711.0,205.39700000000002,2458.0,2458.0
2004-06-01,0.0,0.0,0.0,,,,109.396,1759.0,1759.0,190.195,2276.0,2276.0
2004-07-01,0.0,0.0,0.0,,,,289.29900000000004,4652.0,4652.0,151.372,1812.0,1812.0
2004-08-01,0.0,0.0,0.0,,,,34.522,555.0,555.0,138.139,1653.0,1653.0
2004-09-01,0.0,0.0,0.0,,,,164.149,2640.0,2640.0,164.2,1965.0,1965.0
2004-10-01,0.0,0.0,0.0,,,,50.566,813.0,813.0,153.585,1838.0,1838.0
2004-11-01,0.0,0.0,0.0,,,,17.557000000000002,282.0,282.0,136.645,1635.0,1635.0
2004-12-01,0.0,0.0,0.0,,,,62.195,1000.0,1000.0,194.705,2330.0,2330.0
2005-01-01,0.0,0.0,0.0,,,,60.981,1031.18,1031.18,331.56,3864.55,3864.55
2005-02-01,0.0,0.0,0.0,,,,48.786,824.95,824.95,265.25,3091.66,3091.66
2005-03-01,0.0,0.0,0.0,,,,67.699,1144.77,1144.77,368.084,4290.25,4290.25
2005-04-01,0.0,0.0,0.0,,,,64.26400000000001,1086.68,1086.68,349.406,4072.55,4072.55
2005-05-01,0.0,0.0,0.0,,,,61.451,1039.12,1039.12,334.115,3894.33,3894.33
2005-06-01,0.0,0.0,0.0,,,,116.003,1961.57,1961.57,630.714,7351.37,7351.37
