measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,136.632,1134.0,1617.0
2003-02-01,126.063,1046.0,1492.0
2003-03-01,138.969,1154.0,1645.0
2003-04-01,131.421,1091.0,1556.0
2003-05-01,150.475,1249.0,1781.0
2003-06-01,156.78,1301.0,1856.0
2003-07-01,201.291,1671.0,2383.0
2003-08-01,189.10600000000002,1570.0,2239.0
2003-09-01,172.80700000000002,1434.0,2046.0
2003-10-01,162.627,1350.0,1925.0
2003-11-01,137.663,1143.0,1630.0
2003-12-01,146.165,1213.0,1730.0
2004-01-01,88.73700000000001,579.47,1156.09
2004-02-01,149.31300000000002,975.04,1945.27
2004-03-01,160.918,1050.82,2096.48
2004-04-01,96.01400000000001,626.99,1250.89
2004-05-01,162.55100000000002,1061.48,2117.74
2004-06-01,162.536,1061.39,2117.55
2004-07-01,171.084,1117.2,2228.91
2004-08-01,174.667,1140.61,2275.6
2004-09-01,172.92700000000002,1129.24,2252.93
2004-10-01,160.64,1049.0,2092.85
2004-11-01,87.409,570.8,1138.78
2004-12-01,169.366,1105.99,2206.54
2005-01-01,23.726000000000003,154.93,300.87
2005-02-01,21.415,139.84,271.56
2005-03-01,23.112000000000002,150.92,293.07
2005-04-01,23.223000000000003,151.64,294.48
2005-05-01,25.505,166.56,323.43
2005-06-01,32.76,213.93,415.43
2005-07-01,41.95,273.94,531.96
2005-08-01,43.474000000000004,283.89,551.29
2005-09-01,32.788000000000004,214.12,415.78
2005-10-01,25.45,166.2,322.73
2005-11-01,22.708000000000002,148.28,287.96
2005-12-01,25.909000000000002,169.19,328.55
2006-01-01,162.882,1063.65,1957.78
2006-02-01,143.609,937.79,1726.12
2006-03-01,159.066,1038.73,1911.92
2006-04-01,151.55800000000002,989.71,1821.68
2006-05-01,176.654,1153.58,2123.31
2006-06-01,187.245,1222.74,2250.61
2006-07-01,210.829,1376.75,2534.09
2006-08-01,217.799,1422.27,2617.87
2006-09-01,177.34,1158.06,2131.57
