measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-11-01,0.25689,1.13,86235.62,,,,0.00911,0.04,3057.17,,,
2006-12-01,0.26184999999999997,1.15,88440.7,,,,0.01015,0.04,3428.28,,,
2007-01-01,189.265,810.0,9882.0,,,,0.0,0.0,0.0,,,
2007-02-01,151.15900000000002,642.0,7896.0,,,,0.0,0.0,0.0,,,
2007-03-01,186.197,792.0,9726.0,,,,0.0,0.0,0.0,,,
2007-04-01,183.371,780.0,9576.0,,,,0.0,0.0,0.0,,,
2007-05-01,186.89,798.0,9762.0,,,,0.0,0.0,0.0,,,
2007-06-01,201.69,858.0,10530.0,,,,0.0,0.0,0.0,,,
2007-07-01,212.496,906.0,11094.0,,,,0.0,0.0,0.0,,,
2007-08-01,198.46300000000002,846.0,10362.0,,,,0.0,0.0,0.0,,,
2007-09-01,184.038,786.0,9612.0,,,,0.0,0.0,0.0,,,
2007-10-01,168.013,714.0,8772.0,,,,0.0,0.0,0.0,,,
2007-11-01,159.93,684.0,8352.0,,,,0.0,0.0,0.0,,,
2007-12-01,138.488,588.0,7230.0,,,,0.0,0.0,0.0,,,
2008-01-01,97.682,417.0,309144.0,,,,0.0,0.0,0.0,,,
2008-02-01,94.703,404.0,299706.0,,,,0.0,0.0,0.0,,,
2008-03-01,73.65400000000001,314.0,233094.0,,,,0.0,0.0,0.0,,,
2008-04-01,87.854,375.0,278034.0,,,,0.0,0.0,0.0,,,
2008-05-01,78.20400000000001,334.0,247494.0,,,,0.0,0.0,0.0,,,
2008-06-01,57.88,247.0,183174.0,,,,0.0,0.0,0.0,,,
2008-07-01,81.354,347.0,257466.0,,,,0.0,0.0,0.0,,,
2008-08-01,91.82000000000001,392.0,290586.0,,,,0.0,0.0,0.0,,,
2008-09-01,82.182,351.0,260082.0,,,,0.0,0.0,0.0,,,
2008-10-01,103.414,441.0,327276.0,,,,0.0,0.0,0.0,,,
2008-11-01,98.53500000000001,420.0,311832.0,,,,0.0,0.0,0.0,,,
2008-12-01,60.718,259.0,192156.0,,,,0.0,0.0,0.0,,,
2009-01-01,58.542,250.0,203244.0,,,,0.0,0.0,0.0,,,
2009-02-01,60.496,258.0,210030.0,,,,0.0,0.0,0.0,,,
2009-03-01,90.46,386.0,314058.0,,,,0.0,0.0,0.0,,,
2009-04-01,84.40400000000001,360.0,293034.0,,,,0.0,0.0,0.0,,,
2009-05-01,86.268,368.0,299502.0,,,,0.0,0.0,0.0,,,
2009-06-01,91.549,390.0,317838.0,,,,0.0,0.0,0.0,,,
2009-07-01,93.575,399.0,324870.0,,,,0.0,0.0,0.0,,,
2009-08-01,100.195,427.0,347850.0,,,,0.0,0.0,0.0,,,
2009-09-01,91.842,392.0,318852.0,,,,0.0,0.0,0.0,,,
2009-10-01,88.976,380.0,308904.0,,,,0.0,0.0,0.0,,,
2009-11-01,86.61,369.0,300690.0,,,,0.0,0.0,0.0,,,
2009-12-01,87.083,371.0,302328.0,,,,0.0,0.0,0.0,,,
2010-01-01,77.601,331.0,245580.0,,,,0.0,0.0,0.0,,,
2010-02-01,84.812,362.0,268404.0,,,,0.0,0.0,0.0,,,
2010-03-01,87.512,373.0,276948.0,,,,0.0,0.0,0.0,,,
2010-04-01,85.69,366.0,271188.0,,,,0.0,0.0,0.0,,,
2010-05-01,81.61,348.0,258276.0,,,,0.0,0.0,0.0,,,
2010-06-01,57.56,246.0,182160.0,,,,0.0,0.0,0.0,,,
2010-07-01,89.543,382.0,283380.0,,,,0.0,0.0,0.0,,,
2010-08-01,87.82300000000001,375.0,277932.0,,,,0.0,0.0,0.0,,,
2010-09-01,87.379,373.0,276534.0,,,,0.0,0.0,0.0,,,
2010-10-01,90.915,388.0,287724.0,,,,0.0,0.0,0.0,,,
2010-11-01,88.21000000000001,376.0,279162.0,,,,0.0,0.0,0.0,,,
2010-12-01,89.345,381.0,282756.0,,,,0.0,0.0,0.0,,,
2011-01-01,87.962,375.0,251916.0,,,,0.063,0.0,177.0,,,
2011-02-01,58.591,250.0,167808.0,,,,0.06,0.0,171.0,,,
2011-03-01,86.691,370.0,248286.0,,,,0.055,0.0,158.0,,,
2011-04-01,65.104,278.0,186462.0,,,,0.067,0.0,193.0,,,
2011-05-01,33.701,144.0,96522.0,,,,0.07,0.0,199.0,,,
2011-06-01,99.901,426.0,286122.0,,,,0.07,0.0,200.0,,,
2011-07-01,99.874,426.0,286044.0,,,,0.076,0.0,219.0,,,
2011-08-01,97.57,416.0,279444.0,,,,0.082,0.0,236.0,,,
2011-09-01,103.797,443.0,297282.0,,,,0.06,0.0,171.0,,,
2011-10-01,100.469,429.0,287748.0,,,,0.054,0.0,156.0,,,
2011-11-01,97.5,416.0,279246.0,,,,0.056,0.0,161.0,,,
2011-12-01,88.072,376.0,252240.0,,,,0.055,0.0,159.0,,,
2012-01-01,88.322,377.0,275220.0,,,,0.731,3.0,2278.0,,,
2012-02-01,75.104,320.0,234030.0,,,,0.722,3.0,2248.0,,,
2012-03-01,113.73,485.0,354390.0,,,,0.835,4.0,2600.0,,,
2012-04-01,105.067,448.0,327396.0,,,,0.889,4.0,2770.0,,,
2012-05-01,110.191,470.0,343362.0,,,,1.097,5.0,3419.0,,,
2012-06-01,81.769,349.0,254796.0,,,,1.153,5.0,3593.0,,,
2012-07-01,88.988,380.0,277290.0,,,,1.184,5.0,3690.0,,,
2012-08-01,106.286,453.0,331194.0,,,,1.145,5.0,3569.0,,,
2012-09-01,107.141,457.0,333858.0,,,,0.994,4.0,3098.0,,,
2012-10-01,110.98,473.0,345822.0,,,,0.883,4.0,2753.0,,,
2012-11-01,130.6,557.0,406956.0,,,,0.714,3.0,2226.0,,,
2012-12-01,120.59,514.0,375768.0,,,,0.885,4.0,2756.0,,,
2013-01-01,29.131,124.0,94339.0,,,,1.007,4.0,3260.0,,,
2013-02-01,134.017,572.0,434042.0,,,,0.785,3.0,2542.0,,,
2013-03-01,146.466,625.0,474362.0,,,,0.876,4.0,2838.0,,,
2013-04-01,133.88,571.0,433594.0,,,,0.968,4.0,3136.0,,,
2013-05-01,128.104,546.0,414890.0,,,,0.938,4.0,3038.0,,,
2013-06-01,81.532,348.0,264054.0,,,,1.141,5.0,3695.0,,,
2013-07-01,66.16,282.0,214270.0,,,,1.238,5.0,4010.0,,,
2013-08-01,109.489,467.0,354599.0,,,,1.243,5.0,4027.0,,,
2013-09-01,130.31,556.0,422037.0,,,,1.057,5.0,3424.0,,,
2013-10-01,146.574,625.0,474705.0,,,,0.94,4.0,3045.0,,,
2013-11-01,140.242,598.0,454202.0,,,,1.001,4.0,3240.0,,,
2013-12-01,141.77,605.0,459151.0,,,,1.131,5.0,3661.0,,,
2014-01-01,95.555,408.0,322826.0,,,,0.561,2.0,1897.0,,,
2014-02-01,91.365,390.0,308679.0,,,,0.464,2.0,1567.0,,,
2014-03-01,91.347,390.0,308616.0,,,,0.433,2.0,1464.0,,,
2014-04-01,90.13,384.0,304507.0,,,,0.484,2.0,1636.0,,,
2014-05-01,88.942,379.0,300489.0,,,,0.574,2.0,1939.0,,,
2014-06-01,80.577,344.0,272230.0,,,,0.558,2.0,1884.0,,,
2014-07-01,91.776,391.0,310065.0,,,,0.577,2.0,1949.0,,,
2014-08-01,100.412,428.0,339241.0,,,,0.646,3.0,2183.0,,,
2014-09-01,82.791,353.0,279713.0,,,,0.525,2.0,1774.0,,,
2014-10-01,90.462,386.0,305627.0,,,,0.517,2.0,1747.0,,,
2014-11-01,86.298,368.0,291557.0,,,,0.503,2.0,1699.0,,,
2014-12-01,104.013,444.0,351407.0,,,,0.49,2.0,1655.0,,,
2015-01-01,0.0,0.0,384902.0,,,,0.0,0.0,3753.0,,,
2015-02-01,0.0,0.0,366226.0,,,,0.0,0.0,3513.0,,,
2015-03-01,0.0,0.0,405209.0,,,,0.0,0.0,3425.0,,,
2015-04-01,0.0,0.0,376929.0,,,,0.0,0.0,3556.0,,,
2015-05-01,0.0,0.0,399098.0,,,,0.0,0.0,3961.0,,,
2015-06-01,0.0,0.0,350294.0,,,,0.0,0.0,4676.0,,,
2015-07-01,0.0,0.0,356993.0,,,,0.0,0.0,5067.0,,,
2015-08-01,0.0,0.0,383761.0,,,,0.0,0.0,4702.0,,,
2015-09-01,0.0,0.0,321755.0,,,,0.0,0.0,3917.0,,,
2015-10-01,0.0,0.0,390600.0,,,,0.0,0.0,4328.0,,,
2015-11-01,0.0,0.0,368053.0,,,,0.0,0.0,4396.0,,,
2015-12-01,0.0,0.0,327005.0,,,,0.0,0.0,4560.0,,,
2016-01-01,0.0,0.0,342433.0,,,,0.0,0.0,1086.0,,,
2016-02-01,0.0,0.0,353402.0,,,,0.0,0.0,985.0,,,
2016-03-01,0.0,0.0,270410.0,,,,0.0,0.0,1007.0,,,
2016-04-01,0.0,0.0,273077.0,,,,0.0,0.0,961.0,,,
2016-05-01,0.0,0.0,372246.0,,,,0.0,0.0,1091.0,,,
2016-06-01,0.0,0.0,314832.0,,,,0.0,0.0,1149.0,,,
2016-07-01,0.0,0.0,251664.0,,,,0.0,0.0,1177.0,,,
2016-08-01,0.0,0.0,339829.0,,,,0.0,0.0,1137.0,,,
2016-09-01,0.0,0.0,305480.0,,,,0.0,0.0,1049.0,,,
2016-10-01,0.0,0.0,371280.0,,,,0.0,0.0,897.0,,,
2016-11-01,0.0,0.0,340200.0,,,,0.0,0.0,880.0,,,
2016-12-01,0.0,0.0,273133.0,,,,0.0,0.0,850.0,,,
2017-01-01,0.0,0.0,272293.0,,,,0.0,0.0,344.0,,,
2017-02-01,0.0,0.0,246967.0,,,,0.0,0.0,327.0,,,
2017-03-01,0.0,0.0,326627.0,,,,0.0,0.0,369.0,,,
2017-04-01,0.0,0.0,318780.0,,,,0.0,0.0,391.0,,,
2017-05-01,0.0,0.0,340697.0,,,,0.0,0.0,413.0,,,
2017-06-01,0.0,0.0,284851.0,,,,0.0,0.0,425.0,,,
2017-07-01,0.0,0.0,284592.0,,,,0.0,0.0,461.0,,,
2017-08-01,0.0,0.0,316295.0,,,,0.0,0.0,435.0,,,
2017-09-01,0.0,0.0,295918.0,,,,0.0,0.0,404.0,,,
2017-10-01,0.0,0.0,262514.0,,,,0.0,0.0,395.0,,,
2017-11-01,0.0,0.0,313635.0,,,,0.0,0.0,323.0,,,
2017-12-01,0.0,0.0,333130.0,,,,0.0,0.0,392.0,,,
2018-01-01,0.0,0.0,422093.0,,,,0.0,0.0,2766.0,,,
2018-02-01,0.0,0.0,396403.0,,,,0.0,0.0,2261.0,,,
2018-03-01,0.0,0.0,438949.0,,,,0.0,0.0,2156.0,,,
2018-04-01,0.0,0.0,383446.0,,,,0.0,0.0,2340.0,,,
2018-05-01,0.0,0.0,421050.0,,,,0.0,0.0,2660.0,,,
2018-06-01,0.0,0.0,354900.0,,,,0.0,0.0,2891.0,,,
2018-07-01,0.0,0.0,370552.0,,,,0.0,0.0,3226.0,,,
2018-08-01,0.0,0.0,411187.0,,,,0.0,0.0,3046.0,,,
2018-09-01,0.0,0.0,373296.0,,,,0.0,0.0,2855.0,,,
2018-10-01,0.0,0.0,369936.0,,,,0.0,0.0,2800.0,,,
2018-11-01,0.0,0.0,416689.0,,,,0.0,0.0,2112.0,,,
2018-12-01,0.0,0.0,454650.0,,,,0.0,0.0,2160.0,,,
2019-01-01,0.0,0.0,436800.0,,,,0.0,0.0,3806.0,,,
2019-02-01,0.0,0.0,363020.0,,,,0.0,0.0,3060.0,,,
2019-03-01,0.0,0.0,346353.0,,,,0.0,0.0,3472.0,,,
2019-04-01,0.0,0.0,335391.0,,,,0.0,0.0,4020.0,,,
2019-05-01,0.0,0.0,384244.0,,,,0.0,0.0,4357.0,,,
2019-06-01,0.0,0.0,383327.0,,,,0.0,0.0,4639.0,,,
2019-07-01,0.0,0.0,403235.0,,,,0.0,0.0,4889.0,,,
2019-08-01,0.0,0.0,418866.0,,,,0.0,0.0,4923.0,,,
2019-09-01,0.0,0.0,332318.0,,,,0.0,0.0,4312.0,,,
2019-10-01,0.0,0.0,383110.0,,,,0.0,0.0,3709.0,,,
2019-11-01,0.0,0.0,347473.0,,,,0.0,0.0,3353.0,,,
2019-12-01,0.0,0.0,413266.0,,,,0.0,0.0,3407.0,,,
2020-01-01,0.0,0.0,347592.0,,,,0.0,0.0,2486.0,,,
2020-02-01,0.0,0.0,285159.0,,,,0.0,0.0,2472.0,,,
2020-03-01,0.0,0.0,324534.0,,,,0.0,0.0,2595.0,,,
2020-04-01,0.0,0.0,288477.0,,,,0.0,0.0,2386.0,,,
2020-05-01,0.0,0.0,288358.0,,,,0.0,0.0,2503.0,,,
2020-06-01,0.0,0.0,370398.0,,,,0.0,0.0,2763.0,,,
2020-07-01,0.0,0.0,335874.0,,,,0.0,0.0,3223.0,,,
2020-08-01,0.0,0.0,384965.0,,,,0.0,0.0,2922.0,,,
2020-09-01,0.0,0.0,315028.0,,,,0.0,0.0,2455.0,,,
2020-10-01,0.0,0.0,326823.0,,,,0.0,0.0,2648.0,,,
2020-11-01,0.0,0.0,330043.0,,,,0.0,0.0,2475.0,,,
2020-12-01,0.0,0.0,293160.0,,,,0.0,0.0,2597.0,,,
2021-01-01,0.0,0.0,353871.0,,,,0.0,0.0,1923.0,,,
2021-02-01,0.0,0.0,272083.0,,,,0.0,0.0,1762.0,,,
2021-03-01,0.0,0.0,394856.0,,,,0.0,0.0,1751.0,,,
2021-04-01,0.0,0.0,308994.0,,,,0.0,0.0,1739.0,,,
2021-05-01,0.0,0.0,291130.0,,,,0.0,0.0,1931.0,,,
2021-06-01,0.0,0.0,302568.0,,,,0.0,0.0,2260.0,,,
2021-07-01,0.0,0.0,376845.0,,,,0.0,0.0,2495.0,,,
2021-08-01,0.0,0.0,369572.0,,,,0.0,0.0,2378.0,,,
2021-09-01,0.0,0.0,385161.0,,,,0.0,0.0,1588.0,,,
2021-10-01,0.0,0.0,353353.0,,,,0.0,0.0,2092.0,,,
2021-11-01,0.0,0.0,398972.0,,,,0.0,0.0,1807.0,,,
2021-12-01,0.0,0.0,412783.0,,,,0.0,0.0,1779.0,,,
2022-01-01,0.0,0.0,361207.0,,,,0.0,0.0,6475.0,,,
2022-02-01,0.0,0.0,329161.0,,,,0.0,0.0,5402.0,,,
2022-03-01,0.0,0.0,361599.0,,,,0.0,0.0,5167.0,,,
2022-04-01,0.0,0.0,340620.0,,,,0.0,0.0,5804.0,,,
2022-05-01,0.0,0.0,343385.0,,,,0.0,0.0,6675.0,,,
2022-06-01,0.0,0.0,346668.0,,,,0.0,0.0,7222.0,,,
2022-07-01,0.0,0.0,356916.0,,,,0.0,0.0,8084.0,,,
2022-08-01,0.0,0.0,351008.0,,,,0.0,0.0,7341.0,,,
2022-09-01,0.0,0.0,330463.0,,,,0.0,0.0,5924.0,,,
2022-10-01,0.0,0.0,343252.0,,,,0.0,0.0,5560.0,,,
2022-11-01,0.0,0.0,335083.0,,,,0.0,0.0,5349.0,,,
2022-12-01,0.0,0.0,347333.0,,,,0.0,0.0,5996.0,,,
2023-01-01,0.0,0.0,339325.0,,,,0.0,0.0,43.0,,,
2023-02-01,0.0,0.0,301784.0,,,,0.0,0.0,53.0,,,
2023-03-01,0.0,0.0,326606.0,,,,0.0,0.0,55.0,,,
2023-04-01,0.0,0.0,303023.0,,,,0.0,0.0,49.0,,,
2023-05-01,0.0,0.0,341467.0,,,,0.0,0.0,59.0,,,
2023-06-01,0.0,0.0,330848.0,,,,0.0,0.0,65.0,,,
2023-07-01,0.0,0.0,337379.0,,,,0.0,0.0,68.0,,,
2023-08-01,0.0,0.0,337162.0,,,,0.0,0.0,69.0,,,
2023-09-01,0.0,0.0,312417.0,,,,0.0,0.0,61.0,,,
2023-10-01,0.0,0.0,335314.0,,,,0.0,0.0,58.0,,,
2023-11-01,0.0,0.0,334964.0,,,,0.0,0.0,64.0,,,
2023-12-01,0.0,0.0,359709.0,,,,0.0,0.0,59.0,,,
2024-01-01,0.0,0.0,345100.0,,,,0.0,0.0,7750.0,,,
2024-02-01,0.0,0.0,321048.0,,,,0.0,0.0,5795.0,,,
2024-03-01,0.0,0.0,333872.0,,,,0.0,0.0,6218.0,,,
2024-04-01,0.0,0.0,310954.0,,,,0.0,0.0,6766.0,,,
2024-05-01,0.0,0.0,341551.0,,,,0.0,0.0,7347.0,,,
2024-06-01,0.0,0.0,317513.0,,,,0.0,0.0,7838.0,,,
2024-07-01,0.0,0.0,334726.0,,,,0.0,0.0,8836.0,,,
2024-08-01,0.0,0.0,343560.0,,,,0.0,0.0,8078.0,,,
2024-09-01,0.0,0.0,323855.0,,,,0.0,0.0,7166.0,,,
2024-10-01,0.0,0.0,330890.0,,,,0.0,0.0,6843.0,,,
2024-11-01,0.0,0.0,325332.0,,,,0.0,0.0,6646.0,,,
2024-12-01,0.0,0.0,331597.0,,,,0.0,0.0,6627.0,,,
