measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,944.0,13008.0,13008.0,139.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-03-01,3146.0,41199.0,41199.0,315.0,0.0,0.0,,,
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-05-01,3453.0,47444.0,47444.0,299.0,0.0,0.0,,,
2003-06-01,4510.0,61272.0,61272.0,625.0,0.0,0.0,,,
2003-07-01,13667.0,191450.0,191450.0,1981.0,0.0,0.0,,,
2003-08-01,31828.61,433524.0,433524.0,5471.77,0.0,0.0,,,
2003-09-01,24339.24,350761.0,350761.0,2682.05,0.0,0.0,,,
2003-10-01,9513.76,133336.0,133336.0,34.92,0.0,0.0,,,
2003-11-01,3437.68,47215.0,47215.0,0.0,0.0,0.0,,,
2003-12-01,12669.17,178649.0,178649.0,1634.45,0.0,0.0,,,
2004-01-01,5227.0,71232.0,71232.0,864.0,0.0,0.0,,,
2004-02-01,1480.0,21406.0,21406.0,65.0,0.0,0.0,,,
2004-03-01,15099.0,212459.0,212459.0,875.0,0.0,0.0,,,
2004-04-01,7511.0,103886.0,103886.0,0.0,0.0,0.0,,,
2004-05-01,1849.0,25724.0,25724.0,0.0,0.0,0.0,,,
2004-06-01,3977.0,55849.0,55849.0,28.0,0.0,0.0,,,
2004-07-01,17545.0,300855.0,300855.0,2663.0,0.0,0.0,,,
2004-08-01,9003.0,121225.0,121225.0,1364.0,0.0,0.0,,,
2004-09-01,25436.0,340291.0,340291.0,1110.0,0.0,0.0,,,
2004-10-01,7412.0,104468.0,104468.0,365.0,0.0,0.0,,,
2004-11-01,9685.0,138833.0,138833.0,323.0,0.0,0.0,,,
2004-12-01,10989.0,151115.0,151115.0,328.0,0.0,0.0,,,
2007-08-01,,,,,,,8145.0,149095.0,149095.0
2007-09-01,,,,,,,5672.0,94937.0,94937.0
2007-10-01,,,,,,,8678.0,142504.0,142504.0
2007-11-01,,,,,,,445.0,8098.0,8098.0
2007-12-01,,,,,,,1765.0,29221.0,29221.0
2008-01-01,,,,,,,3213.0,124419.0,124419.0
2008-02-01,,,,,,,1465.0,23077.0,23077.0
2008-03-01,,,,,,,0.0,0.0,0.0
2008-04-01,,,,,,,852.0,14892.0,14892.0
2008-05-01,,,,,,,1222.0,19588.0,19588.0
2008-06-01,,,,,,,2839.0,46285.0,46285.0
2008-07-01,,,,,,,4130.0,65088.0,65088.0
2008-08-01,,,,,,,1444.0,22177.0,22177.0
2008-09-01,,,,,,,1388.0,21287.0,21287.0
2008-10-01,,,,,,,5062.0,79929.0,79929.0
