measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,0.0,0.0,0.0
2003-02-01,,,,0.0,0.0,0.0
2003-03-01,,,,0.0,0.0,0.0
2003-04-01,,,,1791.0,14835.0,14835.0
2003-05-01,,,,2199.0,22688.0,22688.0
2003-06-01,,,,2069.0,21439.0,21439.0
2003-07-01,,,,9307.0,96648.0,96648.0
2003-08-01,,,,18092.0,185733.0,185733.0
2003-09-01,,,,2242.0,23487.0,23487.0
2003-10-01,,,,598.0,8596.0,8596.0
2003-11-01,,,,1112.0,11704.0,11704.0
2003-12-01,,,,1696.0,17880.0,17880.0
2004-01-01,,,,5845.0,65416.0,65416.0
2004-02-01,,,,7540.0,78287.0,78287.0
2004-03-01,,,,2868.0,31326.0,31326.0
2004-04-01,,,,3714.0,39823.0,39823.0
2004-05-01,,,,13456.0,139511.0,139511.0
2004-06-01,,,,8804.0,92412.0,92412.0
2004-07-01,,,,12632.0,133891.0,133891.0
2004-08-01,,,,6939.0,74177.0,74177.0
2004-09-01,,,,7372.0,73485.0,73485.0
2004-10-01,,,,1238.0,13466.0,13466.0
2004-11-01,,,,3166.0,33467.0,33467.0
2004-12-01,,,,6246.0,66149.0,66149.0
2005-01-01,,,,15199.0,164516.0,164516.0
2005-02-01,,,,3119.0,36553.0,36553.0
2005-03-01,,,,7032.0,69920.0,69920.0
2005-04-01,,,,4030.0,52544.0,52544.0
2005-05-01,,,,0.0,0.0,0.0
2005-06-01,,,,7550.0,81461.0,81461.0
2005-07-01,,,,8974.0,93310.0,93310.0
2005-08-01,,,,10951.0,117187.0,117187.0
2005-09-01,,,,7410.0,83921.0,83921.0
2005-10-01,,,,758.0,8643.0,8643.0
2005-11-01,,,,629.0,6659.0,6659.0
2005-12-01,,,,2734.0,27925.0,27925.0
2006-01-01,,,,481.0,4968.0,4968.0
2006-02-01,,,,0.0,0.0,0.0
2006-03-01,,,,4.0,62.0,62.0
2006-04-01,,,,0.0,0.0,0.0
2006-05-01,,,,1627.0,16632.0,16632.0
2006-06-01,,,,0.0,0.0,0.0
2006-07-01,,,,7820.0,82376.0,82376.0
2006-08-01,,,,4874.0,49303.0,49303.0
2006-09-01,,,,2.0,219.0,219.0
2006-10-01,,,,1696.0,17749.0,17749.0
2006-11-01,,,,0.0,0.0,0.0
2006-12-01,,,,337.0,3581.0,3581.0
2007-01-01,,,,2.0,42.0,42.0
2007-02-01,,,,3977.0,40789.0,40789.0
2007-03-01,,,,817.0,8181.0,8181.0
2007-04-01,,,,1894.0,20204.0,20204.0
2007-05-01,,,,2333.0,24237.0,24237.0
2007-06-01,,,,3034.0,31509.0,31509.0
2007-07-01,,,,3968.0,40232.0,40232.0
2007-08-01,,,,19277.0,190659.0,190659.0
2007-09-01,,,,1947.0,19734.0,19734.0
2007-10-01,,,,0.0,56.0,56.0
2007-11-01,,,,0.0,0.0,0.0
2007-12-01,,,,74.0,582.0,582.0
2008-01-01,,,,573.0,4809.0,4809.0
2008-02-01,,,,6073.0,57072.0,57072.0
2008-03-01,,,,149.0,1371.0,1371.0
2008-04-01,,,,176.0,1676.0,1676.0
2008-05-01,,,,0.0,0.0,0.0
2008-06-01,,,,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,,,,2236.0,20758.0,20758.0
2008-09-01,,,,2256.0,21030.0,21030.0
2008-10-01,,,,1839.0,17721.0,17721.0
2008-11-01,,,,3065.0,27590.0,27590.0
2008-12-01,,,,2709.0,23881.0,23881.0
