measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,24.343,185.0,185.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,22.789,173.0,173.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,22.016000000000002,167.0,167.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,21.08,160.0,160.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,21.387,162.0,162.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,22.318,170.0,170.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,25.737000000000002,195.0,195.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,26.094,198.0,198.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,22.611,172.0,172.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,23.445,178.0,178.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,24.064,183.0,183.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,25.117,191.0,191.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,8.888,65.0,65.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,2.5780000000000003,19.0,19.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,2.05,15.0,15.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,4.841,35.0,35.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,9.204,67.0,67.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,4.565,33.0,33.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,25.242,184.0,184.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,3.035,22.0,22.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,9.741,71.0,71.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,1.8490000000000002,13.0,13.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,2.448,18.0,18.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,11.559000000000001,84.0,84.0,0.0,0.0,0.0
2005-01-01,,,,33.234,346.43,346.43,,,
2005-02-01,,,,11.418000000000001,119.02,119.02,,,
2005-03-01,,,,12.655,131.92,131.92,,,
2005-04-01,,,,15.329,159.8,159.8,,,
2005-05-01,,,,14.237,148.41,148.41,,,
2005-06-01,,,,18.478,192.62,192.62,,,
2005-07-01,,,,18.809,196.06,196.06,,,
2005-08-01,,,,22.096,230.32,230.32,,,
2005-09-01,,,,14.464,150.77,150.77,,,
2005-10-01,,,,16.063000000000002,167.43,167.43,,,
2005-11-01,,,,12.913,134.6,134.6,,,
2005-12-01,,,,27.304000000000002,284.62,284.62,,,
2006-01-01,,,,14.455,150.0,150.0,,,
2006-02-01,,,,7.564,78.0,78.0,,,
2006-03-01,,,,6.354,66.0,66.0,,,
2006-04-01,,,,12.171000000000001,126.0,126.0,,,
2006-05-01,,,,11.377,118.0,118.0,,,
2006-06-01,,,,10.341000000000001,107.0,107.0,,,
2006-07-01,,,,14.979000000000001,155.0,155.0,,,
2006-08-01,,,,14.53,151.0,151.0,,,
2006-09-01,,,,6.675,69.0,69.0,,,
2006-10-01,,,,7.051,73.0,73.0,,,
2006-11-01,,,,8.303,86.0,86.0,,,
2006-12-01,,,,9.2,95.0,95.0,,,
