measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,,,,7682.4,88356.4,284797.15,6285.6,72291.6,233015.85
2003-02-01,,,,6399.902300000001,81109.05,237040.65,5236.2837,66361.95,193942.35
2003-03-01,,,,12316.68625,165754.6,322109.7,10077.28875,135617.4,263544.3
2003-04-01,,,,13702.7,159093.0,327407.3,11211.3,130167.0,267878.7
2003-05-01,,,,10485.75,203550.6,357281.65,8579.25,166541.4,292321.35
2003-06-01,,,,15061.2,210020.25,352849.2,12322.8,171834.75,288694.8
2003-07-01,,,,15187.15,191055.15,348390.9,12425.85,156317.85,285047.1
2003-08-01,,,,11374.0,152393.45,289983.65,9306.0,124685.55,237259.35
2003-09-01,,,,14445.2,152242.75,332543.2,11818.8,124562.25,272080.8
2003-10-01,,,,10937.3,125488.55,306286.75,8948.7,102672.45,250598.25
2003-11-01,,,,2891.9,73367.25,243750.1,2366.1,60027.75,199431.9
2003-12-01,,,,9403.35,69815.9,312895.0,7693.65,57122.1,256005.0
2004-01-01,,,,7843.67565,50584.31,305628.83,6417.45135,41386.51,250056.0
2004-02-01,,,,6882.5564699999995,44386.0,246987.56,5631.09353,36315.24,202077.54
2004-03-01,,,,8916.99399,57506.2,328804.0,7295.60701,47049.78,269017.2
2004-04-01,,,,12052.9271,77730.01,345972.85,9861.3299,63596.28,283064.22
2004-05-01,,,,14778.48909,95307.32,377760.27,12091.29991,77977.48,309071.7
2004-06-01,,,,14488.51383,93437.25,374111.95,11854.05117,76447.45,306086.76
2004-07-01,,,,15374.83413,99153.18,355409.9,12579.21087,81124.05,290785.32
2004-08-01,,,,15079.73558,97250.07,340168.94,12337.77042,79566.98,278315.64
2004-09-01,,,,15248.80239,98340.39,346433.32,12476.09561,80459.05,283440.96
2004-10-01,,,,13059.64326,84222.38,311913.45,10684.99374,68908.13,255197.88
2004-11-01,,,,11438.65138,73768.51,345097.46,9358.74862,60355.1,282348.0
2004-12-01,,,,8983.08356,57932.42,336075.33,7349.67944,47398.5,274966.38
2005-01-01,,,,8374.67046,54008.73,329248.34,6580.41754,42437.49,258707.68
2005-02-01,,,,8316.24859,53631.96,307492.5,6534.51241,42141.44,241612.98
