measured_on,"Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2014-10-01,272.251,11550.0,11550.0
2014-11-01,50.644,2147.0,2147.0
2014-12-01,43.105,1830.0,1830.0
2015-01-01,26.525,1533.0,1533.0
2015-02-01,124.989,7198.0,7198.0
2015-03-01,175.361,10089.0,10089.0
2015-04-01,137.848,7928.0,7928.0
2015-05-01,168.538,9694.0,9694.0
2015-06-01,101.767,5855.0,5855.0
2015-07-01,316.789,18221.0,18221.0
2015-08-01,189.358,10892.0,10892.0
2015-09-01,167.686,9651.0,9651.0
2015-10-01,189.082,10877.0,10877.0
2015-11-01,390.092,22440.0,22440.0
2015-12-01,426.965,24572.0,24572.0
2016-01-01,188.209,28766.0,28766.0
2016-02-01,164.841,25194.0,25194.0
2016-03-01,143.047,21860.0,21860.0
2016-04-01,267.146,40831.0,40831.0
2016-05-01,221.307,33820.0,33820.0
