measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed
2019-09-01,1944.21,12195.0,12195.0
2019-10-01,1991.29,12490.0,12490.0
2019-11-01,1952.936,12250.0,12250.0
2019-12-01,2025.564,12705.0,12705.0
2020-01-01,2300.199,15048.0,15048.0
2020-02-01,2031.295,13290.0,13290.0
2020-03-01,2254.873,14752.0,14752.0
2020-04-01,1594.647,10433.0,10433.0
2020-05-01,1499.401,9809.0,9809.0
2020-06-01,2109.222,13799.0,13799.0
2020-07-01,2950.579,19304.0,19304.0
2020-08-01,3669.251,24005.0,24005.0
2020-09-01,3195.346,20905.0,20905.0
2020-10-01,3318.447,21710.0,21710.0
2020-11-01,2650.657,17341.0,17341.0
2020-12-01,2938.083,19222.0,19222.0
2021-01-01,2221.516,15473.0,15473.0
2021-02-01,1883.915,13122.0,13122.0
2021-03-01,2025.573,14109.0,14109.0
2021-04-01,1797.359,12519.0,12519.0
2021-05-01,1878.472,13085.0,13085.0
2021-06-01,2568.703,17892.0,17892.0
2021-07-01,3544.761,24690.0,24690.0
2021-08-01,3236.486,22543.0,22543.0
2021-09-01,2753.868,19182.0,19182.0
2021-10-01,2625.283,18286.0,18286.0
2021-11-01,2412.764,16806.0,16806.0
2021-12-01,2490.3,17346.0,17346.0
2022-01-01,1910.609,13653.0,13653.0
2022-02-01,1586.315,11334.0,11334.0
2022-03-01,1467.762,10488.0,10488.0
2022-04-01,1503.479,10743.0,10743.0
2022-05-01,1379.697,9858.0,9858.0
2022-06-01,1876.481,13408.0,13408.0
2022-07-01,2506.79,17911.0,17911.0
2022-08-01,3024.776,21613.0,21613.0
2022-09-01,2772.198,19808.0,19808.0
2022-10-01,2545.838,18191.0,18191.0
2022-11-01,2337.914,16705.0,16705.0
2022-12-01,2584.141,18464.0,18464.0
2023-01-01,2299.863,15662.0,15662.0
2023-02-01,1959.037,13340.0,13340.0
2023-03-01,1882.886,12821.0,12821.0
2023-04-01,1470.927,10016.0,10016.0
2023-05-01,952.712,6487.0,6487.0
2023-06-01,1253.327,8534.0,8534.0
2023-07-01,2901.207,19755.0,19755.0
2023-08-01,2927.376,19934.0,19934.0
2023-09-01,2072.078,14110.0,14110.0
2023-10-01,2530.391,17230.0,17230.0
2023-11-01,2377.019,16186.0,16186.0
2023-12-01,2676.177,18223.0,18223.0
2024-01-01,2474.0,16800.0,16800.0
2024-02-01,2385.0,16134.0,16134.0
2024-03-01,2545.0,17242.0,17242.0
2024-04-01,2449.0,16645.0,16645.0
2024-05-01,2498.0,17061.0,17061.0
2024-06-01,2400.0,16404.0,16404.0
2024-07-01,2503.0,17114.0,17114.0
2024-08-01,2494.0,17124.0,17124.0
2024-09-01,2401.0,16481.0,16481.0
2024-10-01,2454.0,16877.0,16877.0
2024-11-01,2357.0,16260.0,16260.0
2024-12-01,2404.0,16665.0,16665.0
