measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,566.0,6177.0,6177.0,,,,54314.0,592794.0,592794.0
2003-02-01,0.0,0.0,0.0,886.0,9761.0,9761.0,,,,37556.0,413923.0,413923.0
2003-03-01,0.0,0.0,0.0,773.0,8543.0,8543.0,,,,38648.0,426869.0,426869.0
2003-04-01,0.0,0.0,0.0,607.0,6513.0,6513.0,,,,28069.0,301102.0,301102.0
2003-05-01,0.0,0.0,0.0,361.0,5353.0,5353.0,,,,2588.0,38367.0,38367.0
2003-06-01,38.0,882.0,882.0,561.0,6711.0,6711.0,,,,11765.0,140648.0,140648.0
2003-07-01,0.0,0.0,0.0,12580.0,229204.0,229204.0,,,,22738.0,414257.0,414257.0
2003-08-01,184.0,3062.0,3062.0,768.0,9460.0,9460.0,,,,38685.0,476677.0,476677.0
2003-09-01,0.0,0.0,0.0,398.0,5394.0,5394.0,,,,5327.0,72122.0,72122.0
2003-10-01,0.0,0.0,0.0,269.0,3532.0,3532.0,,,,2881.0,37895.0,37895.0
2003-11-01,0.0,0.0,0.0,346.0,4559.0,4559.0,,,,8021.0,105739.0,105739.0
2003-12-01,0.0,0.0,0.0,697.0,8613.0,8613.0,,,,14110.0,174384.0,174384.0
2004-01-01,42.0,2865.0,2865.0,681.0,7059.0,7059.0,,,,76479.0,792723.0,792723.0
2004-02-01,63.0,1116.0,1116.0,611.0,7583.0,7583.0,,,,16903.0,209798.0,209798.0
2004-03-01,21.0,545.0,545.0,265.0,3509.0,3509.0,,,,3078.0,40709.0,40709.0
2004-04-01,36.0,626.0,626.0,450.0,5501.0,5501.0,,,,14822.0,180162.0,180162.0
2004-05-01,0.0,0.0,0.0,325.0,4016.0,4016.0,,,,12520.0,154637.0,154637.0
2004-06-01,0.0,0.0,0.0,785.0,8857.0,8857.0,,,,35436.0,399983.0,399983.0
2004-07-01,47.0,848.0,848.0,1285.0,16094.0,16094.0,,,,32365.0,405447.0,405447.0
2004-08-01,92.0,1760.0,1760.0,1285.0,14960.0,14960.0,,,,41720.0,485714.0,485714.0
2004-09-01,0.0,0.0,0.0,962.0,12519.0,12519.0,,,,20697.0,269411.0,269411.0
2004-10-01,0.0,0.0,0.0,469.0,5797.0,5797.0,,,,11388.0,140754.0,140754.0
2004-11-01,0.0,0.0,0.0,206.0,3271.0,3271.0,,,,4327.0,68674.0,68674.0
2004-12-01,0.0,0.0,0.0,765.0,8823.0,8823.0,,,,35189.0,405940.0,405940.0
2005-01-01,197.0,3305.76,3305.76,699.0,7181.88,7181.88,,,,92856.0,954243.84,954243.84
2005-02-01,36.0,651.84,651.84,993.0,10924.14,10924.14,,,,26600.0,292516.12,292516.12
2005-03-01,47.0,832.26,832.26,696.0,7391.4,7391.4,,,,84247.0,895283.55,895283.55
2005-04-01,0.0,0.0,0.0,564.0,6995.24,6995.24,,,,14670.0,181845.12,181845.12
2005-05-01,0.0,29.05,29.05,232.0,3090.92,3090.92,,,,6217.0,82698.86,82698.86
2005-06-01,0.0,0.0,0.0,541.0,6268.99,6268.99,,,,41714.0,489070.65,489070.65
2005-07-01,126.0,2261.76,2261.76,808.0,9424.0,9424.0,,,,62234.0,725961.72,725961.72
2005-08-01,27.0,665.57,665.57,1052.0,12357.22,12357.22,,,,65919.0,774578.7,774578.7
2005-09-01,0.0,0.0,0.0,857.0,9767.88,9767.88,,,,49812.0,567546.86,567546.86
2005-10-01,0.0,0.0,0.0,321.0,3855.88,3855.88,,,,23901.0,286997.41,286997.41
2005-11-01,0.0,0.0,0.0,647.0,7875.84,7875.84,,,,21638.0,263370.72,263370.72
2005-12-01,42.0,779.38,779.38,544.0,6463.58,6463.58,,,,52083.0,619356.87,619356.87
2006-01-01,0.0,0.0,0.0,556.0,6962.0,6962.0,,,,16656.0,208618.0,208618.0
2006-02-01,38.0,1031.0,1031.0,445.0,5491.0,5491.0,,,,5684.0,70128.0,70128.0
2006-03-01,0.0,0.0,0.0,379.0,4647.0,4647.0,,,,9582.0,117471.0,117471.0
2006-04-01,0.0,0.0,0.0,388.0,5104.0,5104.0,,,,11602.0,152516.0,152516.0
2006-05-01,0.0,0.0,0.0,477.0,5889.0,5889.0,,,,28528.0,352082.0,352082.0
2006-06-01,0.0,12.0,12.0,873.0,10460.0,10460.0,,,,51190.0,613299.0,613299.0
2006-07-01,13.0,281.0,281.0,999.0,11245.0,11245.0,,,,93392.0,1050867.0,1050867.0
2006-08-01,87.0,2039.0,2039.0,879.0,9880.0,9880.0,,,,67916.0,763336.0,763336.0
