measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,-181.0,0.0,0.0
2003-02-01,,,,-213.0,0.0,0.0
2003-03-01,,,,-238.0,0.0,0.0
2003-05-01,,,,-176.0,0.0,0.0
2003-06-01,,,,-184.0,0.0,0.0
2003-07-01,,,,988.0,15082.0,15082.0
2003-08-01,,,,5811.0,77788.0,77788.0
2003-09-01,,,,276.36,4478.0,4478.0
2003-10-01,,,,-215.0,0.0,0.0
2003-11-01,,,,3033.0,40766.0,40766.0
2003-12-01,,,,-280.0,0.0,0.0
2004-01-01,,,,1892.0,29723.0,29723.0
2004-02-01,,,,-248.0,86.0,86.0
2004-03-01,,,,-228.0,31.0,31.0
2004-04-01,,,,-171.0,808.0,808.0
2004-05-01,,,,-209.0,4.0,4.0
2004-06-01,,,,211.0,5180.0,5180.0
2004-07-01,,,,31.0,3944.0,3944.0
2004-08-01,,,,1889.0,30397.0,30397.0
2004-09-01,,,,2366.0,35600.0,35600.0
2004-10-01,,,,-209.0,1.0,1.0
2004-11-01,,,,12.0,3409.0,3409.0
2004-12-01,,,,-224.0,1145.0,1145.0
2005-01-01,,,,-326.0,144.7,144.7
2005-02-01,,,,683.0,12065.91,12065.91
2005-03-01,,,,-287.0,0.0,0.0
2005-04-01,,,,-224.0,0.0,0.0
2005-05-01,,,,-217.0,0.0,0.0
2005-06-01,,,,2143.0,30261.73,30261.73
2005-07-01,,,,4781.0,64052.25,64052.25
2005-08-01,,,,12006.0,159882.62,159882.62
2005-09-01,,,,4658.0,63723.48,63723.48
2005-10-01,,,,-218.0,0.0,0.0
2005-11-01,,,,-241.0,0.0,0.0
2005-12-01,,,,940.0,15488.0,15488.0
2006-01-01,,,,-294.0,0.0,0.0
2006-02-01,,,,32.0,3774.0,3774.0
2006-03-01,,,,-126.0,2091.0,2091.0
2006-04-01,,,,-205.0,0.0,0.0
2006-05-01,,,,2995.0,40979.0,40979.0
2006-06-01,,,,-214.0,0.0,0.0
2006-07-01,,,,8099.0,108524.0,108524.0
2006-08-01,,,,10946.0,146688.0,146688.0
2006-09-01,,,,-199.0,0.0,0.0
2006-10-01,,,,-237.0,0.0,0.0
2006-11-01,,,,-244.0,0.0,0.0
2006-12-01,,,,-283.0,0.0,0.0
2007-01-01,,,,-285.0,0.0,0.0
2007-02-01,,,,447.0,9622.0,9622.0
2007-03-01,,,,-256.0,0.0,0.0
2007-04-01,,,,1062.0,13583.0,13583.0
2007-05-01,,,,5575.0,68588.0,68588.0
2007-06-01,,,,6382.0,80457.0,80457.0
2007-07-01,,,,6060.0,75733.0,75733.0
2007-08-01,,,,39593.0,488070.0,488070.0
2007-09-01,,,,15767.0,192296.0,192296.0
2007-10-01,,,,8761.0,106862.0,106862.0
2007-11-01,,,,977.0,11942.0,11942.0
2007-12-01,,,,1409.0,17656.0,17656.0
2008-01-01,,,,0.0,3574.0,3574.0
2008-02-01,,,,366.0,78.0,78.0
2008-03-01,,,,0.0,66.0,66.0
2008-04-01,,,,468.0,5771.0,5771.0
2008-05-01,,,,170.0,2254.0,2254.0
2008-06-01,,,,11256.0,141696.0,141696.0
2008-07-01,,,,0.0,31.0,31.0
2008-08-01,,,,3835.0,47213.0,47213.0
2008-09-01,,,,3428.0,43436.0,43436.0
2008-10-01,,,,573.0,7153.0,7153.0
2008-11-01,,,,0.0,59.0,59.0
2008-12-01,,,,5597.0,68172.0,68172.0
