measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,63.0,1119.0,1119.0,92341.0,914574.0,914574.0,0.0,0.0,0.0
2003-02-01,-16.0,0.0,0.0,11266.0,112068.0,112068.0,0.0,0.0,0.0
2003-03-01,34.0,777.0,777.0,-1809.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,115.0,1827.0,1827.0,-1669.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,348.0,5133.0,5133.0,-1123.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,1724.0,24470.0,24470.0,-1427.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,185.0,2941.0,2941.0,-1869.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,566.0,8491.0,8491.0,-1941.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,775.0,11501.0,11501.0,32959.0,355029.0,355029.0,0.0,0.0,0.0
2003-10-01,133.0,2169.0,2169.0,56556.0,570302.0,570302.0,0.0,0.0,0.0
2003-11-01,367.0,5150.0,5150.0,60694.0,601627.0,601627.0,0.0,0.0,0.0
2003-12-01,181.0,2656.0,2656.0,51778.0,519533.0,519533.0,0.0,0.0,0.0
2004-01-01,315.0,4425.0,4425.0,62762.0,662484.0,662484.0,,,
2004-02-01,678.0,7836.0,7836.0,65542.0,694466.0,694466.0,,,
2004-03-01,2919.0,35919.0,35919.0,69680.0,739243.0,739243.0,,,
2004-04-01,2605.0,35931.0,35931.0,56052.0,597961.0,597961.0,,,
2004-05-01,404.0,5806.0,5806.0,-2092.0,596.0,596.0,,,
2004-06-01,484.0,7250.0,7250.0,945.0,36714.0,36714.0,,,
2004-07-01,447.0,6421.0,6421.0,49377.0,562017.0,562017.0,,,
2004-08-01,44.0,876.0,876.0,35073.0,404515.0,404515.0,,,
2004-09-01,14.0,458.0,458.0,50130.0,561706.0,561706.0,,,
2004-10-01,75.0,1270.0,1270.0,44023.0,501200.0,501200.0,,,
2004-11-01,180.0,2517.0,2517.0,51949.0,574148.0,574148.0,,,
2004-12-01,68.0,1224.0,1224.0,44294.0,485606.0,485606.0,,,
2005-01-01,2508.0,34098.2,34098.2,51359.0,555204.57,555204.57,,,
2005-02-01,810.0,11095.4,11095.4,58608.0,625071.55,625071.55,,,
2005-03-01,316.0,4442.8,4442.8,73258.0,773998.41,773998.41,,,
2005-04-01,145.0,2372.2,2372.2,59954.0,644014.32,644014.32,,,
2005-05-01,1484.0,20787.2,20787.2,52966.0,567492.07,567492.07,,,
2005-06-01,498.0,7325.4,7325.4,74287.0,780133.48,780133.48,,,
2005-07-01,1656.0,22753.4,22753.4,64572.0,695611.01,695611.01,,,
2005-08-01,54.0,1009.2,1009.2,47700.0,534102.31,534102.31,,,
2005-09-01,40.0,759.8,759.8,38833.0,448048.26,448048.26,,,
2005-10-01,44.0,870.0,870.0,33233.0,394128.0,394128.0,,,
2005-11-01,55.0,1049.8,1049.8,26069.0,321657.0,321657.0,,,
2005-12-01,115.0,1769.0,1769.0,30917.0,375009.12,375009.12,,,
2006-01-01,51.0,783.0,783.0,29395.0,374521.0,374521.0,,,
2006-02-01,841.0,11432.0,11432.0,49839.0,570471.0,570471.0,,,
2006-03-01,180.0,2529.0,2529.0,54404.0,617230.0,617230.0,,,
2006-04-01,214.0,3103.0,3103.0,45496.0,531130.0,531130.0,,,
2006-05-01,-2.0,0.0,0.0,1786.0,33189.0,33189.0,,,
