measured_on,"Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,12979.0,216951.0,550225.0,27947.0,467150.0,1184771.0,,,,1268.0,21197.0,53758.0,1328.0,22199.0,56301.0,5462.0,91303.0,231560.0
2003-02-01,,,,9799.0,137005.0,454819.0,24047.0,336205.0,1116102.0,,,,1574.0,22007.0,73059.0,2017.0,28195.0,93600.0,3517.0,49178.0,163254.0
2003-03-01,,,,10343.0,167617.0,484719.0,26080.0,422670.0,1222281.0,,,,1593.0,25817.0,74657.0,2267.0,36734.0,106229.0,1676.0,27157.0,78533.0
2003-04-01,,,,8449.0,118469.0,437805.0,22348.0,313367.0,1158058.0,,,,1412.0,19803.0,73184.0,413.0,5794.0,21413.0,2942.0,41248.0,152433.0
2003-05-01,,,,8417.0,91273.0,393407.0,24329.0,263828.0,1137159.0,,,,1490.0,16161.0,69660.0,1277.0,13846.0,59681.0,4029.0,43697.0,188342.0
2003-06-01,,,,7130.0,98166.0,392557.0,17898.0,246405.0,985360.0,,,,1656.0,22801.0,91177.0,1743.0,23994.0,95950.0,2881.0,39666.0,158621.0
2003-07-01,,,,8004.0,125102.0,384469.0,23947.0,374300.0,1150317.0,,,,1862.0,29108.0,89458.0,2519.0,39370.0,120992.0,3888.0,60766.0,186750.0
2003-08-01,,,,8890.0,145376.0,430021.0,25133.0,410989.0,1215707.0,,,,,,,2341.0,38274.0,113213.0,4364.0,71369.0,211112.0
2003-09-01,,,,8162.0,117073.0,362935.0,25152.0,360777.0,1118437.0,,,,993.0,14245.0,44161.0,2668.0,38267.0,118631.0,5761.0,82639.0,256189.0
2003-10-01,,,,9440.0,126168.0,417941.0,21569.0,288269.0,954912.0,,,,1172.0,15671.0,51910.0,2675.0,35758.0,118449.0,5203.0,69535.0,230337.0
2003-11-01,,,,8256.0,128789.0,411675.0,22356.0,348727.0,1114708.0,,,,,,,1980.0,30883.0,98717.0,4428.0,69073.0,220793.0
2003-12-01,,,,12769.0,174825.0,489669.0,32047.0,438768.0,1228948.0,,,,1360.0,18620.0,52153.0,2688.0,36800.0,103074.0,6907.0,94568.0,264876.0
