measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Other Gases-Combined Cycle Combustion Turbine Part Generation,Other Gases-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other Gases-Combined Cycle Steam Part Generation,Other Gases-Combined Cycle Steam Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,187363.0,931928.0,2224024.0,0.0,0.0,0.0,79230.0,394088.0,940479.0,,,
2003-02-01,175983.0,857315.0,2060499.0,0.0,0.0,0.0,68553.0,333963.0,802657.0,,,
2003-03-01,177369.0,813002.0,2092424.0,0.0,0.0,0.0,75030.0,343914.0,885132.0,,,
2003-04-01,160294.0,684639.0,1905406.0,0.0,0.0,0.0,67853.0,289812.0,806569.0,,,
2003-05-01,173607.0,739632.0,2049002.0,0.0,0.0,0.0,73414.0,312771.0,866467.0,,,
2003-06-01,168721.0,685575.0,1921870.0,0.0,0.0,0.0,71420.0,290207.0,813539.0,,,
2003-07-01,175149.0,735130.0,2037915.0,0.0,0.0,0.0,74066.0,310867.0,861779.0,,,
2003-08-01,173822.0,800020.0,2067960.0,0.0,0.0,0.0,73505.0,338306.0,874483.0,,,
2003-09-01,151282.0,635279.0,1818578.0,0.0,0.0,0.0,64192.0,269562.0,771661.0,,,
2003-10-01,,,,0.0,0.0,0.0,,,,,,
2003-11-01,157026.0,682145.0,1882829.0,0.0,0.0,0.0,66402.0,288461.0,796197.0,,,
2003-12-01,,,,0.0,0.0,0.0,,,,,,
2004-01-01,176581.77223,2070436.45,2170745.2,0.0,0.0,0.0,74756.86777,876530.7,918996.96,0.0,0.0,0.0
2004-02-01,166765.56845,1955340.62,2018549.52,0.0,0.0,0.0,70601.19155,827805.04,854564.9,0.0,0.0,0.0
2004-03-01,166076.62731,1947262.72,2080882.96,0.0,0.0,0.0,70309.46269,824384.49,880953.36,0.0,0.0,0.0
2004-04-01,165297.70722,1938129.82,2004010.32,0.0,0.0,0.0,69979.67278,820517.68,848408.54,0.0,0.0,0.0
2004-05-01,168425.68063,1974805.57,2071413.76,0.0,0.0,0.0,71303.99937,836045.52,876945.16,0.0,0.0,0.0
2004-06-01,159254.89734,1867277.35,1986961.6,0.0,0.0,0.0,67421.49266,790522.79,841191.82,0.0,0.0,0.0
2004-07-01,158237.46110000001,1855347.83,2021099.6,0.0,0.0,0.0,66990.7189,785471.93,855643.88,0.0,0.0,0.0
2004-08-01,142846.08087,1674882.57,1869377.12,0.0,0.0,0.0,60474.64913,709070.46,791410.76,0.0,0.0,0.0
2004-09-01,129105.20183,1513769.58,1773631.6,0.0,0.0,0.0,54657.41817,640862.92,750876.98,0.0,0.0,0.0
2004-10-01,84080.65148,985852.86,1519217.44,0.0,0.0,0.0,35596.00852,417366.26,643169.1,0.0,0.0,0.0
2004-11-01,127573.1969,1495806.69,1869962.64,0.0,0.0,0.0,54008.8631,633258.56,791659.68,0.0,0.0,0.0
2004-12-01,138601.03765,1625109.07,2223894.4,0.0,0.0,0.0,58677.56235,687999.46,941498.74,0.0,0.0,0.0
