measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,,,,557.0,5875.0,5875.0
2003-02-01,,,,371.0,3991.0,3991.0
2003-03-01,,,,670.0,7026.0,7026.0
2003-04-01,,,,397.0,4217.0,4217.0
2003-05-01,,,,34.0,418.0,418.0
2003-06-01,,,,695.0,7237.0,7237.0
2003-07-01,,,,1365.0,14222.0,14222.0
2003-08-01,,,,670.0,7281.0,7281.0
2003-09-01,,,,291.0,3210.0,3210.0
2003-10-01,,,,175.0,1919.0,1919.0
2003-11-01,,,,102.0,1110.0,1110.0
2003-12-01,,,,213.0,2329.0,2329.0
2004-01-01,,,,147.6,1593.0,1593.0
2004-02-01,,,,147.6,1593.0,1593.0
2004-03-01,,,,639.6,6903.0,6903.0
2004-04-01,,,,492.0,5310.0,5310.0
2004-05-01,,,,688.8,7434.0,7434.0
2004-06-01,,,,639.6,6903.0,6903.0
2004-07-01,,,,1918.8,20710.0,20710.0
2004-08-01,,,,1230.0,13275.0,13275.0
2004-09-01,,,,688.8,7434.0,7434.0
2004-10-01,,,,541.2,5841.0,5841.0
2004-11-01,,,,49.2,531.0,531.0
2004-12-01,,,,196.8,2124.0,2124.0
2005-01-01,,,,1999.063,21698.15,21698.15
2005-02-01,,,,460.145,4994.48,4994.48
2005-03-01,,,,394.85900000000004,4285.87,4285.87
2005-04-01,,,,395.083,4288.3,4288.3
2005-05-01,,,,398.341,4323.66,4323.66
2005-06-01,,,,482.535,5237.52,5237.52
2005-07-01,,,,913.8670000000001,9919.26,9919.26
2005-08-01,,,,809.42,8785.57,8785.57
2005-09-01,,,,450.38,4888.5,4888.5
2005-10-01,,,,631.44,6853.75,6853.75
2005-11-01,,,,425.18600000000004,4615.04,4615.04
2005-12-01,,,,1164.68,12641.62,12641.62
2006-01-01,,,,818.791,8764.0,8764.0
2006-02-01,,,,428.447,4586.0,4586.0
2006-03-01,,,,359.9,3852.0,3852.0
2006-04-01,,,,689.404,7379.0,7379.0
