measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2013-01-01,1092.061,10496.0,10496.0
2013-02-01,1001.321,9623.0,9623.0
2013-03-01,1415.773,13607.0,13607.0
2013-04-01,1532.685,14730.0,14730.0
2013-05-01,1535.457,14757.0,14757.0
2013-06-01,1497.337,14390.0,14390.0
2013-07-01,1187.094,11409.0,11409.0
2013-08-01,1350.563,12980.0,12980.0
2013-09-01,1456.288,13996.0,13996.0
2013-10-01,1405.762,13510.0,13510.0
2013-11-01,1249.709,12011.0,12011.0
2013-12-01,1305.95,12551.0,12551.0
2014-01-01,971.173,11484.0,11484.0
2014-02-01,803.868,9506.0,9506.0
2014-03-01,853.98,10098.0,10098.0
2014-04-01,971.438,11488.0,11488.0
2014-05-01,981.931,11611.0,11611.0
2014-06-01,1146.994,13564.0,13564.0
2014-07-01,1099.244,12999.0,12999.0
2014-08-01,1035.928,12250.0,12250.0
2014-09-01,1056.802,12497.0,12497.0
2014-10-01,1041.471,12316.0,12316.0
2014-11-01,885.278,10469.0,10469.0
2014-12-01,881.893,10429.0,10429.0
2015-01-01,1003.251,10121.0,10121.0
2015-02-01,846.019,8535.0,8535.0
2015-03-01,1029.899,10390.0,10390.0
2015-04-01,1145.235,11553.0,11553.0
2015-05-01,1231.445,12423.0,12423.0
2015-06-01,1133.416,11434.0,11434.0
2015-07-01,1292.4,13038.0,13038.0
2015-08-01,1168.713,11790.0,11790.0
2015-09-01,1271.401,12826.0,12826.0
2015-10-01,1182.284,11927.0,11927.0
2015-11-01,1121.005,11309.0,11309.0
2015-12-01,1066.932,10763.0,10763.0
2016-01-01,1080.245,10559.0,10559.0
2016-02-01,1091.294,10667.0,10667.0
2016-03-01,1170.96,11446.0,11446.0
2016-04-01,1153.49,11275.0,11275.0
2016-05-01,1222.112,11946.0,11946.0
2016-06-01,1032.416,10092.0,10092.0
2016-07-01,1159.367,11332.0,11332.0
2016-08-01,1069.518,10454.0,10454.0
2016-09-01,995.891,9735.0,9735.0
2016-10-01,945.291,9240.0,9240.0
2016-11-01,1090.697,10661.0,10661.0
2016-12-01,1096.719,10720.0,10720.0
2017-01-01,1043.052,11233.0,11233.0
2017-02-01,941.944,10144.0,10144.0
2017-03-01,1027.101,11061.0,11061.0
2017-04-01,978.214,10535.0,10535.0
2017-05-01,1055.005,11361.0,11361.0
2017-06-01,969.638,10442.0,10442.0
2017-07-01,932.117,10038.0,10038.0
2017-08-01,938.114,10103.0,10103.0
2017-09-01,894.521,9633.0,9633.0
2017-10-01,964.48,10386.0,10386.0
2017-11-01,926.199,9974.0,9974.0
2017-12-01,999.615,10765.0,10765.0
2018-01-01,974.814,11390.0,11390.0
2018-02-01,859.198,10040.0,10040.0
2018-03-01,925.214,10812.0,10812.0
2018-04-01,920.952,10762.0,10762.0
2018-05-01,967.747,11309.0,11309.0
2018-06-01,868.374,10147.0,10147.0
2018-07-01,892.222,10426.0,10426.0
2018-08-01,850.412,9937.0,9937.0
2018-09-01,810.067,9466.0,9466.0
2018-10-01,938.418,10966.0,10966.0
2018-11-01,912.651,10665.0,10665.0
2018-12-01,942.931,11018.0,11018.0
2019-01-01,956.467,10071.0,10071.0
2019-02-01,860.66,9062.0,9062.0
2019-03-01,977.973,10298.0,10298.0
2019-04-01,904.989,9530.0,9530.0
2019-05-01,959.87,10107.0,10107.0
2019-06-01,886.318,9333.0,9333.0
2019-07-01,890.522,9377.0,9377.0
2019-08-01,867.476,9135.0,9135.0
2019-09-01,815.327,8585.0,8585.0
2019-10-01,846.331,8912.0,8912.0
2019-11-01,833.361,8775.0,8775.0
2019-12-01,924.706,9737.0,9737.0
2020-01-01,863.359,9253.0,9253.0
2020-02-01,773.345,8289.0,8289.0
2020-03-01,879.943,9431.0,9431.0
2020-04-01,845.328,9060.0,9060.0
2020-05-01,831.34,8910.0,8910.0
2020-06-01,777.151,8329.0,8329.0
2020-07-01,760.661,8152.0,8152.0
2020-08-01,752.783,8068.0,8068.0
2020-09-01,752.857,8069.0,8069.0
2020-10-01,818.47,8772.0,8772.0
2020-11-01,774.953,8306.0,8306.0
2020-12-01,854.81,9162.0,9162.0
2021-01-01,1005.892,10071.0,10071.0
2021-02-01,847.312,8484.0,8484.0
2021-03-01,914.632,9158.0,9158.0
2021-04-01,868.178,8693.0,8693.0
2021-05-01,912.773,9139.0,9139.0
2021-06-01,845.312,8464.0,8464.0
2021-07-01,870.764,8719.0,8719.0
2021-08-01,812.356,8134.0,8134.0
2021-09-01,826.241,8273.0,8273.0
2021-10-01,788.247,7892.0,7892.0
2021-11-01,715.169,7161.0,7161.0
2021-12-01,877.124,8783.0,8783.0
2022-01-01,885.928,8149.0,8149.0
2022-02-01,838.123,7710.0,7710.0
2022-03-01,927.136,8528.0,8528.0
2022-04-01,865.646,7963.0,7963.0
2022-05-01,859.852,7909.0,7909.0
2022-06-01,788.326,7252.0,7252.0
2022-07-01,789.753,7265.0,7265.0
2022-08-01,765.007,7037.0,7037.0
2022-09-01,810.491,7456.0,7456.0
2022-10-01,804.404,7400.0,7400.0
2022-11-01,807.24,7426.0,7426.0
2022-12-01,668.094,6145.0,6145.0
2023-01-01,851.321,9165.0,9165.0
2023-02-01,710.661,7650.0,7650.0
2023-03-01,818.193,8808.0,8808.0
2023-04-01,766.046,8247.0,8247.0
2023-05-01,806.886,8687.0,8687.0
2023-06-01,803.994,8655.0,8655.0
2023-07-01,788.271,8486.0,8486.0
2023-08-01,742.099,7989.0,7989.0
2023-09-01,641.859,6910.0,6910.0
2023-10-01,712.433,7670.0,7670.0
2023-11-01,702.559,7563.0,7563.0
2023-12-01,696.678,7500.0,7500.0
2024-01-01,628.715,6084.0,6084.0
2024-02-01,623.366,6032.0,6032.0
2024-03-01,658.105,6368.0,6368.0
2024-04-01,597.163,5778.0,5778.0
2024-05-01,627.898,6075.0,6075.0
2024-06-01,603.705,5841.0,5841.0
2024-07-01,613.19,5933.0,5933.0
2024-08-01,627.727,6074.0,6074.0
2024-09-01,550.252,5324.0,5324.0
2024-10-01,613.742,5939.0,5939.0
2024-11-01,570.459,5520.0,5520.0
2024-12-01,493.678,4777.0,4777.0
