measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2008-01-01,847.4200000000001,10462.0,10462.0
2008-02-01,866.509,10698.0,10698.0
2008-03-01,605.8910000000001,7481.0,7481.0
2008-04-01,766.4060000000001,9462.0,9462.0
2008-05-01,654.6120000000001,8082.0,8082.0
2008-06-01,1375.558,16983.0,16983.0
2008-07-01,5966.866,73666.0,73666.0
2008-08-01,4806.158,59337.0,59337.0
2008-09-01,1084.6770000000001,13392.0,13392.0
2008-10-01,733.5690000000001,9057.0,9057.0
2008-11-01,581.455,7179.0,7179.0
2008-12-01,527.879,6517.0,6517.0
2009-01-01,1148.088,13911.0,13911.0
2009-02-01,639.105,7744.0,7744.0
2009-03-01,893.99,10832.0,10832.0
2009-04-01,1789.914,21688.0,21688.0
2009-05-01,1046.179,12676.0,12676.0
2009-06-01,591.331,7165.0,7165.0
2009-07-01,1700.747,20607.0,20607.0
2009-08-01,520.767,6310.0,6310.0
2009-09-01,1867.044,22622.0,22622.0
2009-10-01,563.25,6825.0,6825.0
2009-11-01,1347.073,16322.0,16322.0
2009-12-01,1459.5120000000002,17685.0,17685.0
2010-01-01,1028.858,14114.0,14114.0
2010-02-01,860.235,11801.0,11801.0
2010-03-01,657.0600000000001,9013.0,9013.0
2010-04-01,1155.29,15849.0,15849.0
2010-05-01,830.2710000000001,11390.0,11390.0
2010-06-01,1168.708,16032.0,16032.0
2010-07-01,1458.595,20009.0,20009.0
2010-08-01,1279.645,17554.0,17554.0
2010-09-01,1266.236,17370.0,17370.0
2010-10-01,1350.133,18521.0,18521.0
2010-11-01,1115.7730000000001,15306.0,15306.0
2010-12-01,1317.1960000000001,18069.0,18069.0
2011-01-01,1465.099,17423.0,17423.0
2011-02-01,1189.035,14140.0,14140.0
2011-03-01,1437.461,17095.0,17095.0
2011-04-01,982.509,11684.0,11684.0
2011-05-01,1196.372,14228.0,14228.0
2011-06-01,1258.58,14968.0,14968.0
2011-07-01,2057.81,24473.0,24473.0
2011-08-01,1486.036,17673.0,17673.0
2011-09-01,1156.085,13749.0,13749.0
2011-10-01,559.997,6660.0,6660.0
2011-11-01,558.722,6645.0,6645.0
2011-12-01,672.294,7995.0,7995.0
2012-01-01,2042.506,26415.0,26415.0
2012-02-01,2456.727,31771.0,31771.0
2012-03-01,2091.59,27049.0,27049.0
2012-04-01,2297.103,29707.0,29707.0
2012-05-01,2564.816,33169.0,33169.0
2012-06-01,2299.981,29744.0,29744.0
2012-07-01,5565.832,71979.0,71979.0
2012-08-01,8040.489,103982.0,103982.0
2012-09-01,2712.774,35082.0,35082.0
2012-10-01,4837.915,62566.0,62566.0
2012-11-01,5860.557,75791.0,75791.0
2012-12-01,7256.71,93846.0,93846.0
2013-01-01,3135.236,39831.0,39831.0
2013-02-01,2598.803,33016.0,33016.0
2013-03-01,2551.006,32409.0,32409.0
2013-04-01,3418.905,43435.0,43435.0
2013-05-01,4604.34,58495.0,58495.0
2013-06-01,4510.522,57303.0,57303.0
2013-07-01,4239.519,53860.0,53860.0
2013-08-01,4106.353,52168.0,52168.0
2013-09-01,4025.753,51144.0,51144.0
2013-10-01,3882.219,49321.0,49321.0
2013-11-01,3970.46,50442.0,50442.0
2013-12-01,4154.884,52785.0,52785.0
2014-01-01,3522.523,47819.0,47819.0
2014-02-01,3906.906,53037.0,53037.0
2014-03-01,4060.786,55126.0,55126.0
2014-04-01,4083.662,55437.0,55437.0
2014-05-01,3801.202,51602.0,51602.0
2014-06-01,3754.638,50970.0,50970.0
2014-07-01,4045.262,54915.0,54915.0
2014-08-01,3361.838,45638.0,45638.0
2014-09-01,2900.709,39378.0,39378.0
2014-10-01,2699.073,36640.0,36640.0
2014-11-01,2640.508,35845.0,35845.0
2014-12-01,2755.893,37412.0,37412.0
2015-01-01,2969.275,42319.0,42319.0
2015-02-01,2201.285,31374.0,31374.0
2015-03-01,3135.834,44693.0,44693.0
2015-04-01,4034.121,57496.0,57496.0
2015-05-01,3766.608,53684.0,53684.0
2015-06-01,4127.685,58830.0,58830.0
2015-07-01,4690.256,66848.0,66848.0
2015-08-01,4581.183,65293.0,65293.0
2015-09-01,4759.538,67835.0,67835.0
2015-10-01,4071.049,58023.0,58023.0
2015-11-01,4635.514,66068.0,66068.0
2015-12-01,5538.652,78939.0,78939.0
2016-01-01,5322.861,77545.0,77545.0
2016-02-01,4316.926,62890.0,62890.0
2016-03-01,4505.278,65634.0,65634.0
2016-04-01,3540.431,51578.0,51578.0
2016-05-01,5124.194,74651.0,74651.0
2016-06-01,3622.678,52776.0,52776.0
2016-07-01,3235.138,47130.0,47130.0
2016-08-01,3516.432,51228.0,51228.0
2016-09-01,2401.634,34988.0,34988.0
2016-10-01,2114.836,30810.0,30810.0
2016-11-01,2234.381,32551.0,32551.0
2016-12-01,2040.211,29722.0,29722.0
2017-01-01,3609.854,48011.0,48011.0
2017-02-01,3444.518,45812.0,45812.0
2017-03-01,3523.42,46861.0,46861.0
2017-04-01,3191.216,42443.0,42443.0
2017-05-01,3238.158,43067.0,43067.0
2017-06-01,3073.163,40873.0,40873.0
2017-07-01,3179.972,42293.0,42293.0
2017-08-01,3019.046,40153.0,40153.0
2017-09-01,2805.836,37317.0,37317.0
2017-10-01,3317.956,44129.0,44129.0
2017-11-01,3424.881,45551.0,45551.0
2017-12-01,3535.98,47028.0,47028.0
2018-01-01,5014.96,66965.0,66965.0
2018-02-01,4756.188,63510.0,63510.0
2018-03-01,5061.859,67591.0,67591.0
2018-04-01,4874.29,65087.0,65087.0
2018-05-01,4408.766,58871.0,58871.0
2018-06-01,4769.283,63684.0,63684.0
2018-07-01,4792.531,63995.0,63995.0
2018-08-01,4767.167,63656.0,63656.0
2018-09-01,3917.291,52308.0,52308.0
2018-10-01,4861.511,64916.0,64916.0
2018-11-01,4918.966,65683.0,65683.0
2018-12-01,5054.188,67489.0,67489.0
2019-01-01,2957.165,38121.0,38121.0
2019-02-01,2605.428,33587.0,33587.0
2019-03-01,2814.213,36278.0,36278.0
2019-04-01,2648.013,34136.0,34136.0
2019-05-01,2837.917,36584.0,36584.0
2019-06-01,2744.217,35376.0,35376.0
2019-07-01,2786.122,35916.0,35916.0
2019-08-01,2696.504,34761.0,34761.0
2019-09-01,2640.23,34035.0,34035.0
2019-10-01,2777.72,35808.0,35808.0
2019-11-01,2635.424,33973.0,33973.0
2019-12-01,2940.047,37900.0,37900.0
2020-01-01,3167.343,39674.0,39674.0
2020-02-01,3543.137,44382.0,44382.0
2020-03-01,2540.514,31823.0,31823.0
2020-04-01,2808.814,35184.0,35184.0
2020-05-01,1755.776,21993.0,21993.0
2020-06-01,2295.876,28759.0,28759.0
2020-07-01,2717.695,34042.0,34042.0
2020-08-01,2924.08,36628.0,36628.0
2020-09-01,2870.856,35961.0,35961.0
2020-10-01,2746.216,34400.0,34400.0
2020-11-01,2380.809,29823.0,29823.0
2020-12-01,2938.884,36813.0,36813.0
2021-01-01,2297.076,28378.0,28378.0
2021-02-01,2144.472,26492.0,26492.0
2021-03-01,2283.643,28211.0,28211.0
2021-04-01,2245.693,27742.0,27742.0
2021-05-01,2265.568,27988.0,27988.0
2021-06-01,2080.973,25707.0,25707.0
2021-07-01,2146.644,26519.0,26519.0
2021-08-01,2077.072,25659.0,25659.0
2021-09-01,1912.19,23622.0,23622.0
2021-10-01,2030.206,25080.0,25080.0
2021-11-01,2025.5,25022.0,25022.0
2021-12-01,2384.963,29463.0,29463.0
2022-01-01,1636.163,17801.0,17801.0
2022-02-01,1568.9,17069.0,17069.0
2022-03-01,1674.562,18218.0,18218.0
2022-04-01,1624.59,17675.0,17675.0
2022-05-01,1484.659,16152.0,16152.0
2022-06-01,1539.294,16747.0,16747.0
2022-07-01,1692.484,18413.0,18413.0
2022-08-01,1551.425,16879.0,16879.0
2022-09-01,1417.152,15418.0,15418.0
2022-10-01,1541.035,16766.0,16766.0
