measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-01-01,7358.9029,35024.18,457909.92,,,,52.835989999999995,251.47,3287.74,823.38795,3918.86,51235.56,158.02255,752.1,9833.0,448.8856,2136.44,27932.04
2004-02-01,6467.26612,30780.5,402457.2,,,,47.03368,223.85,2926.9,1566.25073,7454.46,97467.6,92.89748999999999,442.14,5781.0,390.97398,1860.81,24330.26
2004-03-01,7147.64063,34018.69,444772.44,,,,48.08598,228.86,2992.22,1015.25654,4832.04,63175.83,191.46193,911.25,11914.0,423.78892,2016.99,26370.89
2004-04-01,7180.47701,34174.97,446828.64,,,,110.99329,528.26,6906.92,1595.39818,7593.18,99278.86,235.33919,1120.08,14644.75,508.00733,2417.82,31612.42
2004-05-01,6226.48277,29634.51,387445.92,,,,219.22395,1043.38,13641.32,1208.86351,5753.5,75222.12,151.1077,719.19,9402.75,424.89908,2022.28,26439.55
2004-06-01,6074.99226,28913.5,378010.32,,,,165.16003999999998,786.07,10276.92,815.76472,3882.57,50760.14,254.69674,1212.21,15848.25,532.91424,2536.37,33160.06
2004-07-01,6337.03814,30160.68,394340.64,,,,202.42672,963.44,12596.59,1685.51709,8022.1,104886.21,318.65525,1516.62,19829.25,578.8618,2755.05,36021.36
2004-08-01,5313.41271,25288.81,330631.32,,,,147.12188,700.22,9154.78,998.65707,4753.04,62142.23,228.49849,1087.52,14218.5,542.52885,2582.13,33759.29
2004-09-01,5848.87826,27837.33,363941.4,,,,118.39295,563.48,7366.9,697.17464,3318.15,43381.09,176.14949000000001,838.37,10960.75,528.28966,2514.36,32872.37
2004-10-01,6021.31846,28658.04,374674.44,,,,88.93760999999999,423.29,5534.11,702.1289,3341.73,43689.73,204.25988,972.16,12710.0,381.01414,1813.41,23708.47
2004-11-01,4438.25033,21123.53,276167.28,,,,51.83457,246.7,3225.37,463.61333,2206.53,28848.04,144.97538,690.0,9021.0,504.8414,2402.76,31413.43
2004-12-01,5772.79908,27475.23,359268.6,,,,29.318959999999997,139.54,1824.66,2427.99563,11555.87,151105.66,97.80310999999999,465.49,6086.75,506.75022,2411.84,31537.46
2006-01-01,3419.97598,16277.14,417653.04,,,,193.52800000000002,921.08,23633.95,400.39907,1905.67,48897.39,3000.77677,14281.99,366459.75,2627.92218,12507.41,320926.14
