measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,44531.5,561336.5,561336.5,8540.0,108982.0,108982.0
2001-02-01,69007.0,753890.5,753890.5,0.0,0.0,0.0
2001-03-01,45336.0,454509.5,454509.5,0.0,0.0,0.0
2001-04-01,90001.0,1017794.0,1017794.0,0.0,0.0,0.0
2001-05-01,92905.0,1069596.0,1069596.0,0.0,0.0,0.0
2001-06-01,102023.5,1166995.0,1166995.0,605.0,6929.0,6929.0
2001-07-01,141219.0,1658941.0,1658941.0,0.0,0.0,0.0
2001-08-01,165159.5,1742210.5,1742210.5,0.0,0.0,0.0
2001-09-01,75201.5,845734.5,845734.5,0.0,0.0,0.0
2001-10-01,4002.5,92425.0,92425.0,0.0,0.0,0.0
2001-11-01,420.5,14365.5,14365.5,0.0,0.0,0.0
2001-12-01,5835.5,93384.0,93384.0,0.0,0.0,0.0
2002-01-01,30920.0,411148.0,411148.0,0.0,0.0,0.0
2002-02-01,20671.0,166480.0,166480.0,35288.0,284198.0,284198.0
2002-03-01,93573.0,1078684.0,1078684.0,14302.0,164864.0,164864.0
2002-04-01,126151.0,1063684.0,1063684.0,0.0,0.0,0.0
2002-05-01,72202.0,958320.0,958320.0,0.0,0.0,0.0
2002-06-01,53672.0,739580.0,739580.0,0.0,0.0,0.0
2002-07-01,158882.0,2176405.0,2176405.0,0.0,0.0,0.0
2002-08-01,224461.0,3098384.0,3098384.0,0.0,0.0,0.0
2002-09-01,114271.0,1553230.0,1553230.0,0.0,0.0,0.0
2002-10-01,27519.0,376992.0,376992.0,0.0,0.0,0.0
2002-11-01,-792.0,0.0,0.0,0.0,0.0,0.0
2002-12-01,611.0,21930.0,21930.0,0.0,0.0,0.0
2003-01-01,1951.0,33150.0,33150.0,0.0,0.0,0.0
2003-02-01,5296.0,70482.0,70482.0,0.0,0.0,0.0
2003-03-01,,,,0.0,0.0,0.0
2003-04-01,15552.0,286222.0,286222.0,0.0,0.0,0.0
2003-05-01,112381.0,1789243.0,1789243.0,0.0,0.0,0.0
2003-06-01,101548.0,1597616.0,1597616.0,0.0,0.0,0.0
2003-07-01,184126.0,2572165.0,2572165.0,0.0,0.0,0.0
2003-08-01,195422.0,2709012.0,2709012.0,0.0,0.0,0.0
2003-09-01,62254.0,966442.0,966442.0,0.0,0.0,0.0
2003-10-01,15736.0,212935.0,212935.0,0.0,0.0,0.0
2003-11-01,33226.0,554608.0,554608.0,0.0,0.0,0.0
2003-12-01,11734.0,288853.0,288853.0,0.0,0.0,0.0
2004-01-01,13403.0,291226.0,291226.0,0.0,0.0,0.0
2004-02-01,16692.0,402024.0,402024.0,0.0,0.0,0.0
2004-03-01,6123.0,116537.0,116537.0,0.0,0.0,0.0
2004-04-01,9504.0,168512.0,168512.0,0.0,0.0,0.0
2004-05-01,58442.0,940657.0,940657.0,0.0,0.0,0.0
