measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed
2003-01-01,,,,,,,,,,297.748,0.0,0.0,,,
2003-02-01,,,,,,,,,,274.69300000000004,0.0,0.0,,,
2003-03-01,,,,,,,,,,251.472,0.0,0.0,,,
2003-04-01,,,,,,,,,,265.225,0.0,0.0,,,
2003-05-01,,,,,,,,,,263.848,0.0,0.0,,,
2003-06-01,,,,,,,,,,262.858,0.0,0.0,,,
2003-07-01,,,,,,,,,,289.146,0.0,0.0,,,
2003-08-01,,,,,,,,,,303.846,0.0,0.0,,,
2003-09-01,,,,,,,,,,271.843,0.0,0.0,,,
2003-10-01,,,,,,,,,,228.209,0.0,0.0,,,
2003-11-01,,,,,,,,,,201.268,0.0,0.0,,,
2003-12-01,,,,,,,,,,292.845,0.0,0.0,,,
2004-01-01,110.45402,687.78,2185.41,4.58917,28.58,95.04,2584.94598,16095.97,51144.96,107.18383,667.41,2116.8,,,
2004-02-01,110.45399,687.78,2185.41,4.73055,29.46,95.04,3817.44401,23770.52,75530.82,163.38445,1017.36,3231.75,,,
2004-03-01,110.45399,687.78,2185.41,4.7647,29.67,95.04,3328.88001,20728.31,65864.24,143.5483,893.84,2839.88,,,
2004-04-01,110.45402,687.78,2185.41,4.7645599999999995,29.67,95.04,3790.24898,23601.17,74992.73,163.43844,1017.69,3233.48,,,
2004-05-01,110.45400000000001,687.78,2185.41,4.832,30.09,95.04,3166.683,19718.35,62655.05,138.57,862.85,2742.71,,,
2004-06-01,110.45399,687.78,2185.41,4.94133,30.77,95.04,2690.49101,16753.19,53233.26,120.52067,750.46,2387.69,,,
2004-07-01,110.45401,687.78,2185.41,4.96383,30.91,95.04,3491.49899,21740.91,69081.75,157.14517,978.51,3112.89,,,
2004-08-01,110.45401,687.78,2185.41,4.97526,30.98,95.04,3872.37199,24112.54,76617.6,174.70674,1087.86,3460.64,,,
2004-09-01,110.45400000000001,687.78,2185.41,4.83177,30.09,95.04,3399.4550000000004,21167.77,67260.61,148.74823,926.22,2944.11,,,
2004-10-01,110.45400000000001,687.78,2185.41,4.71012,29.33,95.04,3567.206,22212.33,70579.68,151.98588,946.38,3005.78,,,
2004-11-01,110.45403,687.78,2185.41,4.71252,29.34,95.04,2629.22497,16371.69,52021.05,112.08048,697.9,2216.14,,,
2004-12-01,110.45399,687.78,2185.41,4.70718,29.31,95.04,3473.80201,21630.72,68731.62,147.90982,921.01,2925.06,,,
