measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2011-01-01,,,,0.0,0.0,0.0
2011-02-01,,,,382.967,3738.0,3738.0
2011-03-01,,,,407.445,3979.0,3979.0
2011-04-01,,,,437.398,4272.0,4272.0
2011-05-01,,,,490.989,4795.0,4795.0
2011-06-01,,,,512.897,5009.0,5009.0
2011-07-01,,,,482.955,4717.0,4717.0
2011-08-01,,,,549.492,5367.0,5367.0
2011-09-01,,,,485.979,4746.0,4746.0
2011-10-01,,,,478.799,4675.0,4675.0
2011-11-01,,,,532.939,5205.0,5205.0
2011-12-01,,,,467.42,4565.0,4565.0
2012-01-01,,,,466.873,4505.0,4505.0
2012-02-01,,,,451.322,4355.0,4355.0
2012-03-01,,,,479.434,4626.0,4626.0
2012-04-01,,,,531.749,5131.0,5131.0
2012-05-01,,,,547.561,5284.0,5284.0
2012-06-01,,,,542.388,5234.0,5234.0
2012-07-01,,,,625.381,6034.0,6034.0
2012-08-01,,,,618.274,5966.0,5966.0
2012-09-01,,,,537.051,5182.0,5182.0
2012-10-01,,,,621.112,5993.0,5993.0
2012-11-01,,,,489.036,4719.0,4719.0
2012-12-01,,,,509.819,4920.0,4920.0
2013-01-01,,,,479.198,7025.0,7025.0
2013-02-01,,,,439.382,6441.0,6441.0
2013-03-01,,,,621.244,9107.0,9107.0
2013-04-01,,,,672.546,9858.0,9858.0
2013-05-01,,,,673.762,9876.0,9876.0
2013-06-01,,,,657.035,9631.0,9631.0
2013-07-01,,,,520.9,7636.0,7636.0
2013-08-01,,,,592.63,8687.0,8687.0
2013-09-01,,,,639.022,9367.0,9367.0
2013-10-01,,,,616.852,9042.0,9042.0
2013-11-01,,,,548.375,8039.0,8039.0
2013-12-01,,,,573.054,8400.0,8400.0
2014-01-01,,,,620.707,8988.0,8988.0
2014-02-01,,,,513.776,7440.0,7440.0
2014-03-01,,,,545.805,7904.0,7904.0
2014-04-01,,,,620.876,8990.0,8990.0
2014-05-01,,,,627.582,9088.0,9088.0
2014-06-01,,,,733.079,10615.0,10615.0
2014-07-01,,,,702.56,10173.0,10173.0
2014-08-01,,,,662.093,9588.0,9588.0
2014-09-01,,,,675.434,9781.0,9781.0
2014-10-01,,,,665.636,9639.0,9639.0
2014-11-01,,,,565.808,8193.0,8193.0
2014-12-01,,,,563.644,8162.0,8162.0
2015-01-01,,,,584.461,7933.0,7933.0
2015-02-01,,,,492.863,6689.0,6689.0
2015-03-01,,,,599.986,8143.0,8143.0
2015-04-01,,,,667.177,9055.0,9055.0
2015-05-01,,,,717.4,9737.0,9737.0
2015-06-01,,,,660.291,8962.0,8962.0
2015-07-01,,,,752.91,10219.0,10219.0
2015-08-01,,,,680.854,9241.0,9241.0
2015-09-01,,,,740.677,10052.0,10052.0
2015-10-01,,,,688.76,9348.0,9348.0
2015-11-01,,,,653.061,8863.0,8863.0
2015-12-01,,,,621.56,8436.0,8436.0
2016-01-01,,,,643.137,5778.0,5778.0
2016-02-01,,,,649.714,5837.0,5837.0
2016-03-01,,,,697.144,6263.0,6263.0
2016-04-01,,,,686.744,6170.0,6170.0
2016-05-01,,,,727.598,6537.0,6537.0
2016-06-01,,,,614.661,5523.0,5523.0
2016-07-01,,,,690.243,6202.0,6202.0
2016-08-01,,,,636.75,5721.0,5721.0
2016-09-01,,,,592.915,5327.0,5327.0
2016-10-01,,,,562.79,5057.0,5057.0
2016-11-01,,,,649.359,5834.0,5834.0
2016-12-01,,,,652.945,5867.0,5867.0
2017-01-01,,,,675.707,8172.0,8172.0
2017-02-01,,,,610.205,7380.0,7380.0
2017-03-01,,,,665.371,8047.0,8047.0
2017-04-01,,,,633.701,7664.0,7664.0
2017-05-01,,,,683.448,8266.0,8266.0
2017-06-01,,,,628.146,7597.0,7597.0
2017-07-01,,,,603.839,7303.0,7303.0
2017-08-01,,,,607.724,7350.0,7350.0
2017-09-01,,,,579.484,7008.0,7008.0
2017-10-01,,,,624.804,7557.0,7557.0
2017-11-01,,,,600.005,7256.0,7256.0
2017-12-01,,,,647.566,7831.0,7831.0
2018-01-01,131.729,2218.0,2218.0,279.142,4697.0,4697.0
2018-02-01,110.952,1867.0,1867.0,246.035,4140.0,4140.0
2018-03-01,123.57,2079.0,2079.0,264.939,4458.0,4458.0
2018-04-01,119.991,2019.0,2019.0,263.718,4437.0,4437.0
2018-05-01,157.983,2658.0,2658.0,277.118,4663.0,4663.0
2018-06-01,160.062,2693.0,2693.0,248.662,4184.0,4184.0
2018-07-01,176.076,2963.0,2963.0,255.491,4299.0,4299.0
2018-08-01,163.991,2759.0,2759.0,243.519,4098.0,4098.0
2018-09-01,130.517,2196.0,2196.0,231.966,3903.0,3903.0
2018-10-01,126.22,2124.0,2124.0,268.72,4521.0,4521.0
2018-11-01,139.624,2349.0,2349.0,261.341,4398.0,4398.0
2018-12-01,142.622,2400.0,2400.0,270.012,4543.0,4543.0
2019-01-01,552.189,6716.0,6716.0,0.0,0.0,0.0
2019-02-01,521.215,6339.0,6339.0,0.0,0.0,0.0
2019-03-01,540.946,6579.0,6579.0,0.0,0.0,0.0
2019-04-01,424.057,5157.0,5157.0,0.0,0.0,0.0
2019-05-01,467.325,5683.0,5683.0,0.0,0.0,0.0
2019-06-01,506.505,6160.0,6160.0,0.0,0.0,0.0
2019-07-01,589.807,7173.0,7173.0,0.0,0.0,0.0
2019-08-01,622.164,7567.0,7567.0,0.0,0.0,0.0
2019-09-01,577.264,7020.0,7020.0,0.0,0.0,0.0
2019-10-01,579.972,7053.0,7053.0,0.0,0.0,0.0
2019-11-01,588.087,7152.0,7152.0,0.0,0.0,0.0
2019-12-01,636.649,7743.0,7743.0,0.0,0.0,0.0
2020-01-01,629.325,5479.0,5479.0,0.0,0.0,0.0
2020-02-01,568.233,4946.0,4946.0,0.0,0.0,0.0
2020-03-01,532.992,4639.0,4639.0,0.0,0.0,0.0
2020-04-01,520.213,4528.0,4528.0,0.0,0.0,0.0
