measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,11961.497,178692.0,178704.0
2003-02-01,0.0,0.0,0.0,11016.0,157049.0,157059.0
2003-03-01,0.0,0.0,0.0,12216.0,164457.0,164466.0
2003-04-01,0.0,0.0,0.0,10693.901,161072.0,161082.0
2003-05-01,0.0,0.0,0.0,12168.922,179540.0,179547.0
2003-06-01,0.0,0.0,0.0,11362.27,180937.0,180946.0
2003-07-01,0.0,0.0,0.0,10601.712,167009.0,167017.0
2003-08-01,0.0,0.0,0.0,11247.034,181798.0,181810.0
2003-09-01,0.0,0.0,0.0,8112.6140000000005,137923.0,137936.0
2003-10-01,0.0,0.0,0.0,10048.579,155157.0,155167.0
2003-11-01,0.0,0.0,0.0,11638.836,180374.0,180384.0
2003-12-01,0.0,0.0,0.0,11615.789,202810.0,202824.0
2004-01-01,0.0577,0.89,1.0,10302.0413,158899.17,178542.0
2004-02-01,0.0,0.0,0.0,10670.854,164587.76,166648.8
2004-03-01,0.0,0.0,0.0,11339.222,174896.71,189731.6
2004-04-01,0.0,0.0,0.0,7740.018,119382.41,134734.0
2004-05-01,0.0,0.0,0.0,11119.314,171504.83,184312.8
2004-06-01,0.0,0.0,0.0,10782.248,166305.92,168783.2
2004-07-01,0.0,0.0,0.0,11915.402,178930.8,178930.8
2004-08-01,105.42017,1626.01,1809.0,10035.34783,154785.69,172205.6
2004-09-01,0.0,0.0,0.0,11454.458,176674.12,186024.0
2004-10-01,0.0,0.0,0.0,12191.969000000001,188049.52,199318.0
2004-11-01,0.0,0.0,0.0,12076.733,186272.11,186539.2
2004-12-01,0.0,0.0,0.0,12191.969000000001,188049.52,202206.8
2005-01-01,0.11735,1.81,2.0,11546.52965,178094.23,196788.0
