measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,29237.0,384660.0,384660.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,39384.0,480952.0,480952.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,41313.0,509828.0,509828.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,28391.0,353431.0,353431.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16392.0,203834.0,203834.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,33938.0,482154.0,482154.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,51588.0,642706.0,642706.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,58365.0,766573.0,766573.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,33650.0,471801.0,471801.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,43655.0,545778.0,545778.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,23140.0,280773.0,280773.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,12121.0,168248.0,168248.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,36653.0,472799.0,472799.0
2004-02-01,0.0,0.0,0.0,5.0,53.0,53.0,,,,26265.0,393359.0,393359.0
2004-03-01,0.0,0.0,0.0,7.0,65.0,65.0,,,,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,3.0,41.0,41.0,,,,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,9.0,194.0,194.0,,,,27075.0,389650.0,389650.0
2004-06-01,0.0,0.0,0.0,8.0,88.0,88.0,,,,17468.0,244661.0,244661.0
2004-07-01,0.0,0.0,0.0,1.0,18.0,18.0,,,,51277.0,661333.0,661333.0
2004-08-01,0.0,0.0,0.0,4.0,59.0,59.0,,,,30084.0,406741.0,406741.0
2004-09-01,0.0,0.0,0.0,3.0,35.0,35.0,,,,32822.0,427862.0,427862.0
2004-10-01,0.0,0.0,0.0,3.0,35.0,35.0,,,,31100.0,395477.0,395477.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,6315.0,92317.0,92317.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,19878.0,259950.0,259950.0
2005-01-01,0.0,0.0,0.0,6.0,70.68,70.68,,,,23550.0,300392.04,300392.04
2005-02-01,0.0,0.0,0.0,5.0,53.01,53.01,,,,7437.0,104834.58,104834.58
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16610.0,198260.46,198260.46
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2793.0,40418.52,40418.52
2005-05-01,0.0,0.0,0.0,13.0,147.25,147.25,,,,29303.0,362133.66,362133.66
2005-06-01,0.0,0.0,0.0,14.0,153.14,153.14,,,,78400.0,966798.84,966798.84
2005-07-01,0.0,0.0,0.0,31.0,323.95,323.95,,,,86710.0,1017407.16,1017407.16
2005-08-01,0.0,0.0,0.0,14.0,141.36,141.36,,,,96375.0,1179187.32,1179187.32
2005-09-01,0.0,0.0,0.0,24.0,288.61,288.61,,,,67124.0,845975.76,845975.76
2005-10-01,0.0,0.0,0.0,8.0,76.57,76.57,,,,49602.0,669797.28,669797.28
2005-11-01,0.0,0.0,0.0,15.0,153.14,153.14,,,,49243.0,660394.92,660394.92
2005-12-01,0.0,0.0,0.0,15.0,153.14,153.14,,,,21684.0,280440.84,280440.84
