measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,277.362,3167.0,3167.0,48332.638,551955.0,551955.0
2010-05-01,26.745,300.0,300.0,75896.255,852695.0,852695.0
2010-06-01,1056.709,12109.0,12109.0,59703.291,684139.0,684139.0
2010-07-01,24.463,272.0,272.0,75814.537,841635.0,841635.0
2010-08-01,233.637,2600.0,2600.0,67572.363,751999.0,751999.0
2010-09-01,7.655,85.0,85.0,73733.345,816235.0,816235.0
2010-10-01,592.724,6746.0,6746.0,50335.276,572847.0,572847.0
2010-11-01,224.64000000000001,2577.0,2577.0,69415.36,796309.0,796309.0
2010-12-01,77.563,877.0,877.0,75038.437,848628.0,848628.0
2011-01-01,59.422,678.0,678.0,74739.578,853269.0,853269.0
2011-02-01,111.534,1289.0,1289.0,67197.466,776879.0,776879.0
2011-03-01,6.677,76.0,76.0,75767.323,860614.0,860614.0
2011-04-01,49.741,561.0,561.0,72818.259,821305.0,821305.0
2011-05-01,616.686,7351.0,7351.0,56595.314,674600.0,674600.0
2011-06-01,134.475,1539.0,1539.0,69161.525,791447.0,791447.0
2011-07-01,0.0,0.0,0.0,72864.0,846935.0,846935.0
2011-08-01,337.595,3894.0,3894.0,62636.405,722438.0,722438.0
2011-09-01,8.36,96.0,96.0,72780.64,837502.0,837502.0
2011-10-01,235.435,2700.0,2700.0,68513.565,785603.0,785603.0
2011-11-01,16.887,185.0,185.0,69296.113,759500.0,759500.0
2011-12-01,273.025,3024.0,3024.0,57244.975,634040.0,634040.0
2012-01-01,3.986,45.0,45.0,76266.014,858717.0,858717.0
2012-02-01,0.0,0.0,0.0,70998.0,803382.0,803382.0
2012-03-01,21.62,242.0,242.0,76130.38,852352.0,852352.0
2012-04-01,383.26,4343.0,4343.0,52055.74,589929.0,589929.0
2012-05-01,120.15,1339.0,1339.0,75142.85,837265.0,837265.0
2012-06-01,5.386,60.0,60.0,73606.614,821105.0,821105.0
2012-07-01,58.822,669.0,669.0,75352.178,856504.0,856504.0
2012-08-01,20.882,235.0,235.0,75690.118,853472.0,853472.0
2012-09-01,221.949,2497.0,2497.0,69286.051,779427.0,779427.0
2012-10-01,78.407,875.0,875.0,75129.593,838721.0,838721.0
2012-11-01,2.825,32.0,32.0,73692.175,829840.0,829840.0
2012-12-01,247.541,3135.0,3135.0,60616.459,767664.0,767664.0
2013-01-01,17.696,203.0,203.0,73523.304,841579.0,841579.0
2013-02-01,181.717,2087.0,2087.0,63670.283,731193.0,731193.0
2013-03-01,643.871,7703.0,7703.0,36431.129,435872.0,435872.0
2013-04-01,150.146,1722.0,1722.0,71426.854,818976.0,818976.0
2013-05-01,48.734,552.0,552.0,75939.266,860520.0,860520.0
2013-06-01,55.481,634.0,634.0,68502.519,782748.0,782748.0
2013-07-01,17.519,210.0,210.0,71921.481,861439.0,861439.0
2013-08-01,30.444,361.0,361.0,76198.556,903513.0,903513.0
2013-09-01,54.842,615.0,615.0,73652.158,826374.0,826374.0
2013-10-01,78.962,882.0,882.0,75049.038,838691.0,838691.0
2013-11-01,12.094,136.0,136.0,74324.906,835752.0,835752.0
2013-12-01,0.0,0.0,0.0,75962.0,857643.0,857643.0
2014-01-01,0.0,0.0,0.0,75037.0,853595.0,853595.0
2014-02-01,13.325,153.0,153.0,66230.675,759865.0,759865.0
2014-03-01,262.509,3044.0,3044.0,67493.491,782559.0,782559.0
2014-04-01,3.302,37.0,37.0,70711.698,801734.0,801734.0
2014-05-01,253.186,2951.0,2951.0,41060.814,478575.0,478575.0
2014-06-01,0.0,0.0,0.0,74441.0,849108.0,849108.0
2014-07-01,8.455,97.0,97.0,77287.545,884826.0,884826.0
2014-08-01,14.179,162.0,162.0,76625.821,876444.0,876444.0
2014-09-01,200.082,2282.0,2282.0,69300.918,790365.0,790365.0
2014-10-01,0.0,0.0,0.0,76915.0,898085.0,898085.0
2014-11-01,324.562,3778.0,3778.0,65792.438,765838.0,765838.0
2014-12-01,0.0,0.0,0.0,77001.0,880612.0,880612.0
2015-01-01,155.278,1792.0,1792.0,75021.722,865598.0,865598.0
2015-02-01,4.029,46.0,46.0,68652.971,790904.0,790904.0
2015-03-01,8.273,96.0,96.0,74031.727,856409.0,856409.0
2015-04-01,238.898,2798.0,2798.0,50672.102,593578.0,593578.0
2015-05-01,9.468,109.0,109.0,75697.532,870053.0,870053.0
2015-06-01,314.501,3632.0,3632.0,69723.499,805164.0,805164.0
2015-07-01,159.407,1834.0,1834.0,73903.593,850320.0,850320.0
2015-08-01,25.267,292.0,292.0,72148.733,834380.0,834380.0
2015-09-01,10.223,117.0,117.0,67794.777,776696.0,776696.0
2015-10-01,979.149,11732.0,11732.0,34100.851,408586.0,408586.0
2015-11-01,830.0,9876.0,9876.0,32758.0,389765.0,389765.0
2015-12-01,80.183,919.0,919.0,76481.817,876493.0,876493.0
2016-01-01,54.196,623.0,623.0,75724.804,870867.0,870867.0
2016-02-01,55.783,639.0,639.0,70592.217,808646.0,808646.0
2016-03-01,163.912,1889.0,1889.0,42221.088,486556.0,486556.0
2016-04-01,0.896,10.0,10.0,56766.104,659194.0,659194.0
2016-05-01,165.993,1848.0,1848.0,58568.007,652038.0,652038.0
2016-06-01,0.0,0.0,0.0,74039.0,846495.0,846495.0
2016-07-01,0.0,0.0,0.0,76517.0,878415.0,878415.0
2016-08-01,98.394,1133.0,1133.0,72734.606,837537.0,837537.0
2016-09-01,4.94,56.0,56.0,74328.06,844108.0,844108.0
2016-10-01,250.663,2864.0,2864.0,73149.337,835783.0,835783.0
2016-11-01,40.723,468.0,468.0,70227.277,807386.0,807386.0
2016-12-01,121.494,1401.0,1401.0,75874.506,875142.0,875142.0
2017-01-01,19.439,225.0,225.0,76413.561,883024.0,883024.0
2017-02-01,305.096,3566.0,3566.0,49339.904,576668.0,576668.0
2017-03-01,3.481,40.0,40.0,76417.519,873156.0,873156.0
2017-04-01,625.112,7457.0,7457.0,52391.888,624969.0,624969.0
2017-05-01,0.0,0.0,0.0,75105.0,863692.0,863692.0
2017-06-01,5.043,58.0,58.0,73260.957,838902.0,838902.0
2017-07-01,10.408,121.0,121.0,75148.592,871032.0,871032.0
2017-08-01,173.654,1985.0,1985.0,65247.346,745963.0,745963.0
2017-09-01,0.0,0.0,0.0,73968.0,835898.0,835898.0
2017-10-01,174.433,2028.0,2028.0,63410.567,737064.0,737064.0
2017-11-01,151.657,1747.0,1747.0,51365.343,591656.0,591656.0
2017-12-01,194.602,2261.0,2261.0,38712.398,449779.0,449779.0
2018-01-01,97.471,1133.0,1133.0,75656.529,879540.0,879540.0
2018-02-01,5.848,69.0,69.0,68533.152,807476.0,807476.0
2018-03-01,3.332,38.0,38.0,76045.668,878232.0,878232.0
2018-04-01,324.936,3746.0,3746.0,69893.064,805774.0,805774.0
2018-05-01,581.789,6805.0,6805.0,48039.211,561904.0,561904.0
2018-06-01,25.351,289.0,289.0,72918.649,831611.0,831611.0
2018-07-01,104.537,1202.0,1202.0,74153.463,852665.0,852665.0
2018-08-01,11.649,133.0,133.0,75808.351,864520.0,864520.0
2018-09-01,404.602,4650.0,4650.0,63128.398,725512.0,725512.0
2018-10-01,76.17,869.0,869.0,75551.83,861682.0,861682.0
2018-11-01,0.0,0.0,0.0,74214.0,843418.0,843418.0
2018-12-01,0.09,1.0,1.0,76436.91,874413.0,874413.0
2019-01-01,0.094,1.0,1.0,76298.906,872746.0,872746.0
2019-02-01,11.139,128.0,128.0,68827.861,792525.0,792525.0
2019-03-01,0.0,0.0,0.0,76167.0,874690.0,874690.0
2019-04-01,218.68,2516.0,2516.0,66897.32,769802.0,769802.0
2019-05-01,13.331,153.0,153.0,24140.669,276892.0,276892.0
2019-06-01,253.112,2910.0,2910.0,36371.888,418220.0,418220.0
2019-07-01,0.092,1.0,1.0,76119.908,872943.0,872943.0
2019-08-01,215.733,2516.0,2516.0,62422.267,728131.0,728131.0
2019-09-01,354.654,4098.0,4098.0,50176.346,579798.0,579798.0
2019-10-01,34.455,391.0,391.0,75413.545,856114.0,856114.0
2019-11-01,0.0,0.0,0.0,73779.0,836807.0,836807.0
2019-12-01,102.104,1158.0,1158.0,74515.896,844936.0,844936.0
2020-01-01,195.444,2234.0,2234.0,68098.556,778448.0,778448.0
2020-02-01,0.0,0.0,0.0,71154.0,808668.0,808668.0
2020-03-01,0.0,0.0,0.0,67446.0,765165.0,765165.0
2020-04-01,220.556,2544.0,2544.0,62880.444,725311.0,725311.0
2020-05-01,0.0,0.0,0.0,75534.0,862928.0,862928.0
2020-06-01,139.485,1602.0,1602.0,69941.515,803113.0,803113.0
2020-07-01,85.169,982.0,982.0,71985.831,829626.0,829626.0
2020-08-01,235.979,2746.0,2746.0,66333.021,771785.0,771785.0
2020-09-01,0.0,0.0,0.0,73013.0,834382.0,834382.0
2020-10-01,195.094,2240.0,2240.0,70183.906,805799.0,805799.0
2020-11-01,45.028,517.0,517.0,70350.972,807447.0,807447.0
2020-12-01,18.085,207.0,207.0,74956.915,855936.0,855936.0
2021-01-01,0.0,0.0,0.0,73758.0,847873.0,847873.0
2021-02-01,112.08,1304.0,1304.0,64885.92,755110.0,755110.0
2021-03-01,110.849,1278.0,1278.0,71171.151,820779.0,820779.0
2021-04-01,605.453,7145.0,7145.0,39222.547,462886.0,462886.0
2021-05-01,0.0,0.0,0.0,75651.0,856682.0,856682.0
2021-06-01,285.127,3300.0,3300.0,68821.873,796478.0,796478.0
2021-07-01,7.368,85.0,85.0,74828.632,861195.0,861195.0
2021-08-01,0.0,0.0,0.0,75310.0,859903.0,859903.0
2021-09-01,0.0,0.0,0.0,73406.0,834989.0,834989.0
2021-10-01,66.97,758.0,758.0,73182.03,827829.0,827829.0
2021-11-01,194.818,2245.0,2245.0,64655.182,745012.0,745012.0
2021-12-01,0.0,0.0,0.0,75628.0,850221.0,850221.0
2022-01-01,374.565,4363.0,4363.0,57155.435,665798.0,665798.0
2022-02-01,162.82,1882.0,1882.0,64418.18,744645.0,744645.0
2022-03-01,401.837,4677.0,4677.0,50958.163,593100.0,593100.0
2022-04-01,110.923,1263.0,1263.0,71883.077,818219.0,818219.0
2022-05-01,45.219,524.0,524.0,60778.781,703830.0,703830.0
