measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed
2001-01-01,131.69,1358.0,1358.0,,,
2001-02-01,112.82,1164.0,1164.0,,,
2001-03-01,122.533,1264.0,1264.0,,,
2001-04-01,107.426,1108.0,1108.0,,,
2001-05-01,105.351,1087.0,1087.0,,,
2001-06-01,106.486,1098.0,1098.0,,,
2001-07-01,111.95200000000001,1155.0,1155.0,,,
2001-08-01,111.28800000000001,1148.0,1148.0,,,
2001-09-01,131.454,1356.0,1356.0,,,
2001-10-01,126.21900000000001,1302.0,1302.0,,,
2001-11-01,130.72400000000002,1348.0,1348.0,,,
2001-12-01,148.05700000000002,1527.0,1527.0,,,
2009-01-01,,,,190.187,1953.0,1953.0
2009-02-01,,,,139.586,1431.0,1431.0
2009-03-01,,,,144.983,1487.0,1487.0
2009-04-01,,,,148.967,1526.0,1526.0
2009-05-01,,,,89.309,915.0,915.0
2009-06-01,,,,87.702,898.0,898.0
2009-07-01,,,,98.875,1016.0,1016.0
2009-08-01,,,,98.363,1010.0,1010.0
2009-09-01,,,,65.523,673.0,673.0
2009-10-01,,,,64.921,668.0,668.0
2009-11-01,,,,123.406,1268.0,1268.0
2009-12-01,,,,125.17800000000001,1285.0,1285.0
2010-01-01,,,,180.614,1863.0,1863.0
2010-02-01,,,,143.5,1475.0,1475.0
2010-03-01,,,,127.01400000000001,1307.0,1307.0
2010-04-01,,,,112.45100000000001,1156.0,1156.0
2010-05-01,,,,93.50800000000001,965.0,965.0
2010-06-01,,,,73.402,757.0,757.0
2010-07-01,,,,84.215,870.0,870.0
2010-08-01,,,,85.86,886.0,886.0
2010-09-01,,,,78.617,808.0,808.0
2010-10-01,,,,94.238,971.0,971.0
2010-11-01,,,,107.337,1105.0,1105.0
2010-12-01,,,,195.244,2008.0,2008.0
2011-01-01,,,,162.4,1599.0,1599.0
2011-02-01,,,,145.029,1431.0,1431.0
2011-03-01,,,,126.972,1251.0,1251.0
2011-04-01,,,,82.266,808.0,808.0
2011-05-01,,,,86.222,847.0,847.0
2011-06-01,,,,80.107,791.0,791.0
2011-07-01,,,,84.653,836.0,836.0
2011-08-01,,,,76.406,752.0,752.0
2011-09-01,,,,84.675,836.0,836.0
2011-10-01,,,,149.696,1475.0,1475.0
2011-11-01,,,,138.597,1363.0,1363.0
2011-12-01,,,,136.977,1352.0,1352.0
2012-01-01,,,,156.421,1520.0,1520.0
2012-02-01,,,,92.256,903.0,903.0
2012-03-01,,,,139.924,1369.0,1369.0
2012-04-01,,,,88.598,864.0,864.0
2012-05-01,,,,110.868,1083.0,1083.0
2012-06-01,,,,90.472,886.0,886.0
2012-07-01,,,,141.459,1380.0,1380.0
2012-08-01,,,,131.813,1290.0,1290.0
2012-09-01,,,,122.713,1201.0,1201.0
2012-10-01,,,,91.15,892.0,892.0
2012-11-01,,,,97.757,954.0,954.0
2012-12-01,,,,150.569,1470.0,1470.0
2013-01-01,,,,175.611,1812.0,1812.0
2013-02-01,,,,121.166,1257.0,1257.0
2013-03-01,,,,122.559,1268.0,1268.0
2013-04-01,,,,141.367,1464.0,1464.0
2013-05-01,,,,142.472,1475.0,1475.0
2013-06-01,,,,102.315,1060.0,1060.0
2013-07-01,,,,96.877,1004.0,1004.0
2013-08-01,,,,95.584,987.0,987.0
2013-09-01,,,,112.177,1161.0,1161.0
2013-10-01,,,,107.945,1116.0,1116.0
2013-11-01,,,,140.699,1459.0,1459.0
2013-12-01,,,,159.228,1649.0,1649.0
2014-01-01,,,,155.084,1442.0,1442.0
2014-02-01,,,,147.145,1374.0,1374.0
2014-03-01,,,,143.641,1341.0,1341.0
2014-04-01,,,,134.961,1257.0,1257.0
2014-05-01,,,,113.953,1060.0,1060.0
2014-06-01,,,,67.921,634.0,634.0
2014-07-01,,,,120.078,1122.0,1122.0
2014-08-01,,,,96.611,903.0,903.0
2014-09-01,,,,113.666,1060.0,1060.0
2014-10-01,,,,150.256,1403.0,1403.0
2014-11-01,,,,109.826,1027.0,1027.0
2014-12-01,,,,142.858,1330.0,1330.0
2015-01-01,,,,112.715,1935.0,1935.0
2015-02-01,,,,99.406,1705.0,1705.0
2015-03-01,,,,99.999,1717.0,1717.0
2015-04-01,,,,103.563,1778.0,1778.0
2015-05-01,,,,83.23,1431.0,1431.0
2015-06-01,,,,82.92,1425.0,1425.0
2015-07-01,,,,86.169,1481.0,1481.0
2015-08-01,,,,97.829,1677.0,1677.0
2015-09-01,,,,88.107,1515.0,1515.0
2015-10-01,,,,100.8,1733.0,1733.0
2015-11-01,,,,70.481,1212.0,1212.0
2015-12-01,0.0,0.0,0.0,67.781,1161.0,1161.0
2016-01-01,0.0,0.0,0.0,271.705,2715.0,2715.0
2016-02-01,0.0,0.0,0.0,301.525,3013.0,3013.0
2016-03-01,0.0,0.0,0.0,285.347,2850.0,2850.0
2016-04-01,0.0,0.0,0.0,233.683,2334.0,2334.0
2016-05-01,0.0,0.0,0.0,213.161,2132.0,2132.0
2016-06-01,0.0,0.0,0.0,214.416,2143.0,2143.0
2016-07-01,0.0,0.0,0.0,179.369,1795.0,1795.0
2016-08-01,0.0,0.0,0.0,235.078,2351.0,2351.0
2016-09-01,0.0,0.0,0.0,239.529,2395.0,2395.0
2016-10-01,0.0,0.0,0.0,275.06,2749.0,2749.0
2016-11-01,0.0,0.0,0.0,383.827,3837.0,3837.0
2016-12-01,0.0,0.0,0.0,518.3,5178.0,5178.0
2017-01-01,0.0,0.0,0.0,314.734,2917.0,2917.0
2017-02-01,0.0,0.0,0.0,254.13,2351.0,2351.0
2017-03-01,0.0,0.0,0.0,292.608,2710.0,2710.0
2017-04-01,0.0,0.0,0.0,269.781,2496.0,2496.0
2017-05-01,0.0,0.0,0.0,269.49,2496.0,2496.0
2017-06-01,0.0,0.0,0.0,284.243,2631.0,2631.0
2017-07-01,0.0,0.0,0.0,289.659,2682.0,2682.0
2017-08-01,0.0,0.0,0.0,299.2,2771.0,2771.0
2017-09-01,0.0,0.0,0.0,297.603,2755.0,2755.0
2017-10-01,0.0,0.0,0.0,303.745,2811.0,2811.0
2017-11-01,0.0,0.0,0.0,269.031,2491.0,2491.0
