measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2019-01-01,726.779,12809.0,12809.0,0.0,0.0,0.0
2019-02-01,649.45,11447.0,11447.0,0.0,0.0,0.0
2019-03-01,655.089,11547.0,11547.0,0.0,0.0,0.0
2019-04-01,715.811,12617.0,12617.0,0.0,0.0,0.0
2019-05-01,682.294,12026.0,12026.0,0.0,0.0,0.0
2019-06-01,746.174,13152.0,13152.0,0.0,0.0,0.0
2019-07-01,1000.205,17629.0,17629.0,0.0,0.0,0.0
2019-08-01,914.438,16118.0,16118.0,0.0,0.0,0.0
2019-09-01,736.395,12979.0,12979.0,0.0,0.0,0.0
2019-10-01,611.215,10774.0,10774.0,0.0,0.0,0.0
2019-11-01,769.604,13565.0,13565.0,0.0,0.0,0.0
2019-12-01,956.546,16860.0,16860.0,0.0,0.0,0.0
2020-01-01,376.125,4315.0,6981.0,1670.115,18222.0,18222.0
2020-02-01,352.452,4043.0,6541.0,1564.997,17076.0,17076.0
2020-03-01,319.423,3664.0,5929.0,1418.337,15476.0,15476.0
2020-04-01,,,,1452.033,15843.0,15843.0
2020-05-01,,,,1287.373,14047.0,14047.0
2020-06-01,,,,1721.16,18780.0,18780.0
2020-07-01,,,,2068.978,22575.0,22575.0
2020-08-01,,,,1843.355,20113.0,20113.0
2020-09-01,,,,1624.846,17729.0,17729.0
2020-10-01,,,,1326.324,14472.0,14472.0
2020-11-01,,,,1482.784,16179.0,16179.0
2020-12-01,,,,1672.698,18251.0,18251.0
2021-01-01,0.0,0.0,0.0,1180.279,12913.0,12913.0
2021-02-01,0.0,0.0,0.0,1087.408,11898.0,11898.0
2021-03-01,0.0,0.0,0.0,1213.697,13279.0,13279.0
2021-04-01,0.0,0.0,0.0,931.492,10192.0,10192.0
2021-05-01,0.0,0.0,0.0,1041.208,11392.0,11392.0
2021-06-01,0.0,0.0,0.0,1337.933,14638.0,14638.0
2021-07-01,0.0,0.0,0.0,1362.781,14910.0,14910.0
2021-08-01,0.0,0.0,0.0,1465.664,16036.0,16036.0
2021-09-01,0.0,0.0,0.0,1233.21,13492.0,13492.0
2021-10-01,0.0,0.0,0.0,1062.948,11630.0,11630.0
2021-11-01,0.0,0.0,0.0,1462.475,16001.0,16001.0
2021-12-01,0.0,0.0,0.0,1261.905,13807.0,13807.0
2022-01-01,0.0,0.0,0.0,348.007,3846.0,3846.0
2022-02-01,0.0,0.0,0.0,281.442,3109.0,3109.0
2022-03-01,0.0,0.0,0.0,360.921,3987.0,3987.0
2022-04-01,0.0,0.0,0.0,285.609,3155.0,3155.0
2022-05-01,0.0,0.0,0.0,301.287,3329.0,3329.0
2022-06-01,0.0,0.0,0.0,389.138,4299.0,4299.0
2022-07-01,0.0,0.0,0.0,461.803,5102.0,5102.0
2022-08-01,0.0,0.0,0.0,468.006,5170.0,5170.0
2022-09-01,0.0,0.0,0.0,413.808,4572.0,4572.0
2022-10-01,0.0,0.0,0.0,330.524,3652.0,3652.0
2022-11-01,0.0,0.0,0.0,364.108,4022.0,4022.0
2022-12-01,0.0,0.0,0.0,304.347,3363.0,3363.0
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0
