measured_on,Nuclear Generation,Nuclear Quantity Consumed For Electricity,Nuclear Total Fuel Consumed
2001-01-01,491137.0,5128453.0,5128453.0
2001-02-01,449547.0,4694170.0,4694170.0
2001-03-01,490652.0,5123388.0,5123388.0
2001-04-01,315658.0,3296101.0,3296101.0
2001-05-01,149753.0,1563721.0,1563721.0
2001-06-01,455358.0,4754848.0,4754848.0
2001-07-01,491576.0,5133037.0,5133037.0
2001-08-01,411345.0,4295264.0,4295264.0
2001-09-01,475870.0,4969035.0,4969035.0
2001-10-01,497586.0,5195793.0,5195793.0
2001-11-01,484169.0,5055693.0,5055693.0
2001-12-01,431382.0,4504491.0,4504491.0
2002-01-01,497784.0,5197861.0,5197861.0
2002-02-01,452918.0,4729370.0,4729370.0
2002-03-01,492733.0,5145118.0,5145118.0
2002-04-01,481927.0,5032282.0,5032282.0
2002-05-01,493183.0,5149817.0,5149817.0
2002-06-01,460816.0,4811841.0,4811841.0
2002-07-01,466456.0,4870734.0,4870734.0
2002-08-01,493256.0,5150579.0,5150579.0
2002-09-01,461774.0,4821844.0,4821844.0
2002-10-01,496480.0,5184244.0,5184244.0
2002-11-01,480311.0,5015407.0,5015407.0
2002-12-01,491128.0,5128359.0,5128359.0
2003-01-01,497165.0,5180956.47,5180956.47
2003-02-01,316163.0,3294734.62,3294734.62
2003-03-01,464668.0,4842305.23,4842305.23
2003-04-01,283436.0,2953686.56,2953686.56
2003-05-01,181530.0,1891724.13,1891724.13
2003-06-01,435051.0,4533666.47,4533666.47
2003-07-01,508524.0,5299328.6,5299328.6
2003-08-01,498276.0,5192534.2,5192534.2
2003-09-01,456319.0,4755300.3,4755300.3
2003-10-01,337364.0,3515670.24,3515670.24
2003-11-01,491003.0,5116742.26,5116742.26
2003-12-01,508456.0,5298619.98,5298619.98
2004-01-01,512970.0,5348738.19,5348738.19
2004-02-01,479839.0,5003281.25,5003281.25
2004-03-01,455553.0,4750051.13,4750051.13
2004-04-01,494514.0,5156297.48,5156297.48
2004-05-01,510344.0,5321356.89,5321356.89
2004-06-01,489062.0,5099449.47,5099449.47
2004-07-01,502238.0,5236835.63,5236835.63
2004-08-01,507669.0,5293464.66,5293464.66
2004-09-01,480302.0,5008108.95,5008108.95
2004-10-01,506741.0,5283788.41,5283788.41
2004-11-01,487798.0,5086269.75,5086269.75
2004-12-01,511570.0,5334140.39,5334140.39
2005-01-01,507583.0,5296628.61,5296628.61
2005-02-01,453958.0,4737051.73,4737051.73
2005-03-01,495507.0,5170615.55,5170615.55
2005-04-01,242596.0,2531489.26,2531489.26
2005-05-01,291667.0,3043545.15,3043545.15
2005-06-01,488551.0,5098029.69,5098029.69
2005-07-01,506701.0,5287424.94,5287424.94
2005-08-01,502668.0,5245340.58,5245340.58
2005-09-01,491688.0,5130764.28,5130764.28
2005-10-01,496574.0,5181749.69,5181749.69
2005-11-01,486613.0,5077806.66,5077806.66
2005-12-01,510951.0,5331773.69,5331773.69
2006-01-01,475558.0,4961972.0,4961972.0
2006-02-01,461696.0,4817336.0,4817336.0
2006-03-01,417109.0,4352115.0,4352115.0
2006-04-01,492887.0,5142783.0,5142783.0
2006-05-01,508402.0,5304666.0,5304666.0
2006-06-01,479200.0,4999973.0,4999973.0
2006-07-01,507333.0,5293513.0,5293513.0
2006-08-01,498435.0,5200671.0,5200671.0
2006-09-01,487899.0,5090738.0,5090738.0
2006-10-01,501301.0,5230575.0,5230575.0
2006-11-01,491784.0,5131274.0,5131274.0
2006-12-01,508054.0,5301035.0,5301035.0
2007-01-01,496378.0,5204523.0,5204523.0
2007-02-01,434146.0,4552021.0,4552021.0
2007-03-01,382851.0,4014193.0,4014193.0
2007-04-01,73456.0,770186.0,770186.0
2007-05-01,345315.0,3620628.0,3620628.0
2007-06-01,491401.0,5152339.0,5152339.0
2007-07-01,443982.0,4655151.0,4655151.0
2007-08-01,500238.0,5244995.0,5244995.0
2007-09-01,487024.0,5106447.0,5106447.0
2007-10-01,503198.0,5276031.0,5276031.0
2007-11-01,494987.0,5189939.0,5189939.0
2007-12-01,466813.0,4894534.0,4894534.0
2008-01-01,511679.0,5366489.0,5366489.0
2008-02-01,478576.0,5019305.0,5019305.0
2008-03-01,510487.0,5353988.0,5353988.0
2008-04-01,448398.0,4702798.0,4702798.0
2008-05-01,506841.0,5315748.0,5315748.0
2008-06-01,484157.0,5077839.0,5077839.0
2008-07-01,507534.0,5323017.0,5323017.0
2008-08-01,496811.0,5210554.0,5210554.0
2008-09-01,487785.0,5115889.0,5115889.0
2008-10-01,502739.0,5272727.0,5272727.0
2008-11-01,492357.0,5163840.0,5163840.0
2008-12-01,441275.0,4628092.0,4628092.0
2009-01-01,510067.0,5349583.0,5349583.0
2009-02-01,451656.0,4736968.0,4736968.0
2009-03-01,507752.0,5325303.0,5325303.0
2009-04-01,263007.0,2758417.0,2758417.0
2009-05-01,185075.0,1941067.0,1941067.0
2009-06-01,488015.0,5118301.0,5118301.0
2009-07-01,499073.0,5234278.0,5234278.0
2009-08-01,499942.0,5243392.0,5243392.0
2009-09-01,487629.0,5114253.0,5114253.0
2009-10-01,503203.0,5277593.0,5277593.0
2009-11-01,491784.0,5157831.0,5157831.0
2009-12-01,508818.0,5336483.0,5336483.0
2010-01-01,509476.0,5328609.0,5328609.0
2010-02-01,460217.0,4813410.0,4813410.0
2010-03-01,505149.0,5283353.0,5283353.0
2010-04-01,492103.0,5146905.0,5146905.0
2010-05-01,496145.0,5189181.0,5189181.0
2010-06-01,489418.0,5118823.0,5118823.0
2010-07-01,496441.0,5192276.0,5192276.0
2010-08-01,497437.0,5202694.0,5202694.0
2010-09-01,485461.0,5077437.0,5077437.0
2010-10-01,497636.0,5204775.0,5204775.0
2010-11-01,485472.0,5077552.0,5077552.0
2010-12-01,502858.0,5259392.0,5259392.0
2011-01-01,507453.0,5309988.0,5309988.0
2011-02-01,394924.0,4132485.0,4132485.0
2011-03-01,482848.0,5052521.0,5052521.0
2011-04-01,235351.0,2462713.0,2462713.0
2011-05-01,200811.0,2101286.0,2101286.0
2011-06-01,486064.0,5086174.0,5086174.0
2011-07-01,497546.0,5206321.0,5206321.0
2011-08-01,500808.0,5240455.0,5240455.0
2011-09-01,480965.0,5032818.0,5032818.0
2011-10-01,502863.0,5261958.0,5261958.0
2011-11-01,354234.0,3706705.0,3706705.0
2011-12-01,441353.0,4618318.0,4618318.0
2012-01-01,506958.0,5312207.0,5312207.0
2012-02-01,468256.0,4906664.0,4906664.0
2012-03-01,504978.0,5291459.0,5291459.0
2012-04-01,489186.0,5125981.0,5125981.0
2012-05-01,442317.0,4634860.0,4634860.0
2012-06-01,477496.0,5003486.0,5003486.0
2012-07-01,491625.0,5151538.0,5151538.0
2012-08-01,497598.0,5214127.0,5214127.0
2012-09-01,485638.0,5088803.0,5088803.0
2012-10-01,505011.0,5291805.0,5291805.0
2012-11-01,483192.0,5063172.0,5063172.0
2012-12-01,507285.0,5315633.0,5315633.0
2013-01-01,352154.0,3679565.0,3679565.0
2013-02-01,315145.0,3292868.0,3292868.0
2013-03-01,469668.0,4907438.0,4907438.0
2013-04-01,189221.0,1977121.0,1977121.0
2013-05-01,7788.0,81375.0,81375.0
2013-06-01,473949.0,4952169.0,4952169.0
2013-07-01,499580.0,5219981.0,5219981.0
2013-08-01,380750.0,3978357.0,3978357.0
2013-09-01,327986.0,3427040.0,3427040.0
2013-10-01,386722.0,4040757.0,4040757.0
2013-11-01,486474.0,5083040.0,5083040.0
2013-12-01,441206.0,4610046.0,4610046.0
2014-01-01,508677.0,5320309.0,5320309.0
2014-02-01,459371.0,4804612.0,4804612.0
2014-03-01,502304.0,5253653.0,5253653.0
2014-04-01,491227.0,5137798.0,5137798.0
2014-05-01,413473.0,4324560.0,4324560.0
2014-06-01,482972.0,5051458.0,5051458.0
2014-07-01,506160.0,5293984.0,5293984.0
2014-08-01,426297.0,4458688.0,4458688.0
2014-09-01,486567.0,5089058.0,5089058.0
2014-10-01,499872.0,5228217.0,5228217.0
2014-11-01,492016.0,5146050.0,5146050.0
2014-12-01,500218.0,5231836.0,5231836.0
2015-01-01,429392.0,4490795.0,4490795.0
2015-02-01,252653.0,2642371.0,2642371.0
2015-03-01,505736.0,5289239.0,5289239.0
2015-04-01,302697.0,3165756.0,3165756.0
2015-05-01,107757.0,1126976.0,1126976.0
2015-06-01,475870.0,4976885.0,4976885.0
2015-07-01,503035.0,5260990.0,5260990.0
2015-08-01,442078.0,4623472.0,4623472.0
2015-09-01,485608.0,5078730.0,5078730.0
2015-10-01,497922.0,5207516.0,5207516.0
2015-11-01,490691.0,5131891.0,5131891.0
2015-12-01,501367.0,5243546.0,5243546.0
2016-01-01,508090.0,5313862.0,5313862.0
2016-02-01,402912.0,4213858.0,4213858.0
2016-03-01,498382.0,5212331.0,5212331.0
2016-04-01,489091.0,5115161.0,5115161.0
2016-05-01,495025.0,5177222.0,5177222.0
2016-06-01,471322.0,4929324.0,4929324.0
2016-07-01,501420.0,5244104.0,5244104.0
2016-08-01,397177.0,4153878.0,4153878.0
2016-09-01,297304.0,3109356.0,3109356.0
2016-10-01,490224.0,5127011.0,5127011.0
2016-11-01,488314.0,5107035.0,5107035.0
2016-12-01,375057.0,3922536.0,3922536.0
2017-01-01,505324.0,5285248.0,5285248.0
2017-02-01,344134.0,3599341.0,3599341.0
2017-03-01,496099.0,5188763.0,5188763.0
2017-04-01,134928.0,1411229.0,1411229.0
2017-05-01,126473.0,1322797.0,1322797.0
2017-06-01,482305.0,5044490.0,5044490.0
2017-07-01,501875.0,5249175.0,5249175.0
2017-08-01,494508.0,5172122.0,5172122.0
2017-09-01,476799.0,4986902.0,4986902.0
2017-10-01,490220.0,5127274.0,5127274.0
2017-11-01,488578.0,5110100.0,5110100.0
2017-12-01,505927.0,5291555.0,5291555.0
2018-01-01,393142.0,4110161.0,4110161.0
2018-02-01,455535.0,4762458.0,4762458.0
2018-03-01,82968.0,867401.0,867401.0
2018-04-01,114483.0,1196880.0,1196880.0
2018-05-01,443221.0,4633720.0,4633720.0
2018-06-01,436915.0,4567793.0,4567793.0
2018-07-01,491071.0,5133975.0,5133975.0
2018-08-01,390998.0,4087747.0,4087747.0
2018-09-01,308016.0,3220199.0,3220199.0
2018-10-01,372125.0,3890436.0,3890436.0
2018-11-01,448844.0,4692506.0,4692506.0
2018-12-01,504245.0,5271704.0,5271704.0
2019-01-01,450438.0,4703312.0,4703312.0
2019-02-01,455294.0,4754017.0,4754017.0
2019-03-01,492267.0,5140076.0,5140076.0
2019-04-01,476826.0,4978847.0,4978847.0
