measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,718.0,9200.0,9200.0,5020.0,78963.0,78963.0,1543.0,0.0,0.0,10435.0,133793.0,133793.0,,,,97938.0,1255719.0,1255719.0
2003-02-01,35.0,669.0,669.0,731.0,9395.0,9395.0,164463.0,1869328.0,1869328.0,80176.0,14796.0,14796.0,11285.0,145130.0,145130.0,,,,74264.0,955070.0,955070.0
2003-03-01,0.0,0.0,0.0,60.0,725.0,725.0,36959.0,529200.0,529200.0,17625.0,4396.0,4396.0,23023.0,277585.0,277585.0,,,,117094.0,1411776.0,1411776.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,266054.0,3011320.0,3011320.0,131153.0,8979.0,8979.0,2141.0,27903.0,27903.0,,,,85786.0,1118120.0,1118120.0
2003-05-01,12.0,166.0,166.0,0.0,0.0,0.0,391745.0,4367145.0,4367145.0,197856.0,25810.0,25810.0,2378.0,29560.0,29560.0,,,,43047.0,535112.0,535112.0
2003-06-01,27.0,571.0,571.0,256.0,2779.0,2779.0,407829.0,4490340.0,4490340.0,211716.0,26920.0,26920.0,54423.0,591944.0,591944.0,,,,79943.0,869512.0,869512.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,547258.0,6195895.0,6195895.0,295881.0,26228.0,26228.0,7901.0,84754.0,84754.0,,,,84587.0,907387.0,907387.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,486880.0,5481592.0,5481592.0,251413.0,7633.0,7633.0,31722.0,381651.0,381651.0,,,,95571.0,1149803.0,1149803.0
2003-09-01,23.0,407.0,407.0,481.0,5926.0,5926.0,553315.0,6212808.0,6212808.0,294407.0,1843.0,1843.0,35381.0,435546.0,435546.0,,,,86921.0,1070023.0,1070023.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,576959.0,5818058.0,5818058.0,241071.0,46282.0,46282.0,1465.0,19039.0,19039.0,,,,84264.0,1094960.0,1094960.0
