measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,1507.886,19860.0,19860.0,0.0,0.0,0.0
2003-02-01,1281.352,16876.0,16876.0,0.0,0.0,0.0
2003-03-01,1415.8990000000001,18648.0,18648.0,0.0,0.0,0.0
2003-04-01,1228.056,16174.0,16174.0,0.0,0.0,0.0
2003-05-01,1105.069,14554.0,14554.0,0.0,0.0,0.0
2003-06-01,1321.507,17405.0,17405.0,0.0,0.0,0.0
2003-07-01,1597.795,21044.0,21044.0,0.0,0.0,0.0
2003-08-01,1506.757,19845.0,19845.0,0.0,0.0,0.0
2003-09-01,1400.294,18443.0,18443.0,0.0,0.0,0.0
2003-10-01,1369.357,18035.0,18035.0,0.0,0.0,0.0
2003-11-01,1305.179,17190.0,17190.0,0.0,0.0,0.0
2003-12-01,1474.8480000000002,19425.0,19425.0,0.0,0.0,0.0
2004-01-01,1556.6670000000001,19911.0,19911.0,0.0,0.0,0.0
2004-02-01,1556.6670000000001,19911.0,19911.0,0.0,0.0,0.0
2004-03-01,1556.6670000000001,19911.0,19911.0,0.0,0.0,0.0
2004-04-01,1556.6670000000001,19911.0,19911.0,0.0,0.0,0.0
2004-05-01,1556.6670000000001,19911.0,19911.0,0.0,0.0,0.0
2004-06-01,1556.6670000000001,19911.0,19911.0,0.0,0.0,0.0
2004-07-01,1556.6670000000001,19911.0,19911.0,0.0,0.0,0.0
2004-08-01,1556.6670000000001,19911.0,19911.0,0.0,0.0,0.0
2004-09-01,1556.6670000000001,19911.0,19911.0,0.0,0.0,0.0
