measured_on,Natural Gas - Combined Cycle Single Shaft - Natural Gas - Generation,Natural Gas - Combined Cycle Single Shaft - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Single Shaft - Natural Gas - Total Fuel Consumed
2009-07-01,185793.0,1327232.0,1327232.0
2009-08-01,189366.0,1308414.0,1308414.0
2009-09-01,140798.0,973313.0,973313.0
2009-10-01,163938.0,1114445.0,1114445.0
2009-11-01,230720.0,1549455.0,1549455.0
2009-12-01,199720.0,1340744.0,1340744.0
2010-01-01,206174.0,1389136.0,1389136.0
2010-02-01,179340.0,1212433.0,1212433.0
2010-03-01,242287.0,1628307.0,1628307.0
2010-04-01,243511.0,1660719.0,1660719.0
2010-05-01,226138.0,1524353.0,1524353.0
2010-06-01,375568.0,2571253.0,2571253.0
2010-07-01,293910.0,2007653.0,2007653.0
2010-08-01,381490.0,2635055.0,2635055.0
2010-09-01,276014.0,1896069.0,1896069.0
2010-10-01,481909.0,3267447.0,3267447.0
2010-11-01,403637.0,2734136.0,2734136.0
2010-12-01,287410.0,1940687.0,1940687.0
2011-01-01,431863.0,2912819.0,2912819.0
2011-02-01,412113.0,2814521.0,2814521.0
2011-03-01,318980.0,2155396.0,2155396.0
2011-04-01,51022.0,343030.0,343030.0
2011-05-01,16868.0,116318.0,116318.0
2011-06-01,24637.0,188180.0,188180.0
2011-07-01,180206.0,1254102.0,1254102.0
2011-08-01,364140.0,2628795.0,2628795.0
2011-09-01,414796.0,2872149.0,2872149.0
2011-10-01,280389.0,1944048.0,1944048.0
2011-11-01,216780.0,1506263.0,1506263.0
2011-12-01,407572.0,2822066.0,2822066.0
2012-01-01,303924.0,2093608.0,2093608.0
2012-02-01,383886.0,2634618.0,2634618.0
2012-03-01,430204.0,2966266.0,2966266.0
2012-04-01,135387.0,952688.0,952688.0
2012-05-01,124655.0,886721.0,886721.0
2012-06-01,227839.0,1602525.0,1602525.0
2012-07-01,334249.0,2371766.0,2371766.0
2012-08-01,377547.0,2658228.0,2658228.0
2012-09-01,412117.0,2863696.0,2863696.0
2012-10-01,329642.0,2326158.0,2326158.0
2012-11-01,323259.0,2270925.0,2270925.0
2012-12-01,147351.0,1022000.0,1022000.0
2013-01-01,-703.0,155.0,155.0
2013-02-01,183070.0,1262799.0,1262799.0
2013-03-01,124166.0,861839.0,861839.0
2013-04-01,0.0,131.0,131.0
2013-05-01,52570.0,399293.0,399293.0
2013-06-01,130811.0,968947.0,968947.0
2013-07-01,311844.0,2222924.0,2222924.0
2013-08-01,299660.0,2073738.0,2073738.0
2013-09-01,439186.0,3042845.0,3042845.0
2013-10-01,30695.0,209118.0,209118.0
2013-11-01,75305.0,551777.0,551777.0
2013-12-01,0.0,139.0,139.0
2014-01-01,194013.0,1346265.0,1346265.0
2014-02-01,295219.0,2037937.0,2037937.0
2014-03-01,24986.0,176452.0,176452.0
2014-04-01,0.0,378.0,378.0
2014-05-01,0.0,0.0,0.0
2014-06-01,29289.0,215320.0,215320.0
2014-07-01,392425.0,2758627.0,2758627.0
2014-08-01,458706.0,3201627.0,3201627.0
2014-09-01,441125.0,3082822.0,3082822.0
2014-10-01,438671.0,3015481.0,3015481.0
2014-11-01,57858.0,415463.0,415463.0
2014-12-01,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0
2015-06-01,55816.0,401356.0,401356.0
2015-07-01,95392.0,683529.0,683529.0
2015-08-01,372840.0,2675617.0,2675617.0
2015-09-01,315855.0,2269057.0,2269057.0
2015-10-01,87262.0,642540.0,642540.0
2015-11-01,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0
2016-06-01,41764.0,288844.0,288844.0
2016-07-01,91284.0,643732.0,643732.0
2016-08-01,153563.0,1109285.0,1109285.0
2016-09-01,97257.0,693887.0,693887.0
2016-10-01,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0
2017-05-01,7133.0,55752.0,55752.0
2017-06-01,71295.0,506194.0,506194.0
2017-07-01,86446.0,609234.0,609234.0
2017-08-01,99346.0,693526.0,693526.0
2017-09-01,80416.0,546335.0,546335.0
2017-10-01,27016.0,195417.0,195417.0
2017-11-01,0.0,0.0,0.0
2017-12-01,9524.0,70353.0,70353.0
2018-01-01,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0
2018-05-01,6010.0,45984.0,45984.0
2018-06-01,0.0,25.0,25.0
2018-07-01,134747.0,973282.0,973282.0
2018-08-01,25704.0,194047.0,194047.0
2018-09-01,35041.0,254895.0,254895.0
2018-10-01,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0
2019-02-01,786.0,9277.0,9277.0
2019-03-01,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0
2019-06-01,9854.0,71906.0,71906.0
2019-07-01,38.0,2526.0,2526.0
2019-08-01,13980.0,104715.0,104715.0
2019-09-01,8467.0,62435.0,62435.0
2019-10-01,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0
