measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2003-01-01,3166.47,37203.0,37203.0,0.0,0.0,0.0
2003-02-01,2921.527,34325.0,34325.0,0.0,0.0,0.0
2003-03-01,3220.6310000000003,37839.0,37839.0,0.0,0.0,0.0
2003-04-01,3045.704,35784.0,35784.0,0.0,0.0,0.0
2003-05-01,3487.279,40972.0,40972.0,0.0,0.0,0.0
2003-06-01,3633.396,42689.0,42689.0,0.0,0.0,0.0
2003-07-01,4664.951,54809.0,54809.0,0.0,0.0,0.0
2003-08-01,4382.558,51491.0,51491.0,0.0,0.0,0.0
2003-09-01,4004.827,47053.0,47053.0,0.0,0.0,0.0
2003-10-01,3768.895,44281.0,44281.0,0.0,0.0,0.0
2003-11-01,3190.37,37484.0,37484.0,0.0,0.0,0.0
2003-12-01,3387.3920000000003,39799.0,39799.0,0.0,0.0,0.0
2004-01-01,4171.778,44830.64,44830.64,,,
2004-02-01,4171.778,44830.64,44830.64,,,
2004-03-01,4171.778,44830.64,44830.64,,,
2004-04-01,4171.778,44830.64,44830.64,,,
2004-05-01,4171.778,44830.64,44830.64,,,
2004-06-01,4171.778,44830.64,44830.64,,,
2004-07-01,4171.778,44830.64,44830.64,,,
2004-08-01,4171.778,44830.64,44830.64,,,
2004-09-01,4171.778,44830.64,44830.64,,,
2004-10-01,4171.778,44830.64,44830.64,,,
2004-11-01,4171.778,44830.64,44830.64,,,
2004-12-01,4171.778,44830.64,44830.64,,,
2005-01-01,4416.472000000001,51889.37,57239.39,0.0,0.0,0.0
2005-02-01,3766.6490000000003,44254.57,48817.41,0.0,0.0,0.0
2005-03-01,4207.93,49439.2,54536.59,0.0,0.0,0.0
2005-04-01,3885.184,45647.24,50353.66,0.0,0.0,0.0
2005-05-01,4256.842000000001,50013.87,55170.51,0.0,0.0,0.0
2005-06-01,4127.5740000000005,48495.09,53495.15,0.0,0.0,0.0
2005-07-01,4434.49,52101.06,57472.91,0.0,0.0,0.0
2005-08-01,4271.63,50187.62,55362.17,0.0,0.0,0.0
2005-09-01,4066.882,47782.01,52708.55,0.0,0.0,0.0
2005-10-01,3509.6820000000002,41235.46,45487.01,0.0,0.0,0.0
2005-11-01,3908.018,45915.51,50649.61,0.0,0.0,0.0
2005-12-01,4373.068,51379.41,56676.86,0.0,0.0,0.0
2006-01-01,5243.265,61603.42,71485.33,0.0,0.0,0.0
2006-02-01,4695.911,55172.52,64022.84,0.0,0.0,0.0
2006-03-01,4215.883,49532.64,57478.25,0.0,0.0,0.0
2006-04-01,3832.927,45033.27,52257.13,0.0,0.0,0.0
2006-05-01,4460.77,52409.83,60816.98,0.0,0.0,0.0
2006-06-01,3033.868,35645.08,41362.97,0.0,0.0,0.0
2006-07-01,4024.0510000000004,47278.79,54862.87,0.0,0.0,0.0
2006-08-01,3955.36,46471.74,53926.35,0.0,0.0,0.0
2006-09-01,3678.1490000000003,43214.77,50146.93,0.0,0.0,0.0
2006-10-01,4214.9,49521.09,57464.86,0.0,0.0,0.0
2006-11-01,4629.588000000001,54393.28,63118.61,0.0,0.0,0.0
2006-12-01,4747.969,55784.15,64732.58,0.0,0.0,0.0
2007-01-01,4071.8990000000003,47742.0,47742.0,,,
2007-02-01,3719.603,43611.0,43611.0,,,
2007-03-01,4016.974,47098.0,47098.0,,,
2007-04-01,3760.9460000000004,44096.0,44096.0,,,
2007-05-01,3738.487,43833.0,43833.0,,,
2007-06-01,3958.3970000000004,46411.0,46411.0,,,
2007-07-01,4043.679,47411.0,47411.0,,,
2007-08-01,4060.114,47604.0,47604.0,,,
2007-09-01,3913.664,45887.0,45887.0,,,
2007-10-01,3466.17,40640.0,40640.0,,,
2007-11-01,3988.326,46762.0,46762.0,,,
2007-12-01,4044.74,47424.0,47424.0,,,
2008-01-01,3673.318,47382.0,47382.0,,,
2008-02-01,3816.121,49224.0,49224.0,,,
2008-03-01,4126.722,53231.0,53231.0,,,
2008-04-01,3947.605,50920.0,50920.0,,,
2008-05-01,3539.703,45659.0,45659.0,,,
2008-06-01,3802.3320000000003,49047.0,49047.0,,,
2008-07-01,4001.317,51613.0,51613.0,,,
2008-08-01,4116.099,53094.0,53094.0,,,
2008-09-01,3740.896,48254.0,48254.0,,,
2008-10-01,3989.219,51457.0,51457.0,,,
2008-11-01,4124.801,53206.0,53206.0,,,
