measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,6137.42,100200.0,100200.0,176.559,3361.0,3361.0
2003-02-01,5618.656,91731.0,91731.0,161.635,3077.0,3077.0
2003-03-01,6434.125,105044.0,105044.0,185.09400000000002,3523.0,3523.0
2003-04-01,6199.59,101215.0,101215.0,178.347,3395.0,3395.0
2003-05-01,6615.366,108003.0,108003.0,190.30800000000002,3623.0,3623.0
2003-06-01,6584.5740000000005,107501.0,107501.0,189.422,3606.0,3606.0
2003-07-01,6976.646000000001,113902.0,113902.0,200.70100000000002,3821.0,3821.0
2003-08-01,7054.238,115168.0,115168.0,202.93300000000002,3863.0,3863.0
2003-09-01,6869.716,112156.0,112156.0,197.625,3762.0,3762.0
2003-10-01,7109.29,116067.0,116067.0,204.517,3893.0,3893.0
2003-11-01,6496.362,106060.0,106060.0,186.88400000000001,3558.0,3558.0
2003-12-01,6569.018,107247.0,107247.0,188.975,3597.0,3597.0
2004-01-01,6288.92467,78522.86,102680.35,1520.24833,18981.66,24821.35
2004-02-01,6288.5481,78515.76,102680.35,137.0529,1711.18,2237.82
2004-03-01,6288.53034,78515.43,102680.35,88.83265999999999,1109.12,1450.48
2004-04-01,6288.59659,78516.67,102680.35,288.99141,3608.22,4718.66
2004-05-01,6288.51273,78515.11,102680.35,41.353269999999995,516.32,675.23
2004-06-01,6288.51385,78515.12,102680.35,39.00215,486.96,636.84
2004-07-01,6288.602800000001,78516.8,102680.35,309.8322,3868.43,5058.94
2004-08-01,6288.53507,78515.53,102680.35,106.13193,1325.11,1732.94
2004-09-01,6288.53548,78515.53,102680.35,105.13252,1312.63,1716.62
2004-10-01,6288.52602,78515.35,102680.35,78.91398,985.28,1288.52
2004-11-01,6288.53239,78515.47,102680.35,96.96461,1210.65,1583.26
2004-12-01,6288.51781,78515.2,102680.35,54.66919,682.57,892.65
