measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2019-09-01,2508.941,457359.0,497646.0
2019-10-01,1945.45,354639.0,385878.0
2019-11-01,1764.634,321678.0,350014.0
2019-12-01,1961.975,357652.0,389156.0
2020-01-01,45912.928,491253.0,491253.0
2020-02-01,43682.291,467386.0,467386.0
2020-03-01,42566.694,455449.0,455449.0
2020-04-01,37901.503,405534.0,405534.0
2020-05-01,45375.031,485498.0,485498.0
2020-06-01,53668.36,574234.0,574234.0
2020-07-01,65295.966,698645.0,698645.0
2020-08-01,63197.921,676196.0,676196.0
2020-09-01,52149.708,557984.0,557984.0
2020-10-01,45097.277,482526.0,482526.0
2020-11-01,35323.629,377951.0,377951.0
2020-12-01,38821.692,415379.0,415379.0
2021-01-01,52274.778,606672.0,624674.0
2021-02-01,50834.889,589961.0,607467.0
2021-03-01,39618.464,459790.0,473433.0
2021-04-01,45131.381,523770.0,539311.0
2021-05-01,51657.657,599510.0,617300.0
2021-06-01,70316.116,816050.0,840264.0
2021-07-01,77463.54,898999.0,925675.0
2021-08-01,78996.272,916787.0,943990.0
2021-09-01,66753.202,774700.0,797689.0
2021-10-01,56484.86,655532.0,674983.0
2021-11-01,46459.956,539188.0,555188.0
2021-12-01,48753.505,565806.0,582595.0
2022-01-01,26790.988,310921.0,323406.0
2022-02-01,23851.979,276813.0,287928.0
2022-03-01,18993.596,220429.0,229281.0
2022-04-01,19799.598,229783.0,239010.0
2022-05-01,29249.318,339451.0,353082.0
2022-06-01,35604.669,413208.0,429800.0
2022-07-01,41956.249,486921.0,506473.0
2022-08-01,42174.639,489455.0,509109.0
2022-09-01,35550.689,412581.0,429148.0
2022-10-01,27475.964,318871.0,331674.0
2022-11-01,25752.549,298870.0,310871.0
2022-12-01,28578.962,331671.0,344990.0
2023-01-01,40688.583,472209.0,556503.0
2023-02-01,38376.065,445371.0,524875.0
2023-03-01,37874.225,439547.0,518012.0
2023-04-01,36578.011,424504.0,500283.0
2023-05-01,52222.218,606062.0,714251.0
2023-06-01,60325.997,700110.0,825088.0
2023-07-01,66159.321,767808.0,904872.0
2023-08-01,72819.38,845101.0,995962.0
2023-09-01,61345.669,711944.0,839034.0
2023-10-01,45281.988,525517.0,619329.0
2023-11-01,41983.217,487234.0,574211.0
2023-12-01,44610.826,517728.0,610149.0
2024-01-01,48028.481,496868.0,496868.0
2024-02-01,33159.766,343048.0,343048.0
2024-03-01,37630.16,389296.0,389296.0
2024-04-01,35354.433,365752.0,365752.0
2024-05-01,47237.423,488685.0,488685.0
2024-06-01,53292.236,551324.0,551324.0
2024-07-01,57604.676,595938.0,595938.0
2024-08-01,65089.412,673370.0,673370.0
2024-09-01,54006.554,558715.0,558715.0
2024-10-01,46781.562,483970.0,483970.0
2024-11-01,37478.206,387724.0,387724.0
2024-12-01,40204.851,415931.0,415931.0
