measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-01-01,0.0,0.0,0.0,2700.225,31800.0,31800.0,9960.775,117306.0,117306.0
2008-02-01,0.0,0.0,0.0,2500.473,28920.0,28920.0,9245.527,106932.0,106932.0
2008-03-01,0.0,0.0,0.0,2700.8340000000003,31056.0,31056.0,10081.166,115920.0,115920.0
2008-04-01,0.0,0.0,0.0,2523.589,29448.0,29448.0,9555.411,111503.0,111503.0
2008-05-01,0.0,0.0,0.0,2726.788,30984.0,30984.0,9753.212000000001,110824.0,110824.0
2008-06-01,0.0,0.0,0.0,2636.28,31512.0,31512.0,8903.72,106428.0,106428.0
2008-07-01,1.8920000000000001,22.0,22.0,2574.2870000000003,29928.0,29928.0,9014.821,104804.0,104804.0
2008-08-01,0.0,0.0,0.0,2657.387,30672.0,30672.0,9259.613000000001,106876.0,106876.0
2008-09-01,13.876000000000001,157.0,157.0,1402.1280000000002,15864.0,15864.0,5441.996,61572.0,61572.0
2008-10-01,0.0,0.0,0.0,2422.013,25056.0,25056.0,10393.987,107527.0,107527.0
2008-11-01,0.0,0.0,0.0,2606.105,30384.0,30384.0,9904.895,115479.0,115479.0
2008-12-01,0.17200000000000001,2.0,2.0,2696.3320000000003,31416.0,31416.0,10151.497,118279.0,118279.0
2009-01-01,20.136,227.0,227.0,2590.944,29208.0,29208.0,9643.92,108717.0,108717.0
2009-02-01,2.519,29.0,29.0,2543.665,29280.0,29280.0,8916.816,102641.0,102641.0
2009-03-01,3.689,44.0,44.0,2667.808,31824.0,31824.0,9676.503,115430.0,115430.0
2009-04-01,2.572,29.0,29.0,2626.521,29616.0,29616.0,9087.907000000001,102473.0,102473.0
2009-05-01,1.989,22.0,22.0,2541.231,28104.0,28104.0,8603.78,95151.0,95151.0
2009-06-01,27.658,302.0,302.0,2088.101,22800.0,22800.0,7219.241,78827.0,78827.0
2009-07-01,0.184,2.0,2.0,2848.5530000000003,30984.0,30984.0,9812.263,106729.0,106729.0
2009-08-01,0.091,1.0,1.0,2867.2470000000003,31608.0,31608.0,9688.662,106806.0,106806.0
2009-09-01,0.27,3.0,3.0,2662.9120000000003,29544.0,29544.0,9532.818000000001,105763.0,105763.0
2009-10-01,1.677,18.0,18.0,2691.9410000000003,28896.0,28896.0,10157.382,109032.0,109032.0
2009-11-01,24.212,267.0,267.0,2415.755,26640.0,26640.0,9512.033000000001,104895.0,104895.0
2009-12-01,10.348,115.0,115.0,2816.212,31296.0,31296.0,10187.44,113211.0,113211.0
2010-01-01,9.557,123.0,123.0,2762.0,35548.0,35548.0,9553.443000000001,122956.0,122956.0
2010-02-01,4.639,63.0,63.0,2492.7070000000003,33855.0,33855.0,9117.654,123833.0,123833.0
2010-03-01,3.119,41.0,41.0,2687.146,35326.0,35326.0,9735.735,127988.0,127988.0
2010-04-01,1.5370000000000001,19.0,19.0,2646.1710000000003,32717.0,32717.0,9722.292000000001,120206.0,120206.0
2010-05-01,36.334,440.0,440.0,1608.634,19481.0,19481.0,7307.032,88488.0,88488.0
2010-06-01,20.212,266.0,266.0,2726.4280000000003,35881.0,35881.0,9088.36,119606.0,119606.0
2010-07-01,1.5770000000000002,20.0,20.0,2914.348,36963.0,36963.0,9434.075,119653.0,119653.0
2010-08-01,2.427,31.0,31.0,2963.3810000000003,37851.0,37851.0,9456.192000000001,120783.0,120783.0
2010-09-01,0.08,1.0,1.0,2527.677,31635.0,31635.0,8092.243,101278.0,101278.0
2010-10-01,70.611,917.0,917.0,2705.2070000000003,35132.0,35132.0,8891.182,115466.0,115466.0
2010-11-01,2.8080000000000003,36.0,36.0,2857.248,36630.0,36630.0,9622.944000000001,123366.0,123366.0
2010-12-01,6.972,93.0,93.0,2758.498,36797.0,36797.0,9766.53,130279.0,130279.0
2011-01-01,20.7,272.0,272.0,2880.587,37851.0,37851.0,9843.713,129347.0,129347.0
2011-02-01,11.371,148.0,148.0,2626.591,34188.0,34188.0,8976.038,116833.0,116833.0
2011-03-01,9.838,131.0,131.0,2840.584,37823.0,37823.0,9958.578,132602.0,132602.0
2011-04-01,15.709,214.0,214.0,2688.958,36630.0,36630.0,9253.333,126052.0,126052.0
2011-05-01,67.764,906.0,906.0,1880.46,25142.0,25142.0,6584.776,88038.0,88038.0
2011-06-01,0.082,1.0,1.0,2718.961,33356.0,33356.0,9229.957,113231.0,113231.0
2011-07-01,0.081,1.0,1.0,2935.068,36242.0,36242.0,9335.851,115277.0,115277.0
2011-08-01,0.084,1.0,1.0,2858.413,33855.0,33855.0,9525.503,112820.0,112820.0
2011-09-01,0.444,5.0,5.0,2955.262,33245.0,33245.0,9099.294,102360.0,102360.0
2011-10-01,18.724,221.0,221.0,2811.909,33189.0,33189.0,9508.367,112227.0,112227.0
2011-11-01,3.478,41.0,41.0,2935.172,34604.0,34604.0,9537.35,112441.0,112441.0
2011-12-01,7.044,85.0,85.0,2950.442,35603.0,35603.0,9997.514,120641.0,120641.0
