measured_on,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2004-01-01,,,,2419.595,11570.1,264012.12
2004-02-01,,,,1948.641,9318.07,212624.28
2004-03-01,,,,2121.911,10146.62,231530.58
2004-04-01,,,,2404.886,11499.76,262407.06
2004-05-01,,,,1910.0140000000001,9133.36,208409.58
2004-06-01,,,,1892.133,9047.86,206458.56
2004-07-01,,,,2282.0820000000003,10912.53,249007.32
2004-08-01,,,,1786.9160000000002,8544.73,194977.8
2004-09-01,,,,1430.491,6840.37,156086.82
2004-10-01,,,,1769.789,8462.83,193108.86
2004-11-01,,,,2197.1820000000002,10506.55,239743.62
2004-12-01,,,,598.38,2861.35,65291.76
2005-01-01,,,,1973.248,9435.74,212591.34
2005-02-01,,,,1775.862,8491.87,191325.6
2005-03-01,,,,1895.757,9065.19,204242.76
2005-04-01,,,,1867.056,8927.95,201150.54
2005-05-01,,,,1869.915,8941.62,201458.7
2005-06-01,,,,1936.208,9258.62,208600.74
2005-07-01,,,,2017.9360000000001,9649.43,217405.98
2005-08-01,,,,1992.853,9529.49,214703.64
2005-09-01,,,,1923.0420000000001,9195.67,207182.34
2005-10-01,,,,1962.745,9385.51,211459.86
2005-11-01,,,,1901.7930000000001,9094.05,204892.92
2005-12-01,,,,1936.605,9260.52,208643.58
2006-01-01,,,,1718.333,8216.78,174732.84
2006-02-01,,,,1488.566,7118.07,151368.48
2006-03-01,,,,1581.72,7563.52,160840.98
2006-04-01,,,,1581.1660000000002,7560.87,160784.64
2006-05-01,,,,1570.544,7510.07,159704.46
2006-06-01,,,,1611.6760000000002,7706.77,163887.12
2006-07-01,,,,1754.352,8389.01,178395.48
2006-08-01,,,,1720.185,8225.64,174921.12
2006-09-01,,,,1656.2040000000002,7919.69,168415.02
2006-10-01,,,,1579.238,7551.65,160588.62
2006-11-01,,,,1570.665,7510.65,159716.88
2006-12-01,,,,1683.7520000000002,8051.42,171216.36
2007-01-01,1743.912,8089.0,16560.0,,,
2007-02-01,1559.12,7232.0,14805.0,,,
2007-03-01,1505.198,6982.0,14292.0,,,
2007-04-01,1682.362,7803.0,15975.0,,,
2007-05-01,1589.922,7375.0,15098.0,,,
2007-06-01,1748.32,8109.0,16601.0,,,
2007-07-01,1486.335,6894.0,14113.0,,,
2007-08-01,1564.2920000000001,7256.0,14853.0,,,
2007-09-01,1185.594,5500.0,11257.0,,,
2007-10-01,1841.6380000000001,8543.0,17488.0,,,
2007-11-01,1118.684,5188.0,10623.0,,,
2007-12-01,1545.623,7169.0,14676.0,,,
2008-01-01,808.566,3750.0,8876.0,,,
2008-02-01,1325.535,6148.0,14549.0,,,
2008-03-01,732.2230000000001,3396.0,8038.0,,,
2008-04-01,1054.361,4891.0,11572.0,,,
2008-05-01,1386.297,6430.0,15215.0,,,
2008-06-01,1291.174,5989.0,14171.0,,,
2008-07-01,1495.7160000000001,6938.0,16417.0,,,
2008-08-01,1421.729,6595.0,15604.0,,,
2008-09-01,751.221,3484.0,8245.0,,,
2008-10-01,541.302,2511.0,5942.0,,,
2008-11-01,815.455,3782.0,8951.0,,,
2008-12-01,1067.421,4951.0,11716.0,,,
2009-01-01,741.316,3439.0,8167.0,,,
2009-02-01,795.041,3688.0,8758.0,,,
2009-03-01,388.64300000000003,1803.0,4281.0,,,
2009-04-01,0.0,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,,,
2009-06-01,0.0,0.0,0.0,,,
2009-07-01,0.0,0.0,0.0,,,
2009-08-01,0.0,0.0,0.0,,,
2009-09-01,0.0,0.0,0.0,,,
2009-10-01,0.0,0.0,0.0,,,
2009-11-01,0.0,0.0,0.0,,,
2009-12-01,0.0,0.0,0.0,,,
