measured_on,Municiapl Landfill Gas - Combined Cycle Combustion Turbine Part - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combined Cycle Combustion Turbine Part - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combined Cycle Combustion Turbine Part - Municipal Landfill Gas - Total Fuel Consumed,Municiapl Landfill Gas - Combined Cycle Steam Part - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combined Cycle Steam Part - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combined Cycle Steam Part - Municipal Landfill Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,5538.313,84562.0,84562.0,,,,0.0,0.0,0.0
2003-02-01,4395.839,67118.0,67118.0,,,,0.0,0.0,0.0
2003-03-01,4999.91,76341.0,76341.0,,,,0.0,0.0,0.0
2003-04-01,4919.225,75110.0,75110.0,,,,0.0,0.0,0.0
2003-05-01,5957.159000000001,90957.0,90957.0,,,,0.0,0.0,0.0
2003-06-01,6007.126,91720.0,91720.0,,,,0.0,0.0,0.0
2003-07-01,6466.657,98737.0,98737.0,,,,0.0,0.0,0.0
2003-08-01,6316.393,96442.0,96442.0,,,,0.0,0.0,0.0
2003-09-01,6066.501,92627.0,92627.0,,,,0.0,0.0,0.0
2003-10-01,5162.603,78826.0,78826.0,,,,0.0,0.0,0.0
2003-11-01,4967.374,75845.0,75845.0,,,,0.0,0.0,0.0
2003-12-01,5040.899,76967.0,76967.0,,,,0.0,0.0,0.0
2004-01-01,4426.3330000000005,88751.0,88751.0,,,,729.889,0.0,0.0
2004-02-01,4426.3330000000005,88751.0,88751.0,,,,682.805,0.0,0.0
2004-03-01,4426.3330000000005,88751.0,88751.0,,,,1249.217,0.0,0.0
2004-04-01,4426.3330000000005,88751.0,88751.0,,,,1202.931,0.0,0.0
2004-05-01,4426.3330000000005,88751.0,88751.0,,,,1553.448,0.0,0.0
2004-06-01,4426.3330000000005,88751.0,88751.0,,,,2007.833,0.0,0.0
2004-07-01,4426.3330000000005,88751.0,88751.0,,,,2216.061,0.0,0.0
2004-08-01,4426.3330000000005,88751.0,88751.0,,,,2048.155,0.0,0.0
2004-09-01,4426.3330000000005,88751.0,88751.0,,,,1988.2330000000002,0.0,0.0
2004-10-01,4426.3330000000005,88751.0,88751.0,,,,2085.81,0.0,0.0
2004-11-01,4426.3330000000005,88751.0,88751.0,,,,1358.6470000000002,0.0,0.0
2004-12-01,4426.3330000000005,88751.0,88751.0,,,,1002.969,0.0,0.0
2005-01-01,3951.9480000000003,77412.15,77412.15,1386.5510000000002,0.0,0.0,,,
2005-02-01,3370.474,66022.02,66022.02,1182.539,0.0,0.0,,,
2005-03-01,3765.34,73756.81,73756.81,1321.079,0.0,0.0,,,
2005-04-01,3476.541,68099.7,68099.7,1219.7530000000002,0.0,0.0,,,
2005-05-01,3809.107,74614.14,74614.14,1336.435,0.0,0.0,,,
2005-06-01,3693.436,72348.32,72348.32,1295.851,0.0,0.0,,,
2005-07-01,3968.07,77727.96,77727.96,1392.207,0.0,0.0,,,
2005-08-01,3822.34,74873.34,74873.34,1341.078,0.0,0.0,,,
2005-09-01,3639.128,71284.51,71284.51,1276.797,0.0,0.0,,,
2005-10-01,3140.534,61517.89,61517.89,1101.864,0.0,0.0,,,
2005-11-01,3496.973,68499.94,68499.94,1226.922,0.0,0.0,,,
2005-12-01,3913.1090000000004,76651.36,76651.36,1372.924,0.0,0.0,,,
2006-01-01,4086.5750000000003,88341.0,88341.0,1381.8870000000002,0.0,0.0,,,
2006-02-01,3776.617,81641.0,81641.0,1277.074,0.0,0.0,,,
