measured_on,Natural Gas-Other Generation,Natural Gas-Other Quantity Consumed For Electricity,Natural Gas-Other Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste heat not directly attributed to a fuel source-Other Generation,Waste heat not directly attributed to a fuel source-Other Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source-Other Total Fuel Consumed,"Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,,,,23.832069999999998,155.02,868.89,14369.61593,93468.84,523899.65,,,,,,
2004-02-01,,,,26.26248,170.83,957.5,14695.13952,95586.25,535767.9,,,,,,
2004-03-01,,,,37.88708,246.44,1381.32,15182.16292,98754.15,553524.41,,,,,,
2004-04-01,,,,43.25971,281.39,1577.2,16694.62029,108592.1,608666.91,,,,,,
2004-05-01,,,,44.2976,288.14,1615.04,17461.1754,113578.24,636614.6,,,,,,
2004-06-01,,,,55.411469999999994,360.43,2020.24,16844.87053,109569.42,614145.05,,,,,,
2004-07-01,,,,60.18479,391.48,2194.27,19064.78721,124009.13,695080.72,,,,,,
2004-08-01,,,,56.33277,366.42,2053.83,14748.34423,95932.32,537708.21,,,,,,
2004-09-01,,,,80.44503999999999,523.26,2932.94,13029.04096,84748.92,475024.87,,,,,,
2004-10-01,,,,61.28848,398.66,2234.51,13672.37952,88933.58,498479.83,,,,,,
2004-11-01,,,,30.98836,201.57,1129.8,17536.39364,114067.51,639356.68,,,,,,
2004-12-01,,,,28.37335,184.56,1034.46,14155.39465,92075.41,516089.47,,,,,,
2005-01-01,,,,0.0,0.0,0.0,20892.83,135899.84,621147.16,,,,,,
2005-02-01,,,,54.704100000000004,355.83,2191.0,9454.2059,61495.98,378658.37,,,,,,
2005-03-01,,,,16.2102,105.44,510.0,19128.679799999998,124424.72,601820.24,,,,,,
2005-04-01,,,,0.0,0.0,0.0,21581.53,140379.57,620037.19,,,,,,
2005-05-01,,,,46.98471,305.62,1391.0,20930.23529,136143.15,619647.44,,,,,,
2005-06-01,,,,0.0,0.0,0.0,20765.76,135073.3,608852.83,,,,,,
2005-07-01,,,,0.0,0.0,0.0,21530.12,140045.17,626603.77,,,,,,
2005-08-01,,,,0.0,0.0,0.0,22018.03,143218.84,627340.92,,,,,,
2005-09-01,,,,3.5791399999999998,23.28,101.0,20367.39086,132482.06,574749.05,,,,,,
2005-10-01,,,,82.70313,537.95,2700.0,13633.09687,88678.06,445078.22,,,,,,
2005-11-01,,,,0.0,0.0,0.0,21583.47,140392.19,612407.51,,,,,,
2005-12-01,,,,0.0,0.0,0.0,22340.07,145313.58,640032.75,,,,,,
2006-01-01,,,,0.0,0.0,0.0,22171.29,144215.73,634102.37,,,,,,
2006-02-01,,,,0.0,0.0,0.0,20415.59,132795.58,571876.36,,,,,,
2006-03-01,,,,0.0,0.0,0.0,21514.6,139944.22,623559.29,,,,,,
2006-04-01,,,,0.0,0.0,0.0,21019.9,136726.38,610022.11,,,,,,
2006-05-01,,,,0.0,0.0,0.0,21133.39,137464.59,612301.35,,,,,,
2006-06-01,,,,0.0,0.0,0.0,20599.89,133994.38,592137.7,,,,,,
2006-07-01,,,,0.0,0.0,0.0,21559.22,140234.45,616593.66,,,,,,
2006-08-01,,,,0.0,0.0,0.0,21902.6,142468.01,619779.89,,,,,,
2006-09-01,,,,0.0,0.0,0.0,20404.92,132726.17,586256.74,,,,,,
2006-10-01,,,,0.0,0.0,0.0,21931.7,142657.29,605683.93,,,,,,
2006-11-01,,,,0.0,0.0,0.0,20885.07,135849.37,596705.18,,,,,,
2006-12-01,,,,91.75366,596.82,2700.0,19099.69634,124236.2,562039.51,,,,,,
2007-01-01,,,,0.0,0.0,0.0,22651.44,147337.0,627271.0,,,,0.0,0.0,0.0
2007-02-01,,,,83.10300000000001,541.0,2700.0,14766.627,96053.0,479764.0,,,,0.0,0.0,0.0
2007-03-01,,,,0.0,0.0,0.0,17000.22,110577.0,531710.0,,,,0.0,0.0,0.0
2007-04-01,,,,0.0,0.0,0.0,23364.39,151973.0,614992.0,,,,0.0,0.0,0.0
2007-05-01,,,,0.0,0.0,0.0,23714.56,154252.0,639075.0,,,,0.0,0.0,0.0
2007-06-01,,,,0.0,0.0,0.0,22302.24,145066.0,588706.0,,,,0.0,0.0,0.0
2007-07-01,,,,260.158,1692.0,8100.0,14635.162,95197.0,455664.0,,,,0.0,0.0,0.0
2007-08-01,,,,0.0,0.0,0.0,22927.89,149134.0,631923.0,,,,0.0,0.0,0.0
2007-09-01,,,,0.0,0.0,0.0,20961.7,136347.0,592765.0,,,,0.0,0.0,0.0
2007-10-01,,,,0.0,0.0,0.0,21157.64,137626.0,606196.0,,,,0.0,0.0,0.0
2007-11-01,,,,0.0,0.0,0.0,20922.9,136092.0,600688.0,,,,0.0,0.0,0.0
2007-12-01,,,,0.0,0.0,0.0,22057.8,143473.0,633348.0,,,,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,,,,,,,18837.486,185625.0,185625.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,,,,,,,16399.849000000002,161604.0,161604.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,,,,,,,19227.169,189465.0,189465.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,,,,,,,20078.091,197850.0,197850.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,,,,,,,19077.631999999998,187991.0,187991.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,,,,,,,17854.986,175943.0,175943.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,,,,,,,19608.878,193226.0,193226.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,,,,,,,18616.467,183447.0,183447.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,,,,,,,19235.931,189551.0,189551.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,,,,,,,15182.123,149605.0,149605.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,,,,,,,12640.115,124556.0,124556.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,,,,,,,13735.153,135346.0,135346.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,,,,,,,11527.67,112510.0,112510.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,,,,,,,13389.289,130679.0,130679.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,,,,,,,17248.584000000003,168346.0,168346.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,,,,,,,17403.514,169858.0,169858.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,,,,,,,14735.587,143819.0,143819.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,,,,,,,15253.453000000001,148874.0,148874.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,,,,,,,16650.324,162507.0,162507.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,,,,,,,17660.847,172370.0,172370.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,,,,,,,16660.676,162608.0,162608.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,,,,,,,15497.976999999999,151260.0,151260.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,,,,,,,15764.48,153861.0,153861.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,,,,,,,16828.599000000002,164247.0,164247.0,0.0,0.0,0.0
2010-01-01,,,,0.0,0.0,0.0,,,,,,,8746.482,85331.0,85331.0
2010-02-01,,,,0.0,0.0,0.0,,,,,,,7893.732,77011.0,77011.0
2010-03-01,,,,0.0,0.0,0.0,,,,,,,8353.841,81500.0,81500.0
2010-04-01,,,,0.0,0.0,0.0,,,,,,,8003.092000000001,78078.0,78078.0
2010-05-01,,,,0.0,0.0,0.0,,,,,,,8265.067000000001,80634.0,80634.0
2010-06-01,,,,0.0,0.0,0.0,,,,,,,8000.744000000001,78055.0,78055.0
2010-07-01,,,,0.0,0.0,0.0,,,,,,,8677.451000000001,84657.0,84657.0
2010-08-01,,,,0.0,0.0,0.0,,,,,,,8638.846,84281.0,84281.0
2010-09-01,,,,0.0,0.0,0.0,,,,,,,8461.248,82548.0,82548.0
2010-10-01,,,,0.0,0.0,0.0,,,,,,,8595.573,83858.0,83858.0
