measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,3493.87815,16995.14,310672.65,37.29685,181.42,3316.4,,,
2004-02-01,3158.56886,15364.11,279511.71,18.424139999999998,89.62,1630.41,,,
2004-03-01,2878.40383,14001.31,254756.23,17.21417,83.73,1523.56,,,
2004-04-01,2580.90588,12554.21,227872.49,9.14312,44.47,807.26,,,
2004-05-01,2935.41288,14278.62,260350.61,23.790119999999998,115.72,2110.02,,,
2004-06-01,3298.15779,16043.11,291345.65,13.34221,64.9,1178.6,,,
2004-07-01,3702.15922,18008.28,327169.23,16.51978,80.36,1459.89,,,
2004-08-01,3525.92781,17151.04,311673.66,16.626189999999998,80.87,1469.67,,,
2004-09-01,3369.15854,16388.48,297272.4,9.70546,47.21,856.35,,,
2004-10-01,3002.47154,14604.81,265021.35,9.820459999999999,47.77,866.83,,,
2004-11-01,3244.36952,15781.47,286396.45,10.87548,52.9,960.03,,,
2004-12-01,3544.45812,17241.18,313404.76,17.77288,86.45,1571.5,,,
2006-01-01,3381.27059,16447.39,260112.83,79.70241,387.69,6131.31,,,
2006-02-01,3134.88793,15248.92,242809.19,95.85007,466.24,7423.96,,,
2006-03-01,3077.03619,14967.51,237368.52,81.30981,395.51,6272.4,,,
2006-04-01,2784.6440000000002,13545.24,214006.28,62.851000000000006,305.72,4830.24,,,
2006-05-01,3094.80056,15053.92,240835.56,109.67544,533.49,8534.88,,,
2006-06-01,3431.57243,16692.07,265697.96,103.71657,504.5,8030.51,,,
2006-07-01,3613.22882,17575.69,279786.95,109.52318,532.75,8480.82,,,
2006-08-01,3608.37462,17552.08,283935.35,169.57238,824.84,13343.29,,,
2006-09-01,3110.77727,15131.64,242195.41,111.79273,543.79,8703.83,,,
2006-10-01,2660.72287,12942.46,204508.59,60.40013,293.8,4642.48,,,
2006-11-01,2639.01424,12836.86,202026.29,49.07976,238.74,3757.24,,,
2006-12-01,3175.62788,15447.09,245580.39,91.98111999999999,447.42,7113.16,,,
2007-01-01,1695.256,12394.0,278634.0,183.744,1342.0,30200.0,,,
2007-02-01,1973.485,14187.0,364062.0,94.515,680.0,17436.0,,,
2007-03-01,2785.826,19610.0,387845.0,31.174000000000003,221.0,4340.0,,,
2007-04-01,2407.4680000000003,16236.0,280432.0,7.532,52.0,877.0,,,
2007-05-01,2309.285,15068.0,210032.0,15.715,105.0,1429.0,,,
2007-06-01,1994.816,14119.0,231028.0,10.184000000000001,70.0,1179.0,,,
2007-07-01,1580.8880000000001,12271.0,190435.0,20.112000000000002,157.0,2423.0,,,
2007-08-01,568.03,5732.0,82066.0,16.97,168.0,2452.0,,,
2007-09-01,1632.767,13154.0,227353.0,17.233,139.0,2400.0,,,
2007-10-01,1515.88,11224.0,196476.0,14.12,105.0,1830.0,,,
2007-11-01,2853.889,17475.0,265464.0,23.111,139.0,2150.0,,,
2007-12-01,2164.478,18428.0,362788.0,7.522,64.0,1261.0,,,
2008-01-01,3458.121,24270.0,334903.0,8.879,62.0,860.0,,,
2008-02-01,4277.876,29675.0,337492.0,4.1240000000000006,29.0,325.0,,,
2008-03-01,3214.868,22057.0,402106.0,6.132000000000001,42.0,767.0,,,
2008-04-01,2125.273,15847.0,246509.0,14.727,110.0,1708.0,,,
2008-05-01,1546.209,13146.0,236273.0,4.791,41.0,732.0,,,
2008-06-01,853.037,7872.0,202722.0,4.963,46.0,1179.0,,,
2008-07-01,831.9720000000001,7505.0,127546.0,11.028,99.0,1691.0,,,
2008-08-01,1225.665,9937.0,160825.0,11.335,92.0,1487.0,,,
2008-09-01,1831.5240000000001,13676.0,210965.0,14.476,108.0,1667.0,,,
2008-10-01,3040.623,20346.0,217965.0,4.377,29.0,314.0,,,
2008-11-01,2549.697,15764.0,298470.0,6.303,39.0,738.0,,,
2008-12-01,3873.6690000000003,23067.0,403778.0,16.331,97.0,1702.0,,,
2009-01-01,6351.464,34431.0,315905.0,15.536000000000001,84.0,773.0,,,
2009-02-01,4291.162,24525.0,337759.0,3.838,22.0,302.0,,,
2009-03-01,4186.157,24674.0,397554.0,18.843,111.0,1789.0,,,
2009-04-01,3655.7450000000003,22243.0,275049.0,6.255,38.0,471.0,,,
2009-05-01,2543.781,15447.0,194533.0,13.219000000000001,80.0,1011.0,,,
2009-06-01,1893.21,12614.0,165791.0,15.79,105.0,1383.0,,,
2009-07-01,1550.469,11884.0,155612.0,3.531,27.0,354.0,,,
2009-08-01,1461.1760000000002,11094.0,153556.0,1.824,14.0,192.0,,,
2009-09-01,1180.41,9866.0,203972.0,6.59,55.0,1139.0,,,
2009-10-01,1858.813,13001.0,208216.0,5.187,36.0,581.0,,,
2009-11-01,1812.175,13613.0,250927.0,4.825,36.0,668.0,,,
2009-12-01,2705.279,19610.0,360337.0,7.721,56.0,1028.0,,,
2010-01-01,2412.645,18008.0,350665.0,7.355,55.0,1069.0,,,
2010-02-01,1848.921,14549.0,337415.0,72.07900000000001,567.0,13154.0,,,
2010-03-01,2180.676,17123.0,296731.0,1.324,10.0,180.0,,,
2010-04-01,1657.305,12416.0,286643.0,3.6950000000000003,28.0,639.0,,,
2010-05-01,1998.939,13002.0,224202.0,6.061,39.0,680.0,,,
2010-06-01,2391.598,15088.0,233589.0,4.402,28.0,430.0,,,
2010-07-01,1851.9560000000001,11938.0,164646.0,11.044,71.0,982.0,,,
2010-08-01,2126.5480000000002,13626.0,204259.0,1.4520000000000002,9.0,139.0,,,
2010-09-01,2250.949,15426.0,244628.0,27.051000000000002,185.0,2940.0,,,
2010-10-01,1925.688,13700.0,233116.0,3.3120000000000003,24.0,401.0,,,
2010-11-01,3221.074,22032.0,275042.0,2.926,20.0,250.0,,,
2010-12-01,3466.876,23953.0,414626.0,23.124000000000002,160.0,2766.0,,,
2011-01-01,2647.128,17409.0,339660.0,56.872,374.0,7297.0,,,
2011-02-01,2544.064,16596.0,322222.0,22.936,150.0,2905.0,,,
2011-03-01,3247.57,21065.0,327404.0,118.43,768.0,11940.0,,,
2011-04-01,2468.068,17700.0,267584.0,10.932,78.0,1185.0,,,
2011-05-01,2441.819,17535.0,206873.0,35.181,253.0,2981.0,,,
2011-06-01,2186.285,13849.0,223899.0,15.715,100.0,1609.0,,,
2011-07-01,1891.693,12958.0,165934.0,14.307,98.0,1255.0,,,
2011-08-01,2231.052,14471.0,205504.0,7.948,52.0,732.0,,,
2011-09-01,2081.746,14959.0,237871.0,6.254,45.0,715.0,,,
2011-10-01,2223.314,16137.0,235999.0,24.686,179.0,2620.0,,,
2011-11-01,2701.48,18561.0,265579.0,10.52,72.0,1034.0,,,
2011-12-01,4126.721,25234.0,348436.0,60.279,369.0,5090.0,,,
2012-01-01,4519.641,28067.0,298194.0,18.359,114.0,1211.0,,,
2012-02-01,3224.661,19688.0,292375.0,9.339,57.0,847.0,,,
2012-03-01,2586.292,17398.0,283008.0,3.708,25.0,406.0,,,
2012-04-01,2637.946,18829.0,231935.0,17.054,122.0,1499.0,,,
2012-05-01,1883.162,13615.0,193627.0,11.838,86.0,1217.0,,,
