measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2021-07-01,,,,424.704,3756.0,3756.0
2021-08-01,,,,417.741,3695.0,3695.0
2021-09-01,,,,360.201,3186.0,3186.0
2021-10-01,,,,299.804,2651.0,2651.0
2021-11-01,,,,238.551,2110.0,2110.0
2021-12-01,,,,162.999,1442.0,1442.0
2022-01-01,,,,182.526,623.0,623.0
2022-02-01,,,,217.717,743.0,743.0
2022-03-01,,,,288.646,985.0,985.0
2022-04-01,,,,325.602,1111.0,1111.0
2022-05-01,,,,381.616,1302.0,1302.0
2022-06-01,,,,397.357,1356.0,1356.0
2022-07-01,,,,383.246,1308.0,1308.0
2022-08-01,,,,355.841,1214.0,1214.0
2022-09-01,,,,300.3,1025.0,1025.0
2022-10-01,,,,276.663,944.0,944.0
2022-11-01,,,,205.099,700.0,700.0
2022-12-01,0.0,0.0,0.0,143.387,489.0,489.0
