measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,6787.02883,42027.32,344605.2,226.64017,1403.42,11507.45
2005-02-01,6166.09917,38182.34,312885.9,201.04583,1244.94,10201.65
2005-03-01,6590.70312,40811.61,335393.5,239.22487999999998,1481.35,12173.89
2005-04-01,5384.76497,33344.09,275922.72,243.57703,1508.3,12481.22
2005-05-01,5141.80803,31839.61,262133.83,198.60897,1229.85,10125.26
2005-06-01,6526.97882,40417.01,335999.87,334.62518,2072.1,17226.04
2005-07-01,7238.37761,44822.2,374877.93,428.61639,2654.12,22198.18
2005-08-01,7144.11645,44238.51,371310.79,456.63255,2827.61,23733.18
2005-09-01,6519.28934,40369.4,334493.82,305.98766,1894.77,15699.71
2005-10-01,6163.18014,38164.26,313238.9,213.62186,1322.81,10857.17
2005-11-01,6066.5415,37565.84,307612.17,192.1955,1190.13,9745.53
2005-12-01,7008.62268,43399.5,354825.23,207.98032,1287.88,10529.41
2006-01-01,6268.10266,38813.97,306466.68,130.96634,810.98,6403.34
2006-02-01,5887.54044,36457.42,288147.05,130.45456,807.81,6384.69
2006-03-01,5737.53395,35528.53,281380.68,142.02805,879.48,6965.35
2006-04-01,5760.96733,35673.64,281648.75,119.78567,741.75,5856.22
2006-05-01,6066.53606,37565.81,296209.1,116.34894,720.47,5680.94
2006-06-01,6182.41798,38283.38,303014.54,148.26902,918.13,7267.01
2006-07-01,6440.63567,39882.34,318205.36,220.27333,1364.0,10882.8
2006-08-01,6447.79219,39926.66,318066.14,207.70281,1286.16,10245.87
2006-09-01,5854.64275,36253.7,287247.21,148.12324999999998,917.22,7267.39
2006-10-01,5716.22871,35396.6,281231.75,164.73829,1020.11,8104.93
2006-11-01,5815.16312,36009.23,285119.68,142.18388,880.45,6971.33
2006-12-01,6208.06724,38442.22,303896.03,139.15676,861.7,6811.97
2007-01-01,7078.076,43839.0,323267.0,2.924,18.0,134.0
2007-02-01,6813.299,42191.0,321454.0,12.701,79.0,599.0
2007-03-01,6861.307000000001,42483.0,307123.0,16.693,103.0,747.0
2007-04-01,6525.668000000001,40402.0,303548.0,18.332,114.0,853.0
2007-05-01,6970.101000000001,43153.0,327068.0,20.899,129.0,981.0
2007-06-01,6387.525000000001,39547.0,284326.0,22.475,139.0,1000.0
2007-07-01,4555.912,28201.0,193369.0,24.088,149.0,1022.0
2007-08-01,5356.713000000001,33165.0,263795.0,23.287000000000003,144.0,1147.0
2007-09-01,6826.025000000001,42275.0,317353.0,24.975,155.0,1161.0
2007-10-01,7058.195000000001,43705.0,361530.0,22.805,141.0,1168.0
2007-11-01,6860.385,42483.0,313620.0,33.615,208.0,1537.0
2007-12-01,7446.234,46109.0,317954.0,47.766000000000005,296.0,2040.0
2008-01-01,4419.057,45785.0,347994.0,1.943,20.0,153.0
2008-02-01,4018.938,42601.0,333695.0,10.062000000000001,107.0,835.0
2008-03-01,2302.607,27615.0,152750.0,16.393,197.0,1088.0
2008-04-01,2437.12,28979.0,224155.0,13.88,165.0,1277.0
2008-05-01,3141.1110000000003,33539.0,265416.0,18.889,202.0,1596.0
2008-06-01,3722.5370000000003,39745.0,333164.0,23.463,251.0,2100.0
