measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2001-01-01,420.0,5088.0,5088.0,774.0,7997.74,7997.74
2001-02-01,17.0,206.0,206.0,1805.0,18651.07,18651.07
2001-03-01,6.0,67.0,67.0,4888.0,50507.7,50507.7
2001-04-01,4.0,44.0,44.0,6181.0,63868.27,63868.27
2001-05-01,2.0,26.0,26.0,8523.0,88068.16,88068.16
2001-06-01,280.0,3394.0,3394.0,9345.0,96561.89,96561.89
2001-07-01,2588.0,31363.0,31363.0,8623.0,89101.46,89101.46
2001-08-01,3337.0,40446.0,40446.0,7810.0,80700.73,80700.73
2001-09-01,7158.0,86755.0,86755.0,5496.0,56790.17,56790.17
2001-10-01,3625.0,43939.0,43939.0,2996.0,30957.67,30957.67
2001-11-01,9478.0,114879.0,114879.0,904.0,9341.03,9341.03
2001-12-01,7817.0,94738.0,94738.0,512.0,5290.5,5290.5
2002-01-01,0.0,5935.0,5935.0,403.0,4099.72,4099.72
2002-02-01,523.0,6309.0,6309.0,189.0,1922.7,1922.7
2002-03-01,701.0,8438.0,8438.0,4716.0,47975.87,47975.87
2002-04-01,1085.0,13043.0,13043.0,5997.0,61007.48,61007.48
2002-05-01,8709.0,105549.0,105549.0,835.0,8494.46,8494.46
2002-06-01,2038.0,24432.0,24432.0,9520.0,96846.96,96846.96
2002-07-01,3589.0,43154.0,43154.0,8176.0,83174.45,83174.45
2002-08-01,4485.0,53768.0,53768.0,7213.0,73377.85,73377.85
2002-09-01,6332.0,64021.0,64021.0,4034.0,41037.88,41037.88
2002-10-01,7051.0,84611.0,84611.0,2830.0,28789.59,28789.59
2002-11-01,5106.0,61267.0,61267.0,6457.0,65687.06,65687.06
2002-12-01,2817.0,33812.0,33812.0,761.0,7741.65,7741.65
2003-01-01,201.0,3134.0,3134.0,1454.0,14890.41,14890.41
2003-02-01,0.0,0.0,0.0,2105.0,21557.31,21557.31
2003-03-01,0.0,0.0,0.0,5400.0,55301.4,55301.4
2003-04-01,0.0,0.0,0.0,6549.0,67068.31,67068.31
2003-05-01,88.0,1641.0,1641.0,7246.0,74206.29,74206.29
2003-06-01,2240.0,31328.0,31328.0,9300.0,95241.3,95241.3
2003-07-01,4002.0,54084.0,54084.0,6982.0,71502.66,71502.66
2003-08-01,4202.0,58428.0,58428.0,7061.0,72311.7,72311.7
2003-09-01,4533.0,62045.0,62045.0,6181.0,63299.62,63299.62
2003-10-01,3618.0,48564.0,48564.0,4172.0,42725.45,42725.45
2003-11-01,4557.0,62250.0,62250.0,1689.0,17297.05,17297.05
2003-12-01,319.0,4920.0,4920.0,888.0,9094.01,9094.01
2004-01-01,0.0,260.0,260.0,1831.0,18350.28,18350.28
2004-02-01,148.0,1513.0,1513.0,1074.0,10763.63,10763.63
2004-03-01,0.0,160.0,160.0,5642.0,56544.12,56544.12
2004-04-01,0.0,16.0,16.0,6377.0,63910.29,63910.29
2004-05-01,0.0,0.0,0.0,8858.0,88774.88,88774.88
2004-06-01,759.0,11113.0,11113.0,9706.0,97273.53,97273.53
2004-07-01,662.0,9640.0,9640.0,9182.0,92022.0,92022.0
2004-08-01,1888.0,25579.0,25579.0,7984.0,80015.65,80015.65
2004-09-01,4507.0,60171.0,60171.0,6341.0,63549.5,63549.5
2004-10-01,378.0,5338.0,5338.0,3819.0,38274.02,38274.02
2004-11-01,20.0,206.0,206.0,2214.0,22188.71,22188.71
2004-12-01,14.0,141.0,141.0,1385.0,13880.47,13880.47
2005-01-01,0.0,701.07,701.07,935.0,9349.07,9349.07
2005-02-01,0.0,325.76,325.76,1568.0,15678.43,15678.43
2005-03-01,0.0,0.0,0.0,3810.0,38096.19,38096.19
2005-04-01,0.0,0.0,0.0,6443.0,64423.56,64423.56
2005-05-01,27.0,618.12,618.12,8105.0,81041.9,81041.9
2005-06-01,755.0,10205.45,10205.45,9149.0,91480.85,91480.85
2005-07-01,1194.0,16258.8,16258.8,7401.0,74002.6,74002.6
2005-08-01,1050.0,13505.65,13505.65,7503.0,75022.5,75022.5
2005-09-01,1427.0,18806.83,18806.83,6164.0,61633.84,61633.84
2005-10-01,0.0,0.0,0.0,3896.0,38956.1,38956.1
2005-11-01,0.0,0.0,0.0,1701.0,17008.3,17008.3
2005-12-01,399.0,5063.53,5063.53,5.0,50.0,50.0
2006-01-01,0.0,0.0,0.0,1400.0,13887.0,13887.0
2006-02-01,0.0,0.0,0.0,1454.0,14422.0,14422.0
2006-03-01,0.0,0.0,0.0,3599.0,35698.0,35698.0
2006-04-01,0.0,0.0,0.0,5351.0,53077.0,53077.0
2006-05-01,28.0,689.0,689.0,7322.0,72627.0,72627.0
2006-06-01,1530.0,20977.0,20977.0,7023.0,69661.0,69661.0
2006-07-01,1870.0,29119.0,29119.0,6476.0,64235.0,64235.0
2006-08-01,814.0,12326.0,12326.0,8414.0,83458.0,83458.0
2006-09-01,3756.0,51816.0,51816.0,5410.0,53662.0,53662.0
2006-10-01,0.0,0.0,0.0,3487.0,34588.0,34588.0
2006-11-01,0.0,0.0,0.0,1645.0,16317.0,16317.0
2006-12-01,332.0,4424.0,4424.0,140.0,1389.0,1389.0
2007-01-01,0.0,0.0,0.0,1455.0,14381.0,14381.0
2007-02-01,0.0,0.0,0.0,2126.0,21013.0,21013.0
2007-03-01,0.0,0.0,0.0,5116.0,50567.0,50567.0
2007-04-01,0.0,0.0,0.0,5337.0,52751.0,52751.0
2007-05-01,108.0,997.0,997.0,7922.0,78301.0,78301.0
2007-06-01,1125.0,15839.0,15839.0,7789.0,76986.0,76986.0
2007-07-01,1342.0,22233.0,22233.0,8357.0,82601.0,82601.0
2007-08-01,796.0,12648.0,12648.0,7028.0,69465.0,69465.0
2007-09-01,2156.0,31204.0,31204.0,6622.0,65452.0,65452.0
2007-10-01,0.0,0.0,0.0,5064.0,50053.0,50053.0
2007-11-01,47.0,807.0,807.0,2478.0,24493.0,24493.0
2007-12-01,312.0,4454.0,4454.0,186.0,1838.0,1838.0
2008-01-01,278.0,5016.0,5016.0,1251.0,12327.0,12327.0
2008-02-01,0.0,0.0,0.0,2639.0,26005.0,26005.0
2008-03-01,0.0,0.0,0.0,6252.0,61607.0,61607.0
2008-04-01,0.0,0.0,0.0,7764.0,76506.0,76506.0
2008-05-01,136.0,1985.0,1985.0,8485.0,83611.0,83611.0
2008-06-01,388.0,7483.0,7483.0,9759.0,96165.0,96165.0
2008-07-01,614.0,10330.0,10330.0,8785.0,86567.0,86567.0
2008-08-01,615.0,11430.0,11430.0,8569.0,84439.0,84439.0
2008-09-01,1312.0,21473.0,21473.0,7188.0,70831.0,70831.0
2008-10-01,0.0,0.0,0.0,4896.0,48245.0,48245.0
2008-11-01,0.0,0.0,0.0,2315.0,22812.0,22812.0
2008-12-01,5.0,1255.0,1255.0,1109.0,10928.0,10928.0
2009-01-01,408.0,6476.0,6476.0,174.0,1698.0,1698.0
2009-02-01,3707.0,52788.0,52788.0,2100.0,20496.0,20496.0
2009-03-01,1553.0,24273.0,24273.0,5659.0,55232.0,55232.0
2009-04-01,0.0,0.0,0.0,7432.0,72536.0,72536.0
2009-05-01,55.0,1364.0,1364.0,7796.0,76089.0,76089.0
2009-06-01,3781.0,55114.0,55114.0,7767.0,75806.0,75806.0
2009-07-01,2859.0,42839.0,42839.0,9310.0,90866.0,90866.0
2009-08-01,2842.0,42320.0,42320.0,8176.0,79798.0,79798.0
2009-09-01,3854.0,56037.0,56037.0,6323.0,61712.0,61712.0
2009-10-01,714.0,10692.0,10692.0,4582.0,44720.0,44720.0
2009-11-01,956.0,14938.0,14938.0,2555.0,24937.0,24937.0
2009-12-01,20.0,506.0,506.0,1097.0,10707.0,10707.0
2010-01-01,516.0,8104.0,8104.0,125.0,1220.0,1220.0
2010-02-01,176.0,2646.0,2646.0,2057.0,20068.0,20068.0
2010-03-01,359.0,5586.0,5586.0,5011.0,48887.0,48887.0
2010-04-01,0.0,0.0,0.0,6432.0,62751.0,62751.0
2010-05-01,88.0,1453.0,1453.0,7667.0,74799.0,74799.0
2010-06-01,1524.0,23551.0,23551.0,8871.0,86545.0,86545.0
2010-07-01,2049.0,30952.0,30952.0,8994.0,87745.0,87745.0
2010-08-01,2251.0,35107.0,35107.0,8449.0,82428.0,82428.0
2010-09-01,3472.0,48570.0,48570.0,6708.0,65443.0,65443.0
2010-10-01,1457.0,22345.0,22345.0,2960.0,28878.0,28878.0
2010-11-01,695.0,11656.0,11656.0,1870.0,18244.0,18244.0
2010-12-01,332.0,5700.0,5700.0,885.0,8634.0,8634.0
