measured_on,"Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,6256.0,91655.0,91655.0
2003-02-01,,,,6007.0,92232.0,92232.0
2003-03-01,,,,9360.0,127610.0,127610.0
2003-04-01,,,,9385.0,131618.0,131618.0
2003-05-01,,,,9416.0,126814.0,126814.0
2003-06-01,0.0,0.0,0.0,8310.0,98303.0,98303.0
2003-07-01,0.0,0.0,0.0,10877.0,128084.0,128084.0
2003-08-01,,,,10810.0,126432.0,126432.0
2003-09-01,,,,9336.0,112623.0,112623.0
2003-10-01,,,,9033.0,112379.0,112379.0
2003-11-01,,,,3962.0,54315.0,54315.0
2003-12-01,,,,4135.0,59922.0,59922.0
2004-01-01,,,,7194.3330000000005,99113.0,99113.0
2004-02-01,,,,7194.3330000000005,99113.0,99113.0
2004-03-01,,,,7194.3330000000005,99113.0,99113.0
2004-04-01,,,,7194.3330000000005,99113.0,99113.0
2004-05-01,,,,7194.3330000000005,99113.0,99113.0
2004-06-01,,,,7194.3330000000005,99113.0,99113.0
2004-07-01,,,,7194.3330000000005,99113.0,99113.0
2004-08-01,,,,7194.3330000000005,99113.0,99113.0
2004-09-01,,,,7194.3330000000005,99113.0,99113.0
2004-10-01,,,,7194.3330000000005,99113.0,99113.0
2004-11-01,,,,7194.3330000000005,99113.0,99113.0
2004-12-01,,,,7194.3330000000005,99113.0,99113.0
2005-01-01,,,,9294.826000000001,131910.2,131910.2
2005-02-01,,,,8626.139000000001,122420.34,122420.34
2005-03-01,,,,9326.245,132356.08,132356.08
2005-04-01,,,,8018.479,113796.54,113796.54
2005-05-01,,,,8898.683,126288.22,126288.22
2005-06-01,,,,8615.173,122264.71,122264.71
2005-07-01,,,,9541.349,135408.79,135408.79
2005-08-01,,,,9823.54,139413.59,139413.59
2005-09-01,,,,9247.432,131237.59,131237.59
2005-10-01,,,,8814.386,125091.9,125091.9
2005-11-01,,,,8976.92,127398.54,127398.54
2005-12-01,,,,9697.828000000001,137629.51,137629.51
2006-01-01,,,,9951.786,225847.0,225847.0
2006-02-01,,,,9102.951000000001,206584.0,206584.0
2006-03-01,,,,9154.415,207752.0,207752.0
2006-04-01,,,,6034.8330000000005,136955.0,136955.0
2006-05-01,,,,7995.165,181444.0,181444.0
2006-06-01,,,,8029.442,182221.0,182221.0
2006-07-01,,,,9184.309000000001,208430.0,208430.0
2006-08-01,,,,10217.707,231882.0,231882.0
2006-09-01,,,,8719.291000000001,197877.0,197877.0
2006-10-01,,,,9384.204,212967.0,212967.0
2006-11-01,,,,8826.503,200310.0,200310.0
2006-12-01,,,,9610.394,218100.0,218100.0
2007-01-01,,,,8619.0,121400.0,121400.0
2007-02-01,,,,7138.0,96888.0,96888.0
2007-03-01,,,,8937.0,128272.0,128272.0
2007-04-01,,,,7099.0,97848.0,97848.0
2007-05-01,,,,8866.0,147280.0,147280.0
2007-06-01,,,,7041.0,101592.0,101592.0
2007-07-01,,,,10392.0,138048.0,138048.0
2007-08-01,,,,10936.0,130144.0,130144.0
2007-09-01,,,,9119.0,100112.0,100112.0
2007-10-01,,,,10801.0,118376.0,118376.0
2007-11-01,,,,10745.0,126752.0,126752.0
2007-12-01,,,,10603.0,122104.0,122104.0
2008-01-01,,,,10899.0,133632.0,133632.0
2008-02-01,,,,9777.0,119128.0,119128.0
2008-03-01,,,,10818.0,147688.0,147688.0
2008-04-01,,,,7092.0,173832.0,173832.0
2008-05-01,,,,7757.0,116160.0,116160.0
2008-06-01,,,,3452.0,48304.0,48304.0
2008-07-01,,,,9108.0,123008.0,123008.0
2008-08-01,,,,7558.0,109800.0,109800.0
2008-09-01,,,,9038.0,118272.0,118272.0
2008-10-01,,,,9841.0,134832.0,134832.0
2008-11-01,,,,9194.0,138512.0,138512.0
2008-12-01,,,,10722.0,164736.0,164736.0
2009-01-01,,,,10474.0,139200.0,139200.0
