measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2016-05-01,24.74,225.0,225.0
2016-06-01,42.743,392.0,392.0
2016-07-01,63.88,589.0,589.0
2016-08-01,56.654,519.0,519.0
2016-09-01,32.211,294.0,294.0
2016-10-01,11.276,104.0,104.0
2016-11-01,10.62,98.0,98.0
2016-12-01,11.876,110.0,110.0
2017-01-01,26.456,283.0,283.0
2017-02-01,34.775,358.0,358.0
2017-03-01,16.937,173.0,173.0
2017-04-01,6.301,63.0,63.0
2017-05-01,19.303,196.0,196.0
2017-06-01,16.774,173.0,173.0
2017-07-01,11.755,121.0,121.0
2017-08-01,14.023,144.0,144.0
2017-09-01,12.09,127.0,127.0
2017-10-01,49.417,508.0,508.0
2017-11-01,24.235,248.0,248.0
2017-12-01,39.934,410.0,410.0
2018-01-01,100.133,940.0,940.0
2018-02-01,4.459,41.0,41.0
2018-03-01,3.619,35.0,35.0
2018-04-01,9.977,93.0,93.0
2018-05-01,12.375,116.0,116.0
2018-06-01,10.6,99.0,99.0
2018-07-01,10.747,99.0,99.0
2018-08-01,10.932,104.0,104.0
2018-09-01,15.212,139.0,139.0
2018-10-01,24.872,232.0,232.0
2018-11-01,26.341,244.0,244.0
2018-12-01,23.733,220.0,220.0
2019-01-01,53.019,502.0,502.0
2019-02-01,10.52,98.0,98.0
2019-03-01,18.101,173.0,173.0
2019-04-01,10.572,98.0,98.0
2019-05-01,14.769,138.0,138.0
2019-06-01,25.945,242.0,242.0
2019-07-01,35.571,335.0,335.0
2019-08-01,36.665,346.0,346.0
2019-09-01,29.745,283.0,283.0
2019-10-01,18.984,179.0,179.0
2019-11-01,16.043,150.0,150.0
2019-12-01,16.066,150.0,150.0
2020-01-01,10.252,98.0,98.0
2020-02-01,5.694,52.0,52.0
2020-03-01,11.386,110.0,110.0
2020-04-01,6.316,58.0,58.0
2020-05-01,15.955,151.0,151.0
2020-06-01,13.976,133.0,133.0
2020-07-01,24.607,232.0,232.0
2020-08-01,23.751,226.0,226.0
2020-09-01,29.264,278.0,278.0
2020-10-01,9.714,93.0,93.0
2020-11-01,20.22,191.0,191.0
2020-12-01,32.865,313.0,313.0
2021-01-01,7.684,81.0,81.0
2021-02-01,42.83,422.0,422.0
2021-03-01,23.135,231.0,231.0
2021-04-01,11.374,110.0,110.0
2021-05-01,9.384,92.0,92.0
2021-06-01,13.709,133.0,133.0
2021-07-01,16.019,156.0,156.0
2021-08-01,15.315,150.0,150.0
2021-09-01,11.939,116.0,116.0
2021-10-01,10.152,98.0,98.0
2021-11-01,14.417,145.0,145.0
2021-12-01,12.042,121.0,121.0
2022-01-01,28.043,260.0,260.0
2022-02-01,8.455,81.0,81.0
2022-03-01,4.517,46.0,46.0
2022-04-01,4.667,46.0,46.0
2022-05-01,6.136,58.0,58.0
2022-06-01,6.177,58.0,58.0
2022-07-01,18.795,179.0,179.0
2022-08-01,15.47,150.0,150.0
2022-09-01,1.669,17.0,17.0
2022-10-01,2.829,29.0,29.0
2022-11-01,4.574,46.0,46.0
2022-12-01,40.668,392.0,392.0
2023-01-01,179.243,1766.0,1766.0
2023-02-01,115.246,1142.0,1142.0
2023-03-01,152.371,1506.0,1506.0
2023-04-01,112.448,1114.0,1114.0
2023-05-01,127.596,1264.0,1264.0
2023-06-01,117.566,1166.0,1166.0
2023-07-01,108.009,1067.0,1067.0
2023-08-01,123.501,1223.0,1223.0
2023-09-01,101.846,1010.0,1010.0
2023-10-01,102.196,1010.0,1010.0
2023-11-01,157.286,1558.0,1558.0
2023-12-01,134.692,1333.0,1333.0
2024-01-01,45.717,427.0,427.0
2024-02-01,0.938,6.0,6.0
2024-03-01,2.678,23.0,23.0
2024-04-01,8.031,75.0,75.0
2024-05-01,3.408,29.0,29.0
2024-06-01,11.495,104.0,104.0
2024-07-01,46.104,421.0,421.0
2024-08-01,29.943,277.0,277.0
2024-09-01,11.013,98.0,98.0
2024-10-01,10.933,98.0,98.0
2024-11-01,2.464,23.0,23.0
2024-12-01,6.276,58.0,58.0
