measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,2120.0,35061.0,35061.0,,,
2001-02-01,381.0,6089.0,6089.0,,,
2001-03-01,109.0,2072.0,2072.0,,,
2001-04-01,0.0,0.0,0.0,,,
2001-05-01,8.0,158.0,158.0,,,
2001-06-01,612.0,10613.0,10613.0,,,
2001-07-01,339.0,6486.0,6486.0,,,
2001-08-01,1463.0,25563.0,25563.0,,,
2001-09-01,132.0,2294.0,2294.0,,,
2001-10-01,426.0,7782.0,7782.0,,,
2001-11-01,47.0,846.0,846.0,,,
2001-12-01,84.0,1570.0,1570.0,,,
2002-01-01,83.0,1398.0,1398.0,,,
2002-02-01,55.0,882.0,882.0,,,
2002-03-01,9.0,162.0,162.0,,,
2002-04-01,47.0,835.0,835.0,,,
2002-05-01,66.0,1288.0,1288.0,,,
2002-06-01,0.0,0.0,0.0,,,
2002-07-01,144.0,2477.0,2477.0,,,
2002-08-01,206.0,3619.0,3619.0,,,
2002-09-01,103.0,1769.0,1769.0,,,
2002-10-01,0.0,0.0,0.0,,,
2002-11-01,0.0,0.0,0.0,,,
2002-12-01,18.0,284.0,284.0,,,
2003-01-01,122.0,1914.0,1914.0,,,
2003-02-01,0.0,0.0,0.0,,,
2003-03-01,166.0,2801.0,2801.0,,,
2003-04-01,143.0,2448.0,2448.0,,,
2003-05-01,29.0,557.0,557.0,,,
2003-06-01,49.0,945.0,945.0,,,
2003-07-01,9.0,180.0,180.0,,,
2003-08-01,149.0,2697.0,2697.0,,,
2003-09-01,0.0,0.0,0.0,,,
2003-10-01,6.0,110.0,110.0,,,
2003-11-01,0.0,0.0,0.0,,,
2003-12-01,50.0,806.0,806.0,,,
2004-01-01,412.0,6554.0,6554.0,,,
2004-02-01,73.0,1195.0,1195.0,,,
2004-03-01,3.0,110.0,110.0,,,
2004-04-01,0.0,0.0,0.0,,,
2004-05-01,0.0,0.0,0.0,,,
2004-06-01,157.0,2941.0,2941.0,,,
2004-07-01,0.0,0.0,0.0,,,
2004-08-01,57.0,1009.0,1009.0,,,
2004-09-01,0.0,0.0,0.0,,,
2004-10-01,8.0,145.0,145.0,,,
2004-11-01,0.0,0.0,0.0,,,
2004-12-01,89.0,1508.0,1508.0,,,
2005-01-01,0.0,0.0,0.0,,,
2005-02-01,29.0,493.0,493.0,,,
2005-03-01,59.0,933.8,933.8,,,
2005-04-01,0.0,0.0,0.0,,,
2005-05-01,0.0,0.0,0.0,,,
2005-06-01,11.0,258.0,258.0,,,
2005-07-01,46.0,804.0,804.0,,,
2005-08-01,57.0,1062.0,1062.0,,,
2005-09-01,0.0,0.0,0.0,,,
2005-10-01,22.0,462.0,462.0,,,
2005-11-01,44.0,864.0,864.0,,,
2005-12-01,0.0,24.0,24.0,,,
2006-01-01,61.0,1002.0,1002.0,,,
2006-02-01,57.0,954.0,954.0,,,
2006-03-01,8.0,162.0,162.0,,,
2006-04-01,0.0,0.0,0.0,,,
2006-05-01,0.0,0.0,0.0,,,
2006-06-01,27.0,504.0,504.0,,,
2006-07-01,13.0,276.0,276.0,,,
2006-08-01,182.0,3408.0,3408.0,,,
2006-09-01,58.0,1098.0,1098.0,,,
2006-10-01,0.0,0.0,0.0,,,
2006-11-01,1.0,54.0,54.0,,,
2006-12-01,13.0,249.0,249.0,,,
2007-01-01,54.0,918.0,918.0,,,
2007-02-01,0.0,0.0,0.0,,,
2007-03-01,6.0,120.0,120.0,,,
2007-04-01,0.0,0.0,0.0,,,
2007-05-01,0.0,0.0,0.0,,,
2007-06-01,0.0,0.0,0.0,,,
2007-07-01,52.0,966.0,966.0,,,
2007-08-01,0.0,0.0,0.0,,,
2007-09-01,56.0,1194.0,1194.0,,,
2007-10-01,0.0,0.0,0.0,,,
2007-11-01,0.0,0.0,0.0,,,
2007-12-01,1.0,78.0,78.0,,,
2008-01-01,0.0,0.0,0.0,41.211,762.0,762.0
2008-02-01,0.0,0.0,0.0,31.299000000000003,577.0,577.0
2008-03-01,0.0,0.0,0.0,32.498000000000005,599.0,599.0
