measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2008-10-01,341.742,5556.0,5556.0,4130.258,67154.0,67154.0,,,
2008-11-01,106.82000000000001,1566.0,1566.0,19020.18,278838.0,278838.0,,,
2008-12-01,2485.011,40681.0,40681.0,6394.9890000000005,104690.0,104690.0,,,
2009-01-01,995.9870000000001,26935.0,26935.0,747.013,20202.0,20202.0,,,
2009-02-01,197.114,13015.0,13015.0,18.886,1247.0,1247.0,,,
2009-03-01,1820.813,41203.0,41203.0,723.187,16365.0,16365.0,,,
2009-04-01,32.94,499.0,499.0,9923.06,150263.0,150263.0,,,
2009-05-01,99.272,1833.0,1833.0,2400.728,44323.0,44323.0,,,
2009-06-01,626.486,9854.0,9854.0,7581.514,119252.0,119252.0,,,
2009-07-01,208.85,3062.0,3062.0,9062.15,132867.0,132867.0,,,
2009-08-01,246.18,3629.0,3629.0,9935.82,146446.0,146446.0,,,
2009-09-01,99.182,1363.0,1363.0,9135.818000000001,125539.0,125539.0,,,
2009-10-01,198.199,4024.0,4024.0,339.821,6899.0,6899.0,,,
2009-11-01,-81.12700000000001,2313.0,2313.0,-252.87300000000002,7209.0,7209.0,,,
2009-12-01,403.699,9003.0,9003.0,398.30100000000004,8883.0,8883.0,,,
2010-01-01,163.144,15033.0,15033.0,69.85600000000001,6437.0,6437.0,,,
2010-02-01,113.37100000000001,5157.0,5157.0,197.62900000000002,8989.0,8989.0,,,
2010-03-01,849.0970000000001,16791.0,16791.0,1738.903,34387.0,34387.0,,,
2010-04-01,340.635,4686.0,4686.0,16795.365,231068.0,231068.0,,,
2010-05-01,232.83100000000002,3405.0,3405.0,15819.169,231318.0,231318.0,,,
2010-06-01,3419.096,55112.0,55112.0,20195.904,325533.0,325533.0,,,
2010-07-01,303.406,4507.0,4507.0,25451.594,378042.0,378042.0,,,
2010-08-01,0.0,0.0,0.0,22379.0,331786.0,331786.0,,,
2010-09-01,32.778,476.0,476.0,11311.222,164125.0,164125.0,,,
2010-10-01,265.736,4077.0,4077.0,2920.264,44808.0,44808.0,,,
2010-11-01,117.964,2268.0,2268.0,2461.036,47312.0,47312.0,,,
2010-12-01,8122.098,119045.0,119045.0,3446.902,50521.0,50521.0,,,
2011-01-01,98.139,7436.0,7436.0,202.861,15370.0,15370.0,,,
2011-02-01,0.0,0.0,0.0,2974.0,44977.0,44977.0,,,
2011-03-01,103.575,1821.0,1821.0,3383.425,59492.0,59492.0,,,
2011-04-01,0.0,0.0,0.0,5400.0,81721.0,81721.0,,,
2011-05-01,1145.332,17562.0,17562.0,11311.668,173452.0,173452.0,,,
2011-06-01,1532.283,22301.0,22301.0,18263.717,265812.0,265812.0,,,
2011-07-01,126.092,1653.0,1653.0,40844.908,535457.0,535457.0,,,
2011-08-01,1095.498,16257.0,16257.0,26916.502,399446.0,399446.0,,,
2011-09-01,388.334,7093.0,7093.0,2681.666,48984.0,48984.0,,,
2011-10-01,-45.885,0.0,0.0,-377.115,0.0,0.0,,,
2011-11-01,-60.976,1659.0,1659.0,-193.024,5251.0,5251.0,,,
2011-12-01,1747.14,25282.0,25282.0,2585.86,37419.0,37419.0,,,
2012-01-01,172.533,8677.0,8677.0,112.467,5656.0,5656.0,,,
2012-02-01,3.069,1740.0,1740.0,26.931,15269.0,15269.0,,,
2012-03-01,215.232,3120.0,3120.0,19013.768,275659.0,275659.0,,,
2012-04-01,0.0,0.0,0.0,20250.0,298178.0,298178.0,,,
2012-05-01,1343.461,18490.0,18490.0,22811.539,313961.0,313961.0,,,
2012-06-01,272.339,4095.0,4095.0,6837.661,102804.0,102804.0,,,
2012-07-01,0.0,0.0,0.0,16116.0,231150.0,231150.0,,,
2012-08-01,182.182,2906.0,2906.0,3798.818,60591.0,60591.0,,,
2012-09-01,-348.855,592.0,592.0,-83.145,141.0,141.0,,,
2012-10-01,-450.0,261.0,261.0,0.0,0.0,0.0,,,
2012-11-01,16.274,742.0,742.0,307.726,14038.0,14038.0,,,
2012-12-01,0.0,0.0,0.0,-527.0,31.0,31.0,,,
2013-01-01,0.0,0.0,0.0,3918.0,70335.0,70335.0,,,
2013-02-01,490.006,9935.0,9935.0,1249.994,25345.0,25345.0,,,
2013-03-01,27.566,824.0,824.0,585.434,17491.0,17491.0,,,
2013-04-01,-12.108,0.0,0.0,-421.892,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,-441.0,47.0,47.0,,,
2013-06-01,2111.214,31401.0,31401.0,10506.786,156273.0,156273.0,,,
2013-07-01,2910.723,41012.0,41012.0,17509.277,246704.0,246704.0,,,
2013-08-01,1310.725,17609.0,17609.0,14575.275,195810.0,195810.0,,,
2013-09-01,102.329,1433.0,1433.0,4691.671,65683.0,65683.0,,,
2013-10-01,-473.0,702.0,702.0,0.0,0.0,0.0,,,
2013-11-01,1431.179,29557.0,29557.0,293.821,6068.0,6068.0,,,
2013-12-01,271.998,6421.0,6421.0,365.002,8616.0,8616.0,,,
2014-01-01,52803.0,723480.0,723480.0,0.0,0.0,0.0,,,
2014-02-01,3898.954,56695.0,56695.0,8.046,117.0,117.0,,,
2014-03-01,7544.0,112021.0,112021.0,0.0,0.0,0.0,,,
2014-04-01,75.416,2714.0,2714.0,214.584,7723.0,7723.0,,,
2014-05-01,4.896,70.0,70.0,7865.104,111815.0,111815.0,0.0,0.0,0.0
2014-06-01,702.7,9564.0,9564.0,11175.3,152103.0,152103.0,0.0,0.0,0.0
2014-07-01,88.309,1154.0,1154.0,11180.691,146131.0,146131.0,0.0,0.0,0.0
2014-08-01,129.65,1792.0,1792.0,8819.35,121914.0,121914.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,5412.0,74882.0,74882.0,0.0,0.0,0.0
2014-10-01,5.441,418.0,418.0,82.559,6336.0,6336.0,0.0,0.0,0.0
2014-11-01,896.993,22713.0,22713.0,14.007,355.0,355.0,0.0,0.0,0.0
2014-12-01,56.908,3428.0,3428.0,103.092,6210.0,6210.0,0.0,0.0,0.0
2015-01-01,9114.208,134937.0,134937.0,8767.792,129808.0,129808.0,0.0,0.0,0.0
2015-02-01,40099.661,570221.0,570221.0,775.339,11025.0,11025.0,0.0,0.0,0.0
2015-03-01,53.926,6740.0,6740.0,10.074,1259.0,1259.0,0.0,0.0,0.0
2015-04-01,-243.115,0.0,0.0,-169.885,0.0,0.0,0.0,0.0,0.0
2015-05-01,22.375,1786.0,1786.0,77.625,6197.0,6197.0,0.0,0.0,0.0
2015-06-01,26.665,377.0,377.0,11311.335,159923.0,159923.0,0.0,0.0,0.0
2015-07-01,514.908,6757.0,6757.0,24753.092,324828.0,324828.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,11429.0,153585.0,153585.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,5092.0,71764.0,71764.0,0.0,0.0,0.0
2015-10-01,-35.785,46.0,46.0,-385.215,499.0,499.0,0.0,0.0,0.0
2015-11-01,33.821,3869.0,3869.0,32.179,3681.0,3681.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,-448.0,1.0,1.0,0.0,0.0,0.0
2016-01-01,7695.418,102637.0,102637.0,1464.582,19534.0,19534.0,0.0,0.0,0.0
2016-02-01,5957.927,77888.0,77888.0,47.073,615.0,615.0,0.0,0.0,0.0
2016-03-01,-328.0,1757.0,1757.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,-170.812,0.0,0.0,-215.188,0.0,0.0,0.0,0.0,0.0
2016-05-01,-25.623,1798.0,1798.0,-48.377,3395.0,3395.0,0.0,0.0,0.0
2016-06-01,34.931,493.0,493.0,9889.069,139568.0,139568.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,35779.0,471482.0,471482.0,0.0,0.0,0.0
2016-08-01,0.437,6.0,6.0,31684.563,420694.0,420694.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,7111.0,93376.0,93376.0,0.0,0.0,0.0
2016-10-01,289.959,9118.0,9118.0,289.041,9089.0,9089.0,0.0,0.0,0.0
2016-11-01,97.199,1206.0,1206.0,12579.801,156136.0,156136.0,0.0,0.0,0.0
2016-12-01,688.345,11438.0,11438.0,1570.655,26098.0,26098.0,0.0,0.0,0.0
2017-01-01,1508.029,22185.0,22185.0,3516.737,51738.0,51738.0,0.0,0.0,0.0
2017-02-01,645.867,9500.0,9500.0,3752.715,55207.0,55207.0,0.0,0.0,0.0
2017-03-01,2624.048,38605.0,38605.0,4646.466,68355.0,68355.0,0.0,0.0,0.0
2017-04-01,1540.966,22672.0,22672.0,4698.664,69123.0,69123.0,0.0,0.0,0.0
2017-05-01,1150.835,16930.0,16930.0,5990.058,88122.0,88122.0,0.0,0.0,0.0
2017-06-01,1584.887,23316.0,23316.0,5146.502,75711.0,75711.0,0.0,0.0,0.0
2017-07-01,1951.347,28704.0,28704.0,5904.793,86868.0,86868.0,0.0,0.0,0.0
2017-08-01,1180.149,17359.0,17359.0,5659.779,83263.0,83263.0,0.0,0.0,0.0
2017-09-01,1513.022,22260.0,22260.0,5735.435,84376.0,84376.0,0.0,0.0,0.0
2017-10-01,736.261,10829.0,10829.0,5239.92,77086.0,77086.0,0.0,0.0,0.0
2017-11-01,1221.301,17968.0,17968.0,4928.094,72499.0,72499.0,0.0,0.0,0.0
2017-12-01,1453.895,21390.0,21390.0,4726.23,69530.0,69530.0,0.0,0.0,0.0
2018-01-01,52006.853,677580.0,677580.0,9792.335,127579.0,127579.0,0.0,0.0,0.0
2018-02-01,1219.563,15890.0,15890.0,7602.149,99044.0,99044.0,0.0,0.0,0.0
2018-03-01,3110.233,40519.0,40519.0,9353.695,121864.0,121864.0,0.0,0.0,0.0
2018-04-01,2229.067,29044.0,29044.0,7874.783,102597.0,102597.0,0.0,0.0,0.0
2018-05-01,4828.801,62911.0,62911.0,9769.855,127286.0,127286.0,0.0,0.0,0.0
2018-06-01,2114.868,27551.0,27551.0,14926.472,194469.0,194469.0,0.0,0.0,0.0
2018-07-01,2146.896,27969.0,27969.0,16149.569,210404.0,210404.0,0.0,0.0,0.0
2018-08-01,2955.384,38503.0,38503.0,17039.784,222002.0,222002.0,0.0,0.0,0.0
2018-09-01,2842.068,37027.0,37027.0,15800.347,205855.0,205855.0,0.0,0.0,0.0
2018-10-01,1995.079,25994.0,25994.0,13257.309,172722.0,172722.0,0.0,0.0,0.0
2018-11-01,4163.565,54242.0,54242.0,14826.358,193165.0,193165.0,0.0,0.0,0.0
2018-12-01,4309.376,56142.0,56142.0,10504.591,136859.0,136859.0,0.0,0.0,0.0
2019-01-01,159.359,2543.0,2543.0,1428.943,22797.0,22797.0,0.0,0.0,0.0
2019-02-01,166.509,2654.0,2654.0,1388.18,22146.0,22146.0,0.0,0.0,0.0
2019-03-01,452.524,7217.0,7217.0,1237.132,19737.0,19737.0,0.0,0.0,0.0
2019-04-01,152.296,2427.0,2427.0,1234.213,19689.0,19689.0,0.0,0.0,0.0
2019-05-01,129.868,2072.0,2072.0,1617.584,25806.0,25806.0,0.0,0.0,0.0
2019-06-01,204.658,3265.0,3265.0,1757.552,28039.0,28039.0,0.0,0.0,0.0
2019-07-01,256.794,4097.0,4097.0,2008.156,32037.0,32037.0,0.0,0.0,0.0
2019-08-01,151.769,2421.0,2421.0,1911.791,30499.0,30499.0,0.0,0.0,0.0
2019-09-01,141.449,2258.0,2258.0,1748.947,27902.0,27902.0,0.0,0.0,0.0
2019-10-01,153.486,2450.0,2450.0,1353.129,21587.0,21587.0,0.0,0.0,0.0
2019-11-01,222.517,3550.0,3550.0,1390.764,22187.0,22187.0,0.0,0.0,0.0
2019-12-01,234.053,3736.0,3736.0,1578.327,25179.0,25179.0,0.0,0.0,0.0
2020-01-01,66.734,2985.0,2985.0,47.173,2107.0,2107.0,0.0,0.0,0.0
2020-02-01,86.01,3842.0,3842.0,46.325,2069.0,2069.0,0.0,0.0,0.0
2020-03-01,63.324,2828.0,2828.0,48.141,2151.0,2151.0,0.0,0.0,0.0
2020-04-01,48.67,2175.0,2175.0,47.878,2139.0,2139.0,0.0,0.0,0.0
2020-05-01,78.903,3527.0,3527.0,51.793,2314.0,2314.0,0.0,0.0,0.0
2020-06-01,80.284,3585.0,3585.0,47.222,2109.0,2109.0,0.0,0.0,0.0
2020-07-01,53.927,2408.0,2408.0,62.992,2814.0,2814.0,0.0,0.0,0.0
2020-08-01,61.484,2746.0,2746.0,55.674,2487.0,2487.0,0.0,0.0,0.0
2020-09-01,58.955,2635.0,2635.0,43.713,1953.0,1953.0,0.0,0.0,0.0
2020-10-01,49.336,2204.0,2204.0,40.776,1822.0,1822.0,0.0,0.0,0.0
2020-11-01,40.939,1831.0,1831.0,36.727,1641.0,1641.0,0.0,0.0,0.0
2020-12-01,113.44,5066.0,5066.0,44.58,1992.0,1992.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,167.66,3259.0,3259.0,304.193,5917.0,5917.0,0.0,0.0,0.0
2021-03-01,48.681,946.0,946.0,88.324,1718.0,1718.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,245.786,4783.0,4783.0,445.938,8675.0,8675.0,0.0,0.0,0.0
2021-08-01,742.301,14436.0,14436.0,1346.786,26198.0,26198.0,0.0,0.0,0.0
2021-09-01,10.65,204.0,204.0,19.322,376.0,376.0,0.0,0.0,0.0
2021-10-01,69.558,1355.0,1355.0,126.202,2454.0,2454.0,0.0,0.0,0.0
2021-11-01,86.201,1676.0,1676.0,156.398,3043.0,3043.0,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,313.327,3889.0,3889.0,1535.04,19045.0,19045.0,0.0,0.0,0.0
2022-02-01,66.668,829.0,829.0,326.619,4052.0,4052.0,0.0,0.0,0.0
2022-03-01,233.192,2891.0,2891.0,1142.448,14174.0,14174.0,0.0,0.0,0.0
2022-04-01,196.451,2435.0,2435.0,962.447,11941.0,11941.0,0.0,0.0,0.0
2022-05-01,837.678,10395.0,10395.0,4103.923,50916.0,50916.0,0.0,0.0,0.0
2022-06-01,1647.821,20446.0,20446.0,8072.947,100159.0,100159.0,0.0,0.0,0.0
2022-07-01,2791.803,34637.0,34637.0,13677.503,169693.0,169693.0,0.0,0.0,0.0
2022-08-01,6049.992,75062.0,75062.0,29639.908,367734.0,367734.0,0.0,0.0,0.0
2022-09-01,354.4,4398.0,4398.0,1736.266,21542.0,21542.0,0.0,0.0,0.0
