measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,,,,0.0,0.0,0.0,49445.957,584492.0,584492.0
2006-04-01,,,,0.0,0.0,0.0,42067.499,497273.0,497273.0
2006-05-01,,,,0.0,0.0,0.0,44956.689,531426.0,531426.0
2006-06-01,,,,0.0,0.0,0.0,48703.826,575720.0,575720.0
2006-07-01,,,,0.0,0.0,0.0,55400.513,654880.0,654880.0
2006-08-01,,,,0.0,0.0,0.0,55800.259,659606.0,659606.0
2006-09-01,,,,0.0,0.0,0.0,46363.281,548053.0,548053.0
2006-10-01,,,,0.0,0.0,0.0,47955.512,566874.0,566874.0
2006-11-01,,,,0.0,0.0,0.0,47416.331,560501.0,560501.0
2006-12-01,,,,0.0,0.0,0.0,51332.133,606789.0,606789.0
2007-01-01,,,,,,,68481.0,844240.0,844240.0
2007-02-01,,,,,,,66011.0,845507.0,845507.0
2007-03-01,,,,,,,59297.0,731288.0,731288.0
2007-04-01,,,,,,,51499.0,612697.0,612697.0
2007-05-01,,,,,,,73087.0,843064.0,843064.0
2007-06-01,,,,,,,45434.0,638464.0,638464.0
2007-07-01,,,,,,,74529.0,864648.0,864648.0
2007-08-01,,,,,,,69499.0,874750.0,874750.0
