measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,4222.439,42638.0,138807.0,0.0,0.0,0.0,81.626,820.0,2669.0,44.174,447.0,1454.0
2003-02-01,3495.0,44349.0,115317.0,10.0,123.0,322.0,137.0,1735.0,4513.0,368.0,4669.0,12141.0
2003-03-01,3299.5910000000003,53936.0,117865.0,0.0,0.0,0.0,9.603,156.0,341.0,16.325,268.0,584.0
2003-04-01,3539.666,71697.0,113582.0,0.0,0.0,0.0,15.365,303.0,479.0,39.372,805.0,1276.0
2003-05-01,3893.056,69645.0,129816.0,0.0,0.0,0.0,17.285,303.0,564.0,213.187,3808.0,7096.0
2003-06-01,3598.0,57641.0,107670.0,0.0,0.0,0.0,2.0,31.0,59.0,630.0,10085.0,18838.0
2003-07-01,4427.0,60183.0,121895.0,0.0,0.0,0.0,8.0,112.0,226.0,0.0,0.0,0.0
2003-08-01,4019.8160000000003,60768.0,116375.0,0.0,0.0,0.0,2.8810000000000002,40.0,77.0,0.0,0.0,0.0
2003-09-01,3563.6730000000002,75483.0,130792.0,0.0,0.0,0.0,19.206,415.0,720.0,19.206,406.0,702.0
2003-10-01,,,,0.0,0.0,0.0,,,,,,
2003-11-01,2779.0,53983.0,90417.0,0.0,0.0,0.0,5.0,94.0,156.0,446.0,8669.0,14520.0
2003-12-01,4230.122,75010.0,145744.0,0.0,0.0,0.0,68.181,1211.0,2352.0,362.993,6428.0,12489.0
2004-01-01,4975.42677,34230.54,210368.21,2.61651,18.0,110.63,33.02719,227.22,1396.44,249.74553,1718.23,10559.6
2004-02-01,4478.04589,30808.6,189267.93,1.28698,8.85,54.4,24.62991,169.45,1041.0,161.09422999999998,1108.32,6808.77
2004-03-01,4080.26167,28071.88,172505.15,1.20228,8.27,50.83,25.67533,176.64,1085.5,134.68972,926.65,5694.41
2004-04-01,3649.72083,25109.79,154301.14,0.63651,4.38,26.91,22.755139999999997,156.55,962.03,106.09452,729.92,4485.41
