measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,12820.005000000001,141968.0,225680.0,1988.7810000000002,20675.0,33660.0,173.25,1790.19,1790.19,151.727,1579.0,2570.0,21410.849000000002,184058.0,323870.0
2001-02-01,12694.206,163088.0,249704.0,4.8020000000000005,53.0,83.0,180.18,1861.8,1861.8,136.363,1643.0,2570.0,21973.585,221455.0,371381.0
2001-03-01,13466.287,183745.0,275210.0,284.249,3659.0,5593.0,239.58,2475.58,2475.58,544.49,7000.0,10697.0,20671.418,222594.0,362998.0
2001-04-01,10866.755,132700.0,210496.0,66.26100000000001,759.0,1233.0,137.61,1421.92,1421.92,3772.058,43256.0,70264.0,18469.45,175184.0,307406.0
2001-05-01,13936.834,154294.0,240058.0,116.19600000000001,1205.0,1918.0,101.97,1053.66,1053.66,1528.798,15908.0,25313.0,23013.59,198984.0,340603.0
2001-06-01,14908.658,204423.0,299780.0,104.673,1358.0,2030.0,91.08,941.13,941.13,272.725,3524.0,5267.0,21844.904,237710.0,377437.0
2001-07-01,15534.773000000001,127665.0,226330.0,23.047,174.0,319.0,102.96,1063.89,1063.89,2860.734,21906.0,40074.0,18975.528,117031.0,237552.0
2001-08-01,14687.789,125762.0,222014.0,48.015,382.0,696.0,106.92,1104.8,1104.8,952.618,7600.0,13841.0,20554.261,132258.0,266952.0
2001-09-01,11024.244,143124.0,217334.0,31.69,385.0,596.0,41.58,429.65,429.65,188.21900000000002,2296.0,3560.0,24038.23,245378.0,407190.0
2001-10-01,5604.311000000001,52286.0,101946.0,68.181,585.0,1186.0,53.46,552.4,552.4,5104.955,44055.0,89290.0,16027.407,108483.0,250488.0
2001-11-01,8037.711,87345.0,154050.0,40.333,412.0,749.0,148.5,1534.45,1534.45,1886.99,19119.0,34782.0,18651.907,152376.0,307171.0
2001-12-01,9751.847,136581.0,205920.0,55.697,732.0,1127.0,118.8,1227.56,1227.56,682.773,9002.0,13854.0,22912.758,252802.0,415716.0
2002-01-01,8959.0,103323.0,162225.0,97.0,1041.0,1764.0,131.0,1332.66,1332.66,3235.0,31646.0,58571.0,19493.0,176336.0,352951.0
2002-02-01,8338.0,96161.0,160300.0,56.0,601.0,1080.0,126.0,1281.8,1281.8,534.0,5224.0,10263.0,22356.0,202235.0,429806.0
2002-03-01,9689.0,111742.0,191292.0,57.0,611.0,1119.0,50.0,508.65,508.65,4694.0,45918.0,92679.0,20397.0,184514.0,402715.0
2002-04-01,5654.0,65207.0,110850.0,78.0,837.0,1534.0,56.0,569.69,569.69,6.0,59.0,126.0,20640.0,186712.0,404670.0
2002-05-01,4999.0,57653.0,94720.0,574.0,6157.0,10874.0,34.0,345.88,345.88,70.0,685.0,1336.0,21209.0,191859.0,401869.0
2002-06-01,7195.0,82979.0,167347.0,40.0,429.0,932.0,63.0,640.9,640.9,84.0,822.0,1959.0,17655.0,159709.0,410611.0
2002-07-01,9328.0,107578.0,134900.0,649.0,6962.0,9381.0,70.0,712.11,712.11,139.0,1360.0,2016.0,19686.0,178082.0,284688.0
2002-08-01,9755.0,112503.0,143273.0,53.0,569.0,779.0,84.0,854.53,854.53,78.0,763.0,1147.0,18099.0,163726.0,265832.0
2002-09-01,8854.0,102112.0,192322.0,40.0,429.0,879.0,96.0,976.61,976.61,45.0,440.0,977.0,17745.0,160524.0,385456.0
2002-10-01,8282.0,95515.0,144794.0,1168.0,12529.0,20420.0,108.0,1098.68,1098.68,78.0,763.0,1361.0,17974.0,162595.0,314240.0
2002-11-01,4810.0,55473.0,107640.0,3846.0,41255.0,83220.0,312.0,3173.98,3173.98,90.0,880.0,1934.0,11365.0,102809.0,240890.0
2002-12-01,12772.0,147298.0,254176.0,275.0,2950.0,5469.0,401.0,4079.37,4079.37,82.0,802.0,1632.0,23021.0,208251.0,458150.0
2003-01-01,12215.0,205686.0,205686.0,62.0,1044.0,1044.0,0.0,0.0,0.0,1939.0,32647.0,32647.0,18091.0,304629.0,304629.0
2003-02-01,8010.0,142765.0,142765.0,87.0,1546.0,1546.0,119.0,1218.68,1218.68,4115.0,73338.0,73338.0,20477.0,364962.0,364962.0
2003-03-01,15537.0,277810.0,277810.0,48.0,856.0,856.0,165.0,1689.77,1689.77,90.0,1607.0,1607.0,24478.0,437684.0,437684.0
2003-04-01,14839.0,249392.0,249392.0,12.0,207.0,207.0,83.0,850.0,850.0,12.0,195.0,195.0,20241.0,340176.0,340176.0
2003-05-01,11911.0,202634.0,202634.0,55.0,942.0,942.0,30.0,307.23,307.23,1638.0,27865.0,27865.0,22701.0,386189.0,386189.0
2003-06-01,14779.0,283864.0,283864.0,37.0,710.0,710.0,42.0,430.12,430.12,151.0,2898.0,2898.0,21493.0,412806.0,412806.0
2003-07-01,15103.0,220393.0,220393.0,168.0,2446.0,2446.0,55.0,563.26,563.26,1003.0,14641.0,14641.0,22093.0,322383.0,322383.0
2003-08-01,16482.0,234806.0,234806.0,29.0,413.0,413.0,58.0,593.98,593.98,0.0,0.0,0.0,22761.0,324262.0,324262.0
2003-09-01,11792.0,222379.0,222379.0,79.0,1493.0,1493.0,85.0,870.49,870.49,114.0,2155.0,2155.0,20970.0,395458.0,395458.0
2003-10-01,7196.0,115675.0,115675.0,293.0,4714.0,4714.0,85.0,870.49,870.49,1546.0,24860.0,24860.0,12731.0,204660.0,204660.0
2003-11-01,9823.0,160897.0,160897.0,174.0,2843.0,2843.0,159.0,1628.32,1628.32,63.0,1040.0,1040.0,13790.0,225858.0,225858.0
2003-12-01,15871.0,238117.0,238117.0,136.0,2043.0,2043.0,164.0,1679.52,1679.52,1899.0,28489.0,28489.0,17519.0,262856.0,262856.0
2005-01-01,10267.27453,52338.77,217887.0,25.39415,129.45,538.9,5095.53,50950.2,50950.2,415.61617,2118.66,8820.0,16178.19415,82470.45,343325.6
2005-02-01,13110.66378,66833.32,256620.0,28.93726,147.51,566.4,3403.62,34032.8,34032.8,0.0,0.0,0.0,15016.39496,76548.03,293921.6
2005-03-01,13010.16025,66320.98,254228.6,194.4447,991.21,3799.6,4066.92,40665.13,40665.13,540.99188,2757.78,10571.4,20194.28717,102943.0,394612.0
2005-04-01,10643.90524,54258.69,191461.8,46.90368,239.1,843.7,3381.84,33815.02,33815.02,1114.44743,5681.04,20046.6,13393.01566,68272.64,240912.6
2005-05-01,11030.89671,56231.43,215056.8,32.38124,165.07,631.3,4426.29,44258.47,44258.47,18.096149999999998,92.25,352.8,17332.942900000002,88356.93,337920.6
2005-06-01,15125.06894,77102.01,277930.8,72.06506,367.36,1324.23,5253.93,52534.05,52534.05,712.78036,3633.49,13097.7,20405.75064,104020.97,374966.0
2005-07-01,17087.17859,87104.12,288489.6,47.202349999999996,240.62,796.94,4002.57,40021.7,40021.7,225.3812,1148.91,3805.2,20930.27986,106694.83,353374.2
2005-08-01,15175.678,77360.0,241138.8,7.919029999999999,40.37,125.83,1802.79,18026.1,18026.1,133.21735999999999,679.09,2116.8,16679.4206,85025.52,265033.0
2005-09-01,17137.09792,87358.59,269747.2,52.53288,267.79,826.9,1878.03,18778.42,18778.42,1130.27878,5761.74,17791.2,21032.22442,107214.5,331058.6
2005-10-01,6979.29323,35577.86,122401.4,139.73982,712.34,2450.73,2836.35,28360.66,28360.66,2571.32696,13107.67,45095.4,12799.86598,65248.98,224481.4
2005-11-01,12464.09229,63537.33,226651.05,58.65361,298.99,1066.58,4094.64,40942.31,40942.31,46.07816,234.89,837.9,18302.89994,93301.42,332825.8
2005-12-01,15032.49481,76630.1,264388.26,46.33398,236.19,814.91,5285.61,52850.81,52850.81,38.32774,195.38,674.1,19442.12046,99108.74,341943.8
2006-01-01,12675.13038,64613.13,243709.99,37.3966,190.63,719.04,4801.5,47626.0,47626.0,460.03064,2345.07,8845.2,16170.36937,82430.56,310914.4
2006-02-01,14020.6093,71471.88,250796.79,25.45835,129.78,455.39,5033.16,49924.0,49924.0,21.484009999999998,109.52,384.3,17018.31934,86753.1,304419.0
2006-03-01,18309.41727,93334.64,310098.58,22.642609999999998,115.42,383.49,5044.05,50032.0,50032.0,109.36104,557.48,1852.2,21548.35208,109845.53,364955.0
2006-04-01,13590.50682,69279.38,230228.94,1.06113,5.41,17.98,2461.14,24412.0,24412.0,545.19298,2779.19,9235.8,18707.41906,95363.51,316911.6
2006-05-01,14088.33915,71817.15,249853.18,124.33533,633.82,2205.06,1998.81,19826.0,19826.0,13.49892,68.81,239.4,18802.3846,95847.61,333455.6
2006-06-01,15088.21114,76914.12,258063.84,47.64544,242.88,814.91,4376.79,43413.0,43413.0,596.7139099999999,3041.83,10206.0,19962.74052,101762.67,341436.2
2006-07-01,13401.11757,68313.94,221860.34,37.27953,190.04,617.18,4806.45,47675.0,47675.0,48.328759999999996,246.36,800.1,14046.03615,71601.5,232537.2
2006-08-01,12518.77021,63816.06,205896.08,48.45483,247.0,796.94,4149.09,41155.0,41155.0,497.96348,2538.43,8190.0,14919.87349,76056.0,245387.0
2006-09-01,16379.26097,83495.41,255024.0,76.58400999999999,390.4,1192.41,2465.1,24451.0,24451.0,1074.28206,5476.29,16726.5,18797.06196,95820.47,292669.0
2006-10-01,4940.07605,25182.68,93944.5,240.41337,1225.54,4571.9,2651.22,26297.0,26297.0,109.98689,560.67,2091.6,8665.56369,44173.84,164791.4
2006-11-01,10282.22458,52414.98,186527.12,108.34048,552.28,1965.38,3351.15,33240.0,33240.0,662.61921,3377.79,12020.4,15160.12373,77280.71,275015.8
2006-12-01,14059.36855,71669.46,256690.5,78.43786,399.85,1432.09,5798.43,57515.0,57515.0,1161.13212,5919.02,21199.5,18180.00047,92674.92,331923.4
2007-01-01,13757.639,70131.0,238389.0,64.665,330.0,1121.0,4095.63,40481.0,40481.0,51.265,258.0,888.0,17010.639,86715.0,294756.0
2007-02-01,12712.169,64806.0,239888.0,4.763,24.0,90.0,3409.56,33700.0,33700.0,0.0,0.0,0.0,21177.817,107959.0,399641.0
2007-03-01,16167.525000000001,82410.0,287323.0,63.387,324.0,1126.0,3162.06,31254.0,31254.0,165.55100000000002,844.0,2942.0,24532.483,125058.0,435981.0
2007-04-01,8842.105,45072.0,165527.0,62.319,320.0,1167.0,1749.33,17290.0,17290.0,411.58,2098.0,7705.0,12469.362000000001,63563.0,233430.0
2007-05-01,12620.739,64344.0,208501.0,44.612,228.0,737.0,3953.07,39072.0,39072.0,233.001,1191.0,3849.0,14723.718,75059.0,243244.0
2007-06-01,15498.878,79001.0,261676.0,53.315,272.0,900.0,4573.8,45207.0,45207.0,1022.79,5216.0,17268.0,18915.784,96425.0,319365.0
2007-07-01,15641.915,79735.0,249955.0,43.497,222.0,695.0,2095.83,20715.0,20715.0,23.261000000000003,120.0,372.0,17783.71,90654.0,284181.0
2007-08-01,16087.925,82016.0,258529.0,19.017,96.0,306.0,1833.48,18122.0,18122.0,0.0,0.0,0.0,16909.132,86198.0,271726.0
2007-09-01,17536.081,89398.0,269154.0,12.102,60.0,186.0,2049.3,20255.0,20255.0,1213.325,6187.0,18623.0,20563.737,104829.0,315624.0
2007-10-01,7541.6,38431.0,134017.0,104.308,533.0,1854.0,2403.72,23758.0,23758.0,2071.481,10559.0,36811.0,11766.442,59981.0,209094.0
2007-11-01,15418.788,78596.0,262646.0,2.814,12.0,48.0,2797.74,27653.0,27653.0,63.243,321.0,1077.0,18426.229,93934.0,313875.0
2007-12-01,17026.586,86784.0,313986.0,3.854,18.0,71.0,4072.86,40256.0,40256.0,99.07300000000001,504.0,1827.0,25013.253,127511.0,461267.0
2008-01-01,10012.083,62306.0,224890.0,45.883,286.0,1031.0,2567.0,25295.0,25295.0,384.53200000000004,2393.0,8637.0,16359.501,101807.0,367465.0
2008-02-01,12998.54,79014.0,259533.0,9.195,56.0,184.0,3685.0,36312.0,36312.0,9.781,59.0,195.0,15404.484,93639.0,307571.0
2008-03-01,17739.849000000002,111328.0,263728.0,29.794,187.0,443.0,5940.0,58533.0,58533.0,7.085,44.0,105.0,16099.271,101032.0,239339.0
2008-04-01,10055.363,63871.0,193828.0,2.289,15.0,44.0,5002.0,49290.0,49290.0,1569.652,9970.0,30257.0,9792.696,62203.0,188765.0
2008-05-01,12226.636,79101.0,201106.0,176.282,1140.0,2900.0,4624.0,45565.0,45565.0,7.073,46.0,116.0,11918.009,77105.0,196029.0
2008-06-01,17902.591,113542.0,266457.0,8.852,56.0,132.0,2720.0,26803.0,26803.0,520.153,3299.0,7742.0,14591.404,92542.0,217174.0
2008-07-01,13917.553,87741.0,213721.0,23.602,149.0,362.0,4053.0,39938.0,39938.0,18.632,117.0,286.0,12499.213,78799.0,191940.0
2008-08-01,12875.592,84892.0,188765.0,43.855000000000004,289.0,643.0,4788.0,47181.0,47181.0,1199.2430000000002,7907.0,17582.0,8195.31,54034.0,120149.0
2008-09-01,14072.531,83155.0,200346.0,42.801,253.0,609.0,3461.0,34105.0,34105.0,952.59,5629.0,13562.0,14108.079000000002,83365.0,200852.0
2008-10-01,5150.827,37385.0,91480.0,79.10900000000001,574.0,1405.0,2574.0,25364.0,25364.0,1647.325,11956.0,29257.0,6510.7390000000005,47255.0,115632.0
2008-11-01,5629.131,37409.0,124131.0,39.477000000000004,262.0,871.0,2867.0,28251.0,28251.0,199.70100000000002,1327.0,4404.0,13823.69,91866.0,304833.0
2008-12-01,8104.202,53408.0,185354.0,26.411,174.0,604.0,5419.0,53399.0,53399.0,15.425,102.0,353.0,14337.962,94490.0,327928.0
2009-01-01,8641.269,55541.0,210954.0,72.047,463.0,1759.0,4692.0,45794.0,45794.0,409.55100000000004,2632.0,9998.0,13983.133,89876.0,341361.0
2009-02-01,10505.835,66169.0,209059.0,51.782000000000004,326.0,1030.0,4963.0,48439.0,48439.0,116.506,734.0,2318.0,13993.877,88137.0,278469.0
2009-03-01,2355.16,20343.0,87349.0,21.077,182.0,782.0,5276.0,51494.0,51494.0,549.851,4749.0,20393.0,6920.912,59780.0,256686.0
2009-04-01,1173.39,9313.0,42519.0,25.005,198.0,906.0,2926.0,28558.0,28558.0,33.903,269.0,1229.0,6839.702,54288.0,247842.0
