measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,39235.0,456950.0,456950.0,,,,,,
2001-02-01,34073.0,403547.0,403547.0,,,,,,
2001-03-01,48860.0,597457.0,597457.0,,,,,,
2001-04-01,47395.0,562659.0,562659.0,,,,,,
2001-05-01,37281.0,451114.0,451114.0,,,,,,
2001-06-01,48477.0,597375.0,597375.0,,,,,,
2001-07-01,60375.0,743143.0,743143.0,,,,,,
2001-08-01,58757.0,720730.0,720730.0,,,,,,
2001-09-01,47178.0,586113.0,586113.0,,,,,,
2001-10-01,50215.0,597457.0,597457.0,,,,,,
2001-11-01,28287.0,337020.0,337020.0,,,,,,
2001-12-01,32166.0,394122.0,394122.0,,,,,,
2002-01-01,43611.0,505824.0,505824.0,135.0,1569.0,1569.0,,,
2002-02-01,43592.0,499074.0,499074.0,119.0,1360.0,1360.0,,,
2002-03-01,58114.0,648849.0,648849.0,364.0,4070.0,4070.0,,,
2002-04-01,50284.0,568986.0,568986.0,114.0,1288.0,1288.0,,,
2002-05-01,45813.0,521964.0,521964.0,101.0,1146.0,1146.0,,,
2002-06-01,54897.0,633079.0,633079.0,149.0,1715.0,1715.0,,,
2002-07-01,55296.0,653722.0,653722.0,122.0,1445.0,1445.0,,,
2002-08-01,60616.0,716640.0,716640.0,112.0,1327.0,1327.0,,,
2002-09-01,56021.0,643856.0,643856.0,81.0,933.0,933.0,,,
2002-10-01,50072.0,573341.0,573341.0,0.0,0.0,0.0,,,
2002-11-01,53738.0,604425.0,604425.0,218.0,2418.0,2418.0,,,
2002-12-01,57541.0,653824.0,653824.0,99.0,1129.0,1129.0,,,
2003-01-01,56905.0,638959.0,638959.0,431.0,4836.0,4836.0,,,
2003-02-01,56905.0,638959.0,638959.0,431.0,4836.0,4836.0,,,
2003-03-01,55599.0,623258.0,623258.0,536.0,6008.0,6008.0,,,
2003-04-01,58157.0,664463.0,664463.0,165.0,1880.0,1880.0,,,
2003-05-01,48962.0,580014.0,580014.0,272.0,3217.0,3217.0,,,
2003-06-01,46055.0,554352.0,554352.0,37.0,440.0,440.0,,,
2003-07-01,45903.0,571391.0,571391.0,77.0,958.0,958.0,,,
2003-08-01,48302.0,591752.0,591752.0,111.0,1366.0,1366.0,,,
2003-09-01,44757.0,528426.0,528426.0,99.0,1166.0,1166.0,,,
2003-10-01,50916.0,571898.0,571898.0,124.0,1396.0,1396.0,,,
2003-11-01,50941.0,576586.0,576586.0,288.0,3257.0,3257.0,,,
2003-12-01,56490.0,629544.0,629544.0,62.0,688.0,688.0,,,
2004-01-01,51734.0,582264.0,582264.0,140.0,1573.0,1573.0,,,
2004-02-01,51416.0,577025.0,577025.0,351.0,3935.0,3935.0,,,
2004-03-01,53569.0,607589.0,607589.0,235.0,2662.0,2662.0,,,
2004-04-01,55916.0,625017.0,625017.0,181.0,2019.0,2019.0,,,
2004-05-01,46674.0,539711.0,539711.0,161.0,1861.0,1861.0,,,
