measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Generation,Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Petroleum Coke-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Petroleum Coke-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Petroleum Coke-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Waste Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Waste Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Waste Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Waste Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,119214.523,1667808.0,1667808.0,245.0,3649.0,3649.0,66.64,809.0,809.0,,,,,,,,,,,,,,,,,,,68251.402,954835.0,954835.0
2003-02-01,,,,,,,96804.00200000001,1738464.0,1738464.0,305.76,4609.0,4609.0,156.8,1903.0,1903.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,32215.184,578549.0,578549.0
2003-03-01,,,,,,,101314.0,1332120.0,1332120.0,,,,75.0,893.0,893.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,53074.0,697844.0,697844.0
2003-04-01,,,,,,,77199.477,959472.0,959472.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,39373.26,489355.0,489355.0
2003-05-01,,,,,,,101835.0,1182960.0,1182960.0,21.0,244.0,244.0,3.0,35.0,35.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,29465.0,342274.0,342274.0
2003-06-01,,,,,,,32126.0,519432.0,519432.0,46.0,940.0,940.0,17.0,203.0,203.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,50450.0,815696.0,815696.0
2003-07-01,,,,,,,55476.0,671520.0,671520.0,0.0,0.0,0.0,26.0,313.0,313.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,70348.0,851530.0,851530.0
2003-08-01,,,,,,,71785.306,834984.0,834984.0,47.0,858.0,858.0,21.0,249.0,249.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,66954.037,778792.0,778792.0
2003-09-01,,,,,,,64897.0,777744.0,777744.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,47429.0,568397.0,568397.0
2003-10-01,,,,,,,65046.0,779568.0,779568.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,57369.0,687568.0,687568.0
2003-11-01,,,,,,,57987.0,700080.0,700080.0,0.0,0.0,0.0,3.0,35.0,35.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,63140.0,762293.0,762293.0
2003-12-01,,,,,,,100810.0,1340472.0,1340472.0,0.0,0.0,0.0,5.0,58.0,58.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,33629.0,447163.0,447163.0
2004-01-01,,,,,,,84142.0,1132488.0,1132488.0,151.0,2491.0,2491.0,151.0,1798.0,1798.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,53444.0,666518.0,666518.0
2004-02-01,,,,,,,67672.0,827328.0,827328.0,27.0,559.0,559.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,61659.0,753811.0,753811.0
2004-03-01,,,,,,,101510.0,1278528.0,1278528.0,404.0,5820.0,5820.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,60798.0,765749.0,765749.0
2004-04-01,,,,,,,103755.0,1290216.0,1290216.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,53327.0,663134.0,663134.0
2004-05-01,,,,,,,101622.0,1298016.0,1298016.0,0.0,0.0,0.0,111.0,1321.0,1321.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,52247.0,667354.0,667354.0
