measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2021-10-01,4.096,56.0,56.0
2021-11-01,3.369,47.0,47.0
2021-12-01,3.535,48.0,48.0
2022-01-01,21.536,310.0,310.0
2022-02-01,19.174,277.0,277.0
2022-03-01,15.268,221.0,221.0
2022-04-01,15.916,229.0,229.0
2022-05-01,23.513,340.0,340.0
2022-06-01,28.622,413.0,413.0
2022-07-01,33.727,487.0,487.0
2022-08-01,33.903,490.0,490.0
2022-09-01,28.578,413.0,413.0
2022-10-01,22.087,319.0,319.0
2022-11-01,20.702,299.0,299.0
2022-12-01,22.974,331.0,331.0
2023-01-01,24.213,350.0,350.0
2023-02-01,22.836,329.0,329.0
2023-03-01,22.537,325.0,325.0
2023-04-01,21.766,313.0,313.0
2023-05-01,31.075,448.0,448.0
2023-06-01,35.897,517.0,517.0
2023-07-01,39.368,568.0,568.0
2023-08-01,43.331,624.0,624.0
2023-09-01,36.504,526.0,526.0
2023-10-01,26.945,389.0,389.0
2023-11-01,24.982,360.0,360.0
2023-12-01,26.546,383.0,383.0
2024-01-01,18.748,277.0,277.0
2024-02-01,12.945,191.0,191.0
2024-03-01,14.69,216.0,216.0
2024-04-01,13.802,203.0,203.0
2024-05-01,18.441,271.0,271.0
2024-06-01,20.804,306.0,306.0
2024-07-01,22.488,331.0,331.0
2024-08-01,25.41,374.0,374.0
2024-09-01,21.083,311.0,311.0
2024-10-01,18.263,269.0,269.0
2024-11-01,14.631,216.0,216.0
2024-12-01,15.695,232.0,232.0
