measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,122.0,1294.0,1294.0,,,
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,-283.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,-289.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,3936.0,54135.0,54135.0
2003-07-01,0.0,0.0,0.0,11103.0,148475.0,148475.0
2003-08-01,,,,9104.0,129300.0,129300.0
2003-09-01,-29.0,0.0,0.0,16393.0,228940.0,228940.0
2003-10-01,,,,9032.0,127379.0,127379.0
2003-11-01,-47.0,0.0,0.0,-394.0,0.0,0.0
2003-12-01,-47.0,0.0,0.0,-354.0,0.0,0.0
2004-01-01,,,,2747.6490000000003,28747.0,28747.0
2004-02-01,,,,3426.454,35849.0,35849.0
2004-03-01,,,,4348.936000000001,45501.0,45501.0
2004-04-01,,,,4165.5650000000005,43582.0,43582.0
2004-05-01,,,,4742.776,49622.0,49622.0
2004-06-01,,,,4097.063,42866.0,42866.0
2004-07-01,,,,7876.187000000001,82405.0,82405.0
2004-08-01,,,,7369.781,77107.0,77107.0
2004-09-01,,,,6585.7970000000005,68904.0,68904.0
2004-10-01,,,,4717.532,49357.0,49357.0
2004-11-01,,,,4657.979,48734.0,48734.0
2004-12-01,,,,3987.28,41717.0,41717.0
2005-01-01,,,,2121.293,31279.24,31279.24
2005-02-01,,,,1760.977,25966.25,25966.25
2005-03-01,,,,2180.826,32157.08,32157.08
