measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,23783.0,317548.0,317548.0,191634.0,2558728.0,2558728.0
2003-02-01,0.0,0.0,0.0,18592.0,231666.0,231666.0,232423.0,2896146.0,2896146.0
2003-03-01,0.0,0.0,0.0,17164.0,218138.0,218138.0,146092.0,1856730.0,1856730.0
2003-04-01,0.0,0.0,0.0,3682.0,44034.0,44034.0,69685.0,833303.0,833303.0
2003-05-01,0.0,0.0,0.0,25901.0,350614.0,350614.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,4137.0,63744.0,63744.0,31177.0,480328.0,480328.0
2003-07-01,0.0,0.0,0.0,64060.0,887150.0,887150.0,61966.0,858139.0,858139.0
2003-08-01,0.0,0.0,0.0,44815.0,579169.0,579169.0,152674.0,1973063.0,1973063.0
2003-09-01,0.0,0.0,0.0,20500.0,288092.0,288092.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,9852.0,157987.0,157987.0,38245.0,580320.0,580320.0
2004-01-01,0.0,0.0,0.0,14340.0,190302.0,190302.0,161218.0,2155210.0,2155210.0
2004-02-01,0.0,0.0,0.0,14898.0,202545.0,202545.0,139694.0,1710156.0,1710156.0
2004-03-01,0.0,0.0,0.0,50304.0,633676.0,633676.0,111619.0,1330508.0,1330508.0
2004-04-01,0.0,0.0,0.0,14836.0,210937.0,210937.0,60440.0,813161.0,813161.0
2004-05-01,0.0,0.0,0.0,778.0,17733.0,17733.0,1226.0,25602.0,25602.0
2004-06-01,0.0,0.0,0.0,6509.0,97576.0,97576.0,42300.0,634086.0,634086.0
2004-07-01,0.0,0.0,0.0,985.0,26270.0,26270.0,3122.0,83827.0,83827.0
2004-08-01,0.0,0.0,0.0,1296.0,16894.0,16894.0,9936.0,122524.0,122524.0
2004-09-01,0.0,0.0,0.0,0.0,4450.0,4450.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,10400.0,10400.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
