measured_on,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,2246.074,32730.0,32730.0,0.0,0.0,0.0
2010-08-01,2259.563,32927.0,32927.0,0.0,0.0,0.0
2010-09-01,2131.241,31057.0,31057.0,0.0,0.0,0.0
2010-10-01,2035.0330000000001,29655.0,29655.0,0.0,0.0,0.0
2010-11-01,2151.634,31354.0,31354.0,0.0,0.0,0.0
2010-12-01,1998.4550000000002,29122.0,29122.0,0.0,0.0,0.0
2011-01-01,4177.003,48316.0,48316.0,0.0,0.0,0.0
2011-02-01,4161.281,48134.0,48134.0,0.0,0.0,0.0
2011-03-01,4414.036,51058.0,51058.0,0.0,0.0,0.0
2011-04-01,4186.963,48431.0,48431.0,0.0,0.0,0.0
2011-05-01,4409.824,51009.0,51009.0,0.0,0.0,0.0
2011-06-01,4282.506,49536.0,49536.0,0.0,0.0,0.0
2011-07-01,4521.917,52306.0,52306.0,0.0,0.0,0.0
2011-08-01,4615.395,53387.0,53387.0,0.0,0.0,0.0
2011-09-01,4403.815,50940.0,50940.0,0.0,0.0,0.0
2011-10-01,4195.749,48533.0,48533.0,0.0,0.0,0.0
2011-11-01,4149.519,47998.0,47998.0,0.0,0.0,0.0
2011-12-01,4178.992,48339.0,48339.0,0.0,0.0,0.0
2012-01-01,4135.306,51539.0,51539.0,0.0,0.0,0.0
2012-02-01,4071.522,50743.0,50743.0,0.0,0.0,0.0
2012-03-01,3904.422,48661.0,48661.0,0.0,0.0,0.0
2012-04-01,3668.281,45718.0,45718.0,0.0,0.0,0.0
2012-05-01,3804.62,47417.0,47417.0,0.0,0.0,0.0
2012-06-01,3301.298,41144.0,41144.0,0.0,0.0,0.0
2012-07-01,3556.449,44324.0,44324.0,0.0,0.0,0.0
2012-08-01,4112.551,51255.0,51255.0,0.0,0.0,0.0
2012-09-01,4046.381,50430.0,50430.0,0.0,0.0,0.0
2012-10-01,4061.512,50619.0,50619.0,0.0,0.0,0.0
2012-11-01,4441.626,55356.0,55356.0,0.0,0.0,0.0
2012-12-01,4451.032,55473.0,55473.0,0.0,0.0,0.0
2013-01-01,3365.069,50318.0,50318.0,0.0,0.0,0.0
2013-02-01,3031.56,45331.0,45331.0,0.0,0.0,0.0
2013-03-01,3256.858,48700.0,48700.0,0.0,0.0,0.0
2013-04-01,2955.884,44199.0,44199.0,0.0,0.0,0.0
2013-05-01,3278.718,49027.0,49027.0,0.0,0.0,0.0
2013-06-01,3192.877,47743.0,47743.0,0.0,0.0,0.0
2013-07-01,3283.523,49098.0,49098.0,0.0,0.0,0.0
2013-08-01,3628.05,54250.0,54250.0,0.0,0.0,0.0
2013-09-01,3309.52,49487.0,49487.0,0.0,0.0,0.0
2013-10-01,3613.095,54026.0,54026.0,0.0,0.0,0.0
2013-11-01,3592.775,53723.0,53723.0,0.0,0.0,0.0
2013-12-01,3751.071,56090.0,56090.0,0.0,0.0,0.0
2014-01-01,3833.725,62078.0,62078.0,0.0,0.0,0.0
2014-02-01,3346.009,54180.0,54180.0,0.0,0.0,0.0
2014-03-01,3496.817,56622.0,56622.0,0.0,0.0,0.0
2014-04-01,3070.884,49725.0,49725.0,0.0,0.0,0.0
2014-05-01,3164.123,51235.0,51235.0,0.0,0.0,0.0
2014-06-01,3356.019,54342.0,54342.0,0.0,0.0,0.0
2014-07-01,3356.936,54357.0,54357.0,0.0,0.0,0.0
2014-08-01,3290.216,53277.0,53277.0,0.0,0.0,0.0
2014-09-01,3316.36,53700.0,53700.0,0.0,0.0,0.0
2014-10-01,3333.007,53970.0,53970.0,0.0,0.0,0.0
2014-11-01,2861.852,46340.0,46340.0,0.0,0.0,0.0
2014-12-01,3051.052,49404.0,49404.0,0.0,0.0,0.0
2015-01-01,2888.785,44016.0,44016.0,0.0,0.0,0.0
2015-02-01,2687.227,40945.0,40945.0,0.0,0.0,0.0
2015-03-01,2800.683,42674.0,42674.0,0.0,0.0,0.0
2015-04-01,2473.077,37682.0,37682.0,0.0,0.0,0.0
2015-05-01,2701.131,41157.0,41157.0,0.0,0.0,0.0
2015-06-01,3035.806,46257.0,46257.0,0.0,0.0,0.0
2015-07-01,3094.015,47144.0,47144.0,0.0,0.0,0.0
2015-08-01,2980.39,45412.0,45412.0,0.0,0.0,0.0
2015-09-01,2917.034,44447.0,44447.0,0.0,0.0,0.0
2015-10-01,2808.489,42793.0,42793.0,0.0,0.0,0.0
2015-11-01,2602.546,39655.0,39655.0,0.0,0.0,0.0
2015-12-01,2964.817,45175.0,45175.0,0.0,0.0,0.0
2016-01-01,3014.625,45712.0,45712.0,0.0,0.0,0.0
2016-02-01,2851.484,43238.0,43238.0,0.0,0.0,0.0
2016-03-01,2624.824,39801.0,39801.0,0.0,0.0,0.0
2016-04-01,2594.129,39335.0,39335.0,0.0,0.0,0.0
2016-05-01,3041.457,46119.0,46119.0,0.0,0.0,0.0
2016-06-01,3000.191,45493.0,45493.0,0.0,0.0,0.0
2016-07-01,2897.306,43933.0,43933.0,0.0,0.0,0.0
2016-08-01,2802.865,42501.0,42501.0,0.0,0.0,0.0
2016-09-01,2960.84,44896.0,44896.0,0.0,0.0,0.0
2016-10-01,2882.672,43711.0,43711.0,0.0,0.0,0.0
2016-11-01,2940.954,44594.0,44594.0,0.0,0.0,0.0
2016-12-01,2917.653,44241.0,44241.0,0.0,0.0,0.0
2017-01-01,3185.74,46362.0,46362.0,0.0,0.0,0.0
2017-02-01,2881.98,41942.0,41942.0,0.0,0.0,0.0
2017-03-01,3227.335,46967.0,46967.0,0.0,0.0,0.0
2017-04-01,2901.051,42219.0,42219.0,0.0,0.0,0.0
2017-05-01,3161.888,46015.0,46015.0,0.0,0.0,0.0
2017-06-01,3235.967,47093.0,47093.0,0.0,0.0,0.0
2017-07-01,3208.565,46694.0,46694.0,0.0,0.0,0.0
2017-08-01,3218.484,46839.0,46839.0,0.0,0.0,0.0
2017-09-01,3018.103,43922.0,43922.0,0.0,0.0,0.0
2017-10-01,2546.397,37058.0,37058.0,0.0,0.0,0.0
2017-11-01,3039.821,44238.0,44238.0,0.0,0.0,0.0
2017-12-01,3347.669,48719.0,48719.0,0.0,0.0,0.0
2018-01-01,2847.072,44429.0,44429.0,0.0,0.0,0.0
2018-02-01,2660.66,41520.0,41520.0,0.0,0.0,0.0
2018-03-01,2642.17,41232.0,41232.0,0.0,0.0,0.0
2018-04-01,2509.849,39167.0,39167.0,0.0,0.0,0.0
2018-05-01,2567.457,40066.0,40066.0,0.0,0.0,0.0
2018-06-01,2570.402,40112.0,40112.0,0.0,0.0,0.0
2018-07-01,2759.135,43057.0,43057.0,0.0,0.0,0.0
2018-08-01,2875.232,44869.0,44869.0,0.0,0.0,0.0
2018-09-01,2779.218,43370.0,43370.0,0.0,0.0,0.0
2018-10-01,2800.807,43707.0,43707.0,0.0,0.0,0.0
2018-11-01,2746.196,42855.0,42855.0,0.0,0.0,0.0
2018-12-01,2920.802,45580.0,45580.0,0.0,0.0,0.0
2019-01-01,3257.577,42834.0,42834.0,0.0,0.0,0.0
2019-02-01,2980.713,39193.0,39193.0,0.0,0.0,0.0
2019-03-01,3302.477,43424.0,43424.0,0.0,0.0,0.0
2019-04-01,3063.829,40286.0,40286.0,0.0,0.0,0.0
2019-05-01,2850.544,37482.0,37482.0,0.0,0.0,0.0
2019-06-01,2895.922,38078.0,38078.0,0.0,0.0,0.0
2019-07-01,3195.476,42017.0,42017.0,0.0,0.0,0.0
2019-08-01,3333.727,43835.0,43835.0,0.0,0.0,0.0
2019-09-01,3069.174,40356.0,40356.0,0.0,0.0,0.0
2019-10-01,2732.621,35931.0,35931.0,0.0,0.0,0.0
2019-11-01,2971.973,39078.0,39078.0,0.0,0.0,0.0
2019-12-01,3206.967,42168.0,42168.0,0.0,0.0,0.0
2020-01-01,3032.418,41674.0,41674.0,0.0,0.0,0.0
2020-02-01,2727.71,37486.0,37486.0,0.0,0.0,0.0
2020-03-01,2874.207,39500.0,39500.0,0.0,0.0,0.0
2020-04-01,2689.996,36968.0,36968.0,0.0,0.0,0.0
2020-05-01,2857.527,39270.0,39270.0,0.0,0.0,0.0
2020-06-01,2633.717,36195.0,36195.0,0.0,0.0,0.0
2020-07-01,2957.976,40651.0,40651.0,0.0,0.0,0.0
2020-08-01,2824.143,38812.0,38812.0,0.0,0.0,0.0
2020-09-01,2801.225,38497.0,38497.0,0.0,0.0,0.0
2020-10-01,2695.92,37050.0,37050.0,0.0,0.0,0.0
2020-11-01,2714.091,37299.0,37299.0,0.0,0.0,0.0
2020-12-01,2424.07,33314.0,33314.0,0.0,0.0,0.0
2021-01-01,2782.54,47064.0,47064.0,0.0,0.0,0.0
2021-02-01,2584.434,43712.0,43712.0,0.0,0.0,0.0
2021-03-01,2886.238,48817.0,48817.0,0.0,0.0,0.0
2021-04-01,2394.843,40506.0,40506.0,0.0,0.0,0.0
2021-05-01,2592.22,43844.0,43844.0,0.0,0.0,0.0
2021-06-01,2663.452,45049.0,45049.0,0.0,0.0,0.0
2021-07-01,2588.316,43778.0,43778.0,0.0,0.0,0.0
2021-08-01,2571.729,43498.0,43498.0,0.0,0.0,0.0
2021-09-01,2609.94,44144.0,44144.0,0.0,0.0,0.0
2021-10-01,2556.833,43246.0,43246.0,0.0,0.0,0.0
2021-11-01,2519.129,42608.0,42608.0,0.0,0.0,0.0
2021-12-01,2524.326,42696.0,42696.0,0.0,0.0,0.0
2022-01-01,3155.959,47329.0,47329.0,0.0,0.0,0.0
2022-02-01,2794.883,41914.0,41914.0,0.0,0.0,0.0
2022-03-01,3015.617,45224.0,45224.0,0.0,0.0,0.0
2022-04-01,2346.953,35197.0,35197.0,0.0,0.0,0.0
2022-05-01,2422.597,36331.0,36331.0,0.0,0.0,0.0
2022-06-01,2690.529,40349.0,40349.0,0.0,0.0,0.0
2022-07-01,2892.8,43382.0,43382.0,0.0,0.0,0.0
2022-08-01,3043.15,45637.0,45637.0,0.0,0.0,0.0
2022-09-01,2949.796,44237.0,44237.0,0.0,0.0,0.0
2022-10-01,2969.355,44531.0,44531.0,0.0,0.0,0.0
2022-11-01,2521.553,37815.0,37815.0,0.0,0.0,0.0
